"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"CIBR","NASD",101.66,1.36%,1856246,1578.29,1.18,7.97%,4.33%,20.69%,56.50%,42.28%,35.11%,Technology,1.72,6.20,7.42,10.67,5.52%,6.99%,29.71%,1.66%
"BOAT","NYSE",53.43,1.69%,172194,38.80,4.44,4.70%,11.78%,29.62%,31.80%,69.28%,58.77%,Industrials,24.12,31.20,57.46,53.19,6.15%,15.47%,32.40%,-0.06%
"ARKK","CBOE",86.92,4.50%,6757192,5191.55,1.30,4.65%,9.82%,10.74%,21.72%,13.00%,7.75%,Innovation / Patent Based,-1.10,-15.60,-12.12,-42.88,2.35%,8.23%,12.49%,2.21%
"IGV","CBOE",105.78,0.78%,6003816,13624.12,0.44,4.53%,3.75%,18.64%,25.42%,0.09%,-6.57%,Technology,-3.48,-10.17,52.37,33.22,1.08%,5.99%,12.92%,0.67%
"IGPT","NYSE",96.53,3.01%,75063,184.84,0.41,2.38%,4.74%,-4.24%,54.23%,62.32%,80.10%,Robotics & Automation,2.92,10.78,24.05,28.42,3.67%,4.71%,24.32%,0.73%
"MAGS","CBOE",70.78,1.81%,4262076,4212.93,1.01,2.31%,6.05%,9.67%,17.57%,7.31%,10.46%,Technology,1.95,18.37,6.45,40.99,2.78%,4.62%,8.07%,0.25%
"UFO","NASD",43.66,1.63%,256230,516.23,0.50,2.03%,-7.42%,-14.49%,-4.04%,12.96%,25.71%,Space Exploration & Technology,-2.38,-33.40,905.54,12118.59,-0.42%,-2.94%,-7.05%,0.14%
"CNBS","NYSE",28.70,0.96%,807,5.21,0.15,1.95%,7.72%,2.66%,24.03%,1.16%,7.90%,Cannabis Based Businesses,-3.59,-8.15,-23.91,-26.94,0.50%,6.36%,7.83%,-0.11%
"BOIL","NYSE",19.64,-0.46%,6055756,4435.83,1.37,1.87%,0.10%,-28.71%,-48.29%,-57.12%,-67.46%,,-6.04,60.90,-32.32,-24.50,-1.27%,-4.06%,-40.48%,0.61%
"WISE","NASD",34.82,2.60%,4753,6.76,0.70,1.63%,-5.18%,-12.11%,2.77%,-10.64%,-18.68%,Robotics & Automation,0.00,-9.83,-17.55,-7.61,-1.55%,-2.20%,-6.78%,0.27%
"IHI","NYSE",51.70,-0.39%,2142050,2907.36,0.74,1.57%,-6.75%,6.82%,-6.24%,-16.81%,-14.33%,Healthcare,11.49,10.72,4.64,-3.30,-3.53%,-2.71%,-6.19%,-0.79%
"JETS","NYSE",28.17,1.33%,9439229,2885.79,3.27,1.19%,-7.09%,-6.88%,14.56%,0.36%,8.97%,Industrials,-9.21,-17.46,-16.28,-25.36,-1.70%,-6.97%,-1.14%,-0.84%
"BOTZ","NASD",35.12,1.14%,429108,775.86,0.55,1.02%,-3.93%,-6.58%,0.76%,-3.08%,2.17%,Robotics & Automation,-0.33,2.76,9.78,13.91,-0.88%,-1.80%,-4.90%,-0.24%
"XBI","NYSE",158.25,2.64%,9833815,8918.20,1.10,0.91%,-1.16%,13.53%,30.67%,29.79%,68.76%,Healthcare,-0.30,8.69,5.75,13.93,-2.29%,0.34%,15.57%,0.60%
"IPO","NYSE",52.12,1.43%,8970,25.80,0.35,0.87%,-4.37%,-9.34%,18.81%,14.17%,-2.40%,,-1.86,-10.24,-7.48,-21.23,-1.81%,-3.14%,5.00%,-0.21%
"IBUY","NYSE",67.82,0.04%,10643,15.45,0.69,0.28%,-5.77%,0.99%,8.46%,-8.89%,-12.86%,Consumer Discretionary,0.00,0.67,-9.04,-15.93,-4.74%,-5.40%,-2.27%,-1.32%
"KIE","NYSE",62.42,-0.32%,1315856,1198.12,1.10,0.27%,-1.58%,7.09%,13.31%,3.77%,7.42%,Financials,-8.73,30.64,7.40,-18.98,-1.37%,-2.05%,5.06%,-0.86%
"XHB","NYSE",97.07,0.28%,1575884,2287.80,0.69,0.17%,-8.38%,-9.56%,-2.53%,-5.72%,-14.74%,Consumer Discretionary,11.13,-7.07,-6.98,-17.06,-4.61%,-7.99%,-9.05%,-2.11%
"SMH","NASD",560.61,2.76%,6109810,9917.07,0.62,0.06%,-1.61%,-10.15%,42.41%,55.67%,83.66%,Technology,1.85,4.04,14.96,20.60,0.59%,-0.86%,15.30%,0.09%
"KWEB","NYSE",24.40,0.66%,8562642,18963.72,0.45,-0.16%,-8.89%,-3.86%,-17.15%,-28.34%,-42.71%,Technology,-3.70,-12.23,-17.87,-15.79,-4.41%,-8.41%,-18.26%,-0.25%
"INDA","CBOE",48.01,1.16%,4117444,5290.40,0.78,-0.21%,-2.77%,-2.14%,0.61%,-11.17%,-11.13%,,1.52,-3.18,-24.06,-23.44,-2.28%,-2.53%,-4.34%,-0.04%
"RING","NASD",84.35,3.40%,799082,802.63,1.00,-0.25%,8.56%,15.42%,10.06%,14.54%,44.16%,Materials,2.84,-12.93,-23.53,-16.46,-2.97%,10.64%,7.77%,0.00%
"ICLN","NASD",17.73,2.37%,3655406,6292.75,0.58,-0.51%,-0.06%,-13.43%,-3.48%,7.91%,17.73%,Green Investing,-1.22,-18.55,8.52,16.14,0.54%,-1.40%,-5.66%,0.68%
"PAVE","CBOE",52.91,0.30%,1208503,1840.93,0.66,-0.84%,-7.68%,-8.74%,5.17%,10.71%,14.42%,Infrastructure,3.30,4.92,22.22,26.44,-3.12%,-5.88%,-2.23%,-1.36%
"XRT","NYSE",82.82,0.11%,1896125,4226.60,0.45,-0.97%,-4.95%,-2.05%,4.85%,-2.90%,-5.52%,Consumer Discretionary,-29.07,-31.10,-29.62,22.64,-3.60%,-5.81%,-3.66%,-1.09%
"SIL","NYSE",95.01,4.49%,950702,1173.61,0.81,-1.24%,8.55%,10.54%,8.13%,13.76%,47.60%,Materials,-3.30,-3.38,-11.20,6.58,-2.94%,8.91%,4.79%,0.65%
"BLOK","NYSE",62.02,2.12%,84953,186.08,0.46,-1.30%,4.75%,-5.60%,17.69%,9.02%,-5.17%,Fintech,-2.56,-8.27,-9.75,-18.54,-1.62%,0.81%,3.60%,-0.91%
"TAN","NYSE",46.36,3.90%,727138,1034.19,0.70,-1.45%,-7.04%,-20.68%,-18.06%,-5.62%,8.17%,Green Investing,-20.87,-35.89,14.72,35.74,-2.83%,-8.03%,-15.81%,1.89%
"KRE","NYSE",72.74,0.00%,13182629,13034.94,1.01,-1.45%,-5.35%,2.23%,16.16%,12.24%,12.86%,Financials,-8.63,-11.09,-3.10,2.90,-1.81%,-3.54%,3.48%,-1.07%
"XOP","NYSE",192.59,0.41%,3578021,3142.77,1.14,-1.47%,3.91%,23.65%,11.09%,52.53%,44.45%,Energy,6.55,7.30,46.37,50.10,0.90%,7.11%,19.64%,1.47%
