"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"BOIL","NYSE",24.44,12.52%,21391068,4671.14,4.58,24.44%,23.87%,-13.18%,-26.16%,-46.64%,-54.44%,,-14.23,44.91,-41.62,-43.01,19.93%,20.08%,-22.56%,13.99%
"SMH","NASD",600.52,-0.15%,5618788,9544.03,0.59,7.12%,8.04%,-5.71%,50.50%,66.75%,87.01%,Technology,3.59,5.98,13.81,19.02,5.88%,6.26%,22.03%,1.50%
"IGPT","NYSE",103.02,0.36%,61867,182.40,0.34,6.72%,12.86%,0.08%,69.94%,73.23%,91.03%,Robotics & Automation,4.22,8.80,23.43,27.30,7.51%,11.08%,30.84%,1.58%
"ARKK","CBOE",91.70,2.15%,5473192,4982.03,1.10,5.50%,6.17%,19.81%,31.19%,19.21%,9.87%,Innovation / Patent Based,40.10,30.12,24.25,6.94,6.32%,12.70%,18.29%,3.10%
"BLOK","NYSE",64.94,-0.87%,736895,188.16,3.92,4.71%,0.68%,4.12%,22.88%,14.15%,-2.96%,Fintech,-1.08,-7.75,-9.14,-18.65,1.87%,4.90%,8.28%,0.60%
"CNBS","NYSE",29.65,-3.67%,3481,5.19,0.67,3.33%,3.53%,9.15%,27.76%,4.52%,4.52%,Cannabis Based Businesses,-3.32,-3.32,-22.46,-25.36,2.77%,8.82%,10.72%,-3.32%
"IPO","NYSE",53.79,0.06%,11544,21.92,0.53,3.20%,-0.77%,-4.54%,23.85%,17.83%,6.75%,,-0.01,-9.94,-7.18,-19.35,1.50%,0.45%,7.97%,0.88%
"WISE","NASD",35.76,0.05%,2257,6.64,0.34,2.72%,-0.58%,-2.83%,8.58%,-8.21%,-20.90%,Robotics & Automation,0.00,-9.39,-16.83,-9.96,1.48%,0.66%,-3.84%,0.83%
"MAGS","CBOE",72.51,0.60%,4788990,4275.78,1.12,2.44%,7.25%,18.73%,23.00%,9.93%,12.18%,Technology,19.61,40.24,20.81,40.69,3.49%,6.46%,10.50%,1.40%
"CIBR","NASD",103.19,-0.79%,1185189,1612.93,0.73,1.51%,11.61%,23.34%,62.84%,44.42%,36.30%,Technology,3.39,7.61,9.66,12.19,4.66%,7.54%,30.47%,-0.33%
