"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"CIBR","NASD",100.30,-0.69%,2044578,1562.44,1.31,6.16%,2.57%,17.89%,54.38%,40.38%,32.95%,Technology,1.74,5.93,7.14,10.35,4.44%,5.78%,28.20%,0.51%
"BOIL","NYSE",19.73,-3.38%,4558319,4403.44,1.04,4.23%,5.62%,-30.36%,-43.95%,-56.92%,-67.92%,,3.41,49.17,-31.62,-24.48,-0.71%,-4.29%,-40.67%,-3.99%
"BOAT","NYSE",52.54,0.40%,128704,37.06,3.47,3.40%,10.26%,24.98%,31.71%,66.46%,56.19%,Industrials,21.73,28.75,54.85,50.60,4.87%,14.18%,30.53%,0.25%
"IGV","CBOE",104.96,-0.56%,7603236,13693.40,0.56,3.07%,2.91%,14.87%,22.72%,-0.69%,-6.88%,Technology,-5.03,-12.28,47.01,26.76,0.44%,5.45%,12.06%,0.57%
"KIE","NYSE",62.62,-0.79%,976035,1203.48,0.81,0.87%,-0.95%,6.51%,11.72%,4.11%,8.38%,Financials,-10.45,27.04,5.25,-20.44,-1.11%,-1.77%,5.42%,-0.52%
"IHI","NYSE",51.90,0.23%,1721583,2914.95,0.59,0.82%,-5.77%,3.99%,-7.24%,-16.49%,-14.00%,Healthcare,0.59,0.51,-4.45,-10.83,-3.60%,-2.31%,-5.94%,0.36%
"MAGS","CBOE",69.52,-0.11%,2888321,4211.74,0.69,0.29%,3.22%,4.67%,13.72%,5.40%,7.92%,Technology,-0.67,14.60,3.96,36.25,1.18%,2.91%,6.18%,-0.66%
"IBUY","NYSE",67.79,-1.14%,3101,15.47,0.20,-0.21%,-6.01%,-1.25%,5.69%,-8.93%,-11.95%,Consumer Discretionary,0.00,0.66,-8.99,-15.84,-5.21%,-5.49%,-2.35%,-0.10%
"UFO","NASD",42.96,0.16%,120106,549.20,0.22,-0.23%,-11.35%,-16.22%,-8.17%,11.15%,24.96%,Space Exploration & Technology,-2.39,-37.63,926.37,16674.16,-2.35%,-4.66%,-8.44%,-0.14%
"BETZ","NYSE",19.13,-1.03%,5461,37.36,0.15,-0.47%,-1.72%,-3.77%,5.17%,-8.82%,-22.03%,Consumer Discretionary,0.00,1.43,-13.39,-24.94,-1.49%,-0.95%,-0.64%,-0.52%
"JETS","NYSE",27.80,-0.29%,5454581,2849.77,1.91,-0.79%,-9.89%,-9.24%,10.89%,-0.96%,8.17%,Industrials,-3.62,-12.37,-11.12,-19.83,-3.29%,-8.41%,-2.41%,-1.21%
