"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"SMH","NASD",601.41,-1.00%,6050327,9747.22,0.62,10.24%,9.99%,-2.83%,52.41%,67.00%,86.95%,Technology,1.61,2.19,12.14,13.42,6.46%,6.46%,22.51%,-0.49%
"BOIL","NYSE",21.72,0.37%,5674808,4629.27,1.23,10.09%,11.04%,-22.76%,-33.00%,-52.58%,-59.49%,,-14.34,50.98,-39.74,-38.00,7.67%,6.91%,-31.86%,-0.14%
"IGPT","NYSE",102.65,-1.42%,246477,181.46,1.36,9.54%,14.32%,2.80%,70.26%,72.61%,88.04%,Robotics & Automation,3.50,7.98,22.26,26.03,7.76%,10.89%,30.73%,-1.29%
"CNBS","NYSE",30.78,1.62%,8959,5.09,1.76,8.29%,8.50%,18.28%,31.62%,8.50%,12.76%,Cannabis Based Businesses,-3.36,-3.36,-22.67,-25.59,6.93%,13.23%,15.08%,1.12%
"ARKK","CBOE",89.77,-2.01%,3852983,5069.41,0.76,7.92%,6.97%,17.01%,30.10%,16.71%,7.41%,Innovation / Patent Based,37.35,27.27,22.29,9.06,4.44%,10.65%,15.87%,-1.76%
"BLOK","NYSE",65.51,-2.40%,283395,187.86,1.51,7.87%,5.09%,2.99%,26.35%,15.15%,-1.07%,Fintech,-1.06,-7.56,-8.92,-18.24,2.89%,5.92%,9.26%,-1.75%
"WISE","NASD",35.75,-1.36%,1302,6.77,0.19,5.33%,-0.52%,-3.82%,11.25%,-8.26%,-22.01%,Robotics & Automation,0.00,-9.27,-16.65,-7.17,1.40%,0.62%,-3.98%,-0.01%
"IPO","NYSE",53.76,-1.63%,13421,22.65,0.59,4.63%,0.35%,-4.93%,25.87%,17.77%,4.59%,,-1.75,-12.75,-7.07,-20.23,1.40%,0.35%,7.97%,-1.27%
"CIBR","NASD",104.01,1.40%,2402145,1589.66,1.51,3.70%,11.56%,24.12%,64.89%,45.57%,36.59%,Technology,3.63,7.03,9.11,11.69,6.00%,8.62%,31.74%,0.97%
"MAGS","CBOE",72.08,-0.68%,3649090,4295.47,0.85,3.68%,7.26%,15.00%,23.19%,9.28%,11.63%,Technology,16.17,36.44,17.22,36.60,3.24%,5.94%,9.89%,-0.98%
"COPX","NYSE",87.03,-3.28%,2299089,2997.81,0.77,3.37%,-7.93%,14.97%,19.22%,21.23%,60.81%,Materials,-6.46,-7.94,30.70,68.95,-3.29%,1.18%,5.73%,-0.35%
"IGV","CBOE",108.10,1.26%,6858916,12830.11,0.53,2.99%,5.51%,25.45%,33.75%,2.28%,-7.13%,Technology,-3.32,-13.86,49.41,27.65,2.48%,7.17%,15.39%,0.97%
"KWEB","NYSE",24.85,-2.05%,19920418,18603.59,1.07,2.52%,-5.33%,2.26%,-12.13%,-27.02%,-38.82%,Technology,-3.35,-7.84,-17.40,-15.86,-1.54%,-6.36%,-16.05%,-0.56%
"BOTZ","NASD",35.29,-2.00%,814951,740.93,1.10,1.64%,0.11%,-3.53%,4.35%,-2.59%,-1.04%,Robotics & Automation,-0.43,2.24,9.54,13.56,-0.28%,-1.14%,-4.42%,-0.95%
"JETS","NYSE",28.25,-2.99%,7554856,3045.01,2.48,1.62%,-4.79%,-13.02%,13.77%,0.64%,10.05%,Industrials,3.64,-3.38,-4.13,-9.83,-0.73%,-5.97%,-0.99%,-2.10%
"URA","NYSE",41.99,-4.00%,1980365,3164.39,0.63,1.50%,-8.10%,-6.10%,-12.87%,-1.73%,-16.62%,Materials,-0.07,1.59,17.17,38.82,-5.51%,-2.84%,-13.26%,-1.94%
"SIL","NYSE",92.22,-5.33%,1364914,1133.29,1.20,1.42%,-8.12%,22.03%,10.51%,10.42%,34.47%,Materials,-4.20,-4.00,-11.34,4.37,-4.74%,3.91%,1.32%,-2.25%
