"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"XOP","NYSE",192.72,1.99%,2822748,3337.80,0.85,5.47%,10.58%,14.14%,21.22%,52.64%,44.89%,Energy,-1.10,2.97,39.39,38.16,6.19%,12.50%,22.32%,0.27%
"OIH","NYSE",426.88,-0.54%,347245,312.04,1.11,5.22%,11.71%,-0.83%,11.00%,49.90%,66.20%,Energy,-4.61,-14.80,-0.92,17.17,3.57%,9.09%,13.57%,-1.19%
"BOIL","NYSE",20.58,1.03%,4705982,4134.29,1.14,4.31%,-0.53%,-25.86%,-44.65%,-55.07%,-66.24%,,7.56,57.91,-31.40,-26.72,4.38%,-6.80%,-42.31%,5.54%
"IGV","CBOE",106.18,-3.46%,12761079,15359.00,0.83,4.25%,8.99%,1.38%,26.22%,0.46%,-1.78%,Technology,1.91,-12.89,56.83,33.54,2.07%,9.69%,13.37%,-1.78%
"CIBR","NASD",96.20,-3.94%,2381308,1607.51,1.48,4.04%,2.44%,1.99%,50.52%,34.64%,31.53%,Technology,3.23,4.66,6.68,10.08,-1.26%,3.19%,24.79%,-2.66%
"COAL","NYSE",27.77,-0.50%,48927,41.84,1.17,2.95%,23.46%,-0.72%,8.77%,21.74%,35.64%,Energy,0.00,-12.32,102.66,134.68,7.76%,15.02%,11.34%,-1.00%
"EWZ","NYSE",36.57,1.50%,32960329,20853.00,1.58,1.92%,0.41%,2.21%,-0.68%,15.11%,24.39%,,-9.76,-19.17,12.89,26.37,4.52%,3.91%,2.00%,1.30%
"MAGS","CBOE",68.23,-0.74%,2652836,4386.12,0.60,0.92%,-0.22%,-1.36%,11.32%,3.44%,14.12%,Technology,10.90,-6.10,1.54,37.01,0.26%,2.69%,4.60%,0.81%
"IGPT","NYSE",90.71,-1.43%,165133,200.37,0.82,-0.62%,1.34%,-11.23%,48.78%,52.53%,78.30%,Robotics & Automation,2.55,9.59,21.02,26.11,-1.64%,-2.72%,20.04%,-0.15%
"CNBS","NYSE",28.43,-0.35%,5421,5.81,0.93,-0.74%,14.23%,-2.67%,24.80%,0.21%,-15.66%,Cannabis Based Businesses,0.00,-4.69,-20.95,-24.07,4.12%,6.45%,8.66%,0.11%
