"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"CIBR","NASD",101.00,0.95%,2165984,1547.97,1.40,7.44%,1.41%,17.07%,56.59%,41.36%,33.40%,Technology,2.04,5.92,7.15,10.40,5.32%,6.70%,29.32%,1.79%
"BOAT","NYSE",52.33,-0.08%,99993,35.94,2.78,3.46%,12.78%,23.10%,32.75%,65.80%,55.65%,Industrials,13.90,20.48,44.97,40.97,4.95%,14.36%,30.35%,0.11%
"XOP","NYSE",199.70,3.22%,3313183,3177.53,1.04,2.99%,10.64%,26.11%,19.32%,58.17%,54.40%,Energy,3.85,7.90,41.15,44.70,4.98%,11.87%,24.51%,2.55%
"IGV","CBOE",105.55,-1.02%,11259407,13726.19,0.82,2.82%,1.41%,13.89%,24.25%,-0.13%,-6.44%,Technology,-4.49,-11.98,47.60,25.02,1.15%,6.28%,12.70%,0.31%
"BOIL","NYSE",20.42,2.61%,4168258,4381.08,0.95,1.95%,5.53%,-23.83%,-42.35%,-55.41%,-65.30%,,7.55,53.81,-29.65,-17.63,2.79%,-1.66%,-39.02%,-0.49%
"KIE","NYSE",63.12,-0.46%,1023465,1208.75,0.85,0.96%,-1.76%,8.12%,13.20%,4.94%,8.05%,Financials,-7.76,28.53,7.84,-17.77,-0.39%,-1.04%,6.28%,-0.06%
"MAGS","CBOE",69.60,-0.71%,4484331,4193.58,1.07,0.77%,1.96%,4.47%,14.32%,5.52%,8.51%,Technology,-1.32,14.54,3.02,35.29,1.50%,3.12%,6.33%,-0.29%
"BETZ","NYSE",19.33,-0.17%,3063,37.56,0.08,0.12%,-1.22%,-3.45%,6.79%,-7.87%,-21.11%,Consumer Discretionary,0.00,1.43,-13.36,-24.88,-0.47%,0.06%,0.35%,-0.42%
"IHI","NYSE",51.78,-0.15%,9697442,2791.88,3.47,0.08%,-7.14%,4.29%,-6.84%,-16.69%,-14.19%,Healthcare,0.31,0.64,-4.93,-11.82,-4.14%,-2.55%,-6.26%,0.52%
"KRE","NYSE",74.05,-0.08%,16715902,12918.33,1.29,-0.35%,-4.98%,2.52%,16.69%,14.26%,15.06%,Financials,-6.06,-3.17,-3.59,-2.37,-0.47%,-1.88%,5.49%,-0.04%
"IBUY","NYSE",68.58,-1.31%,27116,15.31,1.77,-1.26%,-6.75%,0.31%,8.40%,-7.87%,-11.18%,Consumer Discretionary,0.00,0.65,-8.86,-15.63,-4.39%,-4.47%,-1.26%,-0.95%
"JETS","NYSE",27.88,-1.06%,5150276,2821.16,1.83,-1.38%,-11.66%,-8.47%,13.43%,-0.68%,8.31%,Industrials,-4.96,-18.91,-10.99,-19.63,-3.43%,-8.44%,-2.10%,-1.27%
"EWZ","NYSE",37.78,0.16%,16618011,21274.25,0.78,-2.15%,11.35%,9.06%,3.42%,18.92%,24.25%,,-5.02,-12.79,13.29,26.06,3.39%,5.34%,4.63%,0.49%
"BOTZ","NASD",34.63,-0.37%,555309,776.50,0.72,-2.75%,-8.24%,-9.46%,-2.15%,-4.42%,0.64%,Robotics & Automation,-0.33,2.77,9.79,12.60,-2.67%,-3.31%,-6.22%,-0.14%
"XRT","NYSE",83.22,-2.69%,3881606,4247.46,0.91,-2.89%,-6.44%,-4.83%,3.80%,-2.43%,-4.96%,Consumer Discretionary,-42.57,-8.43,-41.48,-14.64,-3.72%,-5.52%,-3.21%,-2.60%
"XHB","NYSE",97.76,-0.52%,3914233,2267.48,1.73,-2.97%,-10.33%,-9.76%,-3.85%,-5.05%,-15.33%,Consumer Discretionary,-8.88,-18.41,-20.05,-25.63,-4.88%,-7.71%,-8.51%,-0.55%
"ARKK","CBOE",83.49,-1.45%,3861095,5298.63,0.73,-3.01%,2.95%,4.85%,15.88%,8.54%,4.73%,Innovation / Patent Based,-1.12,-27.92,-12.23,-38.22,-1.25%,4.19%,8.14%,-0.49%
"INDA","CBOE",47.59,-1.73%,7659312,5315.95,1.44,-3.06%,-4.40%,-3.39%,-2.00%,-11.95%,-10.93%,,1.92,-2.87,-23.13,-22.53,-3.48%,-3.48%,-5.31%,-0.40%
"UFO","NASD",42.89,-0.16%,115078,581.17,0.20,-3.27%,-11.53%,-18.44%,-6.13%,10.97%,22.82%,Space Exploration & Technology,-2.38,-37.55,895.44,10658.09,-2.97%,-5.05%,-8.49%,-0.33%
"IGPT","NYSE",92.84,-0.17%,54297,187.22,0.29,-3.32%,-3.43%,-9.84%,48.52%,56.11%,73.79%,Robotics & Automation,4.49,9.89,23.19,27.99,0.06%,0.71%,20.16%,-0.41%
"KWEB","NYSE",24.48,-1.01%,11463546,19155.75,0.60,-3.47%,-9.37%,-8.04%,-20.10%,-28.11%,-40.21%,Technology,-3.68,-12.61,-17.81,-14.07,-5.10%,-8.33%,-18.35%,-0.69%
