"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)"
"KWEB","NYSE",27.44,2.35%,20495697,25672.15,0.80,4.61%,8.12%,-9.89%,-24.57%,-19.41%,-24.24%,Technology,-8.22,-7.06,-13.70,20.19
"XOP","NYSE",170.04,-0.08%,3252349,3646.18,0.89,2.94%,9.17%,6.48%,30.52%,34.67%,31.40%,Energy,-3.90,2.65,37.17,35.37
"BOAT","NYSE",41.76,0.88%,16096,22.51,0.72,2.90%,1.31%,1.03%,23.36%,32.30%,40.89%,Industrials,0.00,-11.28,27.48,31.39
"COAL","NYSE",23.34,1.64%,110689,66.54,1.66,1.75%,-6.64%,-6.42%,-11.22%,2.32%,20.43%,Energy,-14.56,-45.13,159.47,269.19
"XRT","NYSE",88.94,-0.54%,2316424,5203.54,0.45,1.68%,5.19%,2.29%,-2.13%,4.28%,11.64%,Consumer Discretionary,-4.98,-2.20,-3.07,72.52
"IBUY","NYSE",71.46,0.41%,2965,13.01,0.23,1.23%,6.41%,1.24%,-6.26%,-3.99%,2.24%,Consumer Discretionary,-11.24,-11.24,-19.39,-28.70
"KRE","NYSE",75.89,-1.04%,13550698,14489.42,0.94,1.03%,6.66%,7.84%,11.21%,17.10%,19.95%,Financials,3.15,18.30,11.92,21.44
"IGV","CBOE",92.98,0.19%,11687094,19556.61,0.60,0.30%,4.28%,9.29%,-6.81%,-12.03%,-16.28%,Technology,-2.85,7.79,81.00,22.25
"EWZ","NYSE",35.48,0.71%,13972384,24378.99,0.57,0.25%,4.02%,-13.80%,6.35%,11.68%,32.59%,,-4.92,-10.89,25.58,39.99
"CIBR","NASD",91.79,-0.62%,1218492,1622.19,0.75,-0.05%,8.98%,38.07%,27.29%,28.47%,23.69%,Technology,2.31,2.62,3.60,12.63
"MAGS","CBOE",66.93,0.03%,2966700,4171.59,0.71,-0.09%,3.70%,0.72%,2.83%,1.47%,17.03%,Technology,14.43,-6.02,2.56,44.54
"INDA","CBOE",48.55,-0.74%,5490819,6230.09,0.88,-0.49%,-1.04%,-5.32%,-8.77%,-10.18%,-10.92%,,-0.64,8.80,-21.20,-25.47
"IAI","NYSE",187.73,-0.34%,114025,104.53,1.09,-0.52%,0.08%,4.86%,-1.40%,4.66%,7.50%,Financials,-6.54,-16.72,-18.48,-12.07
"BLOK","NYSE",60.49,3.35%,221389,317.44,0.70,-0.53%,-7.93%,-0.28%,-5.87%,6.33%,-1.14%,Fintech,-3.65,-2.48,-5.26,-5.23
