"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"IGPT","NYSE",96.89,0.90%,179359,192.29,0.93,6.81%,7.08%,3.09%,55.90%,62.92%,85.08%,Robotics & Automation,2.85,8.22,20.01,24.50,4.13%,4.61%,26.66%,0.66%
"COPX","NYSE",95.27,0.94%,2610033,3114.25,0.84,6.76%,6.44%,18.88%,14.70%,32.71%,85.24%,Materials,-4.46,-4.19,32.68,72.40,4.35%,13.67%,17.47%,-0.42%
"URA","NYSE",46.86,-1.35%,2046320,3321.30,0.62,6.65%,5.59%,6.21%,-10.42%,9.67%,11.65%,Materials,-0.04,0.79,15.58,39.15,2.44%,8.52%,-3.39%,-0.68%
"SIL","NYSE",100.11,1.63%,928202,1243.25,0.75,6.17%,10.89%,28.69%,-4.75%,19.86%,61.05%,Materials,-0.29,-2.88,-8.96,7.68,3.37%,17.44%,11.31%,-0.72%
"BLOK","NYSE",64.27,-1.92%,165428,211.70,0.78,6.06%,8.78%,3.15%,20.54%,12.97%,4.20%,Fintech,-0.76,-13.99,-7.58,-9.79,2.92%,4.45%,7.55%,-2.59%
"SMH","NASD",574.29,0.10%,3395374,10499.89,0.32,5.33%,0.86%,-2.83%,44.54%,59.47%,92.84%,Technology,0.05,7.22,14.46,20.14,1.52%,0.39%,19.70%,0.77%
"RING","NASD",87.27,1.01%,303938,811.12,0.37,4.99%,11.34%,29.52%,-1.93%,18.51%,52.20%,Materials,-6.22,-15.07,-23.36,-16.62,1.81%,17.83%,12.24%,-0.92%
"ICLN","NASD",18.01,-1.64%,11968258,6155.67,1.94,4.47%,-0.39%,-12.70%,-1.32%,9.62%,25.16%,Green Investing,0.56,-21.47,3.58,10.44,1.30%,-1.28%,-3.99%,-1.53%
"BOAT","NYSE",50.81,0.45%,77300,31.43,2.46,4.44%,15.13%,24.06%,24.50%,60.98%,54.33%,Industrials,11.62,14.34,41.70,39.12,4.40%,13.69%,27.83%,-0.04%
"EWZ","NYSE",38.07,-1.40%,23600000,21634.91,1.09,4.10%,8.18%,12.23%,1.44%,19.83%,29.31%,,-8.97,-16.42,12.18,24.47,6.62%,6.99%,5.79%,-0.76%
"CNBS","NYSE",29.21,-1.21%,2996,5.71,0.52,2.73%,13.01%,-7.42%,27.31%,2.95%,-4.09%,Cannabis Based Businesses,-3.47,-7.88,-23.24,-26.21,3.68%,8.52%,10.73%,-0.54%
"COAL","NYSE",28.40,-0.18%,25429,40.75,0.62,2.27%,14.52%,8.31%,9.23%,24.51%,39.08%,Energy,3.77,-8.81,106.54,124.18,6.37%,15.36%,13.19%,-1.35%
"IPO","NYSE",52.97,-2.25%,8978,32.62,0.28,2.00%,-3.92%,-1.63%,22.53%,16.04%,3.22%,,-3.52,-8.18,-7.13,-18.11,-2.57%,-2.88%,7.18%,-1.87%
"TAN","NYSE",47.74,-2.83%,732099,1144.50,0.64,1.88%,-7.94%,-22.79%,-13.04%,-2.81%,13.75%,Green Investing,-16.32,-33.26,14.86,33.47,-3.14%,-7.62%,-13.35%,-2.87%
"ARKK","CBOE",84.56,-1.77%,3778063,5689.04,0.66,1.78%,5.12%,12.75%,16.01%,9.93%,10.41%,Innovation / Patent Based,-1.96,-12.93,-12.04,-18.63,0.50%,5.71%,9.78%,-1.79%
"MAGS","CBOE",69.32,0.36%,2395201,4281.81,0.56,1.60%,0.41%,5.57%,11.93%,5.09%,12.31%,Technology,1.62,11.32,3.00,36.85,1.61%,3.24%,6.07%,-0.14%
"XOP","NYSE",195.01,0.57%,2183094,3253.02,0.67,1.19%,10.85%,18.87%,22.65%,54.45%,51.14%,Energy,0.74,8.85,37.40,36.90,4.23%,11.34%,22.60%,-0.49%
"KRE","NYSE",73.45,-1.16%,10842022,13296.69,0.82,1.14%,-3.39%,3.10%,13.49%,13.33%,13.26%,Financials,-5.67,1.85,-4.00,-8.86,-2.23%,-2.83%,5.00%,-0.23%
