"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"IHI","NYSE",53.30,1.16%,2650218,2974.94,0.89,7.87%,5.19%,2.46%,-11.81%,-14.24%,-13.28%,Healthcare,-0.11,-1.29,-7.13,-16.46,4.49%,6.14%,-5.50%
"KWEB","NYSE",27.80,1.79%,21368004,25143.62,0.85,5.14%,14.40%,-1.10%,-22.56%,-18.36%,-22.26%,Technology,-1.90,-10.23,-13.55,0.24,4.96%,5.46%,-13.25%
"KIE","NYSE",65.73,-1.08%,1250835,1318.81,0.95,4.78%,7.07%,13.17%,14.13%,9.28%,15.86%,Financials,31.54,27.18,5.40,-27.95,2.92%,9.22%,12.52%
"IGV","CBOE",92.37,0.64%,13624562,18596.06,0.73,3.76%,2.76%,8.67%,-5.51%,-12.60%,-18.26%,Technology,-2.03,8.34,82.50,22.32,0.11%,-0.49%,-2.70%
"BETZ","NYSE",19.61,-0.26%,6420,40.80,0.16,3.55%,2.89%,3.22%,2.23%,-6.52%,-17.81%,Consumer Discretionary,-15.78,-4.84,-13.18,-28.42,1.67%,2.48%,0.03%
"IBUY","NYSE",72.02,-1.08%,9056,13.04,0.69,3.01%,3.08%,6.69%,-3.09%,-3.24%,1.67%,Consumer Discretionary,-13.84,-13.84,-21.62,-30.55,1.84%,5.16%,3.52%
"XRT","NYSE",91.40,-0.13%,5319278,5272.83,1.01,3.00%,3.93%,8.17%,3.37%,7.16%,13.92%,Consumer Discretionary,19.10,21.71,-0.60,42.72,3.40%,6.01%,7.53%
"JETS","NYSE",30.97,-2.79%,3040203,3349.34,0.91,2.89%,-6.38%,22.51%,11.16%,10.33%,27.71%,Industrials,-16.43,-17.19,-14.91,-29.14,-1.37%,2.72%,12.17%
"ITA","CBOE",236.26,-3.56%,917052,798.46,1.15,2.23%,-1.20%,9.27%,-0.32%,10.05%,19.79%,Industrials,-1.08,-4.78,-0.98,23.74,-0.90%,0.72%,4.83%
"BOAT","NYSE",43.40,0.18%,21365,24.09,0.89,1.98%,13.14%,6.95%,24.38%,37.50%,41.16%,Industrials,0.00,-10.88,26.12,29.78,4.86%,5.19%,15.87%
"INDA","CBOE",49.17,-0.43%,8751245,6250.77,1.40,1.97%,-0.02%,-0.12%,-4.88%,-9.03%,-8.08%,,-4.91,0.11,-24.69,-29.84,0.61%,1.10%,-3.64%
"KRE","NYSE",76.18,-0.79%,18481632,14420.45,1.28,0.77%,1.91%,8.26%,11.60%,17.54%,23.71%,Financials,-4.31,8.22,2.23,5.88,0.75%,4.48%,12.42%
"CIBR","NASD",88.79,-0.55%,1624947,1611.39,1.01,-0.60%,0.33%,32.23%,23.27%,24.27%,19.23%,Technology,1.94,3.44,4.23,13.11,-2.62%,1.05%,18.96%
"UFO","NASD",42.86,-2.21%,633186,1293.39,0.49,-2.03%,-12.87%,-14.30%,-9.33%,10.89%,44.14%,Space Exploration & Technology,-22.45,5.73,809.06,52339.22,-6.18%,-16.86%,-5.45%
"XHB","NYSE",104.68,-4.52%,2792204,2679.82,1.04,-2.10%,-9.28%,-2.10%,-4.91%,1.67%,-0.70%,Consumer Discretionary,-1.38,-5.80,-7.39,2.40,-3.47%,-2.16%,-2.09%
"XOP","NYSE",172.04,3.41%,5083450,3627.62,1.40,-2.58%,10.73%,0.23%,27.06%,36.26%,30.55%,Energy,2.22,2.94,41.52,36.38,3.95%,4.63%,13.82%
"XBI","NYSE",147.91,-1.25%,9034024,9072.54,1.00,-2.76%,-6.57%,12.77%,15.08%,21.31%,72.31%,Healthcare,-2.96,2.79,2.54,15.59,-4.87%,2.33%,15.03%
"PAVE","CBOE",54.99,-3.70%,5419308,1889.21,2.87,-2.84%,-6.16%,-1.33%,7.47%,15.07%,18.59%,Infrastructure,-0.20,5.78,17.40,22.34,-3.03%,-3.38%,4.48%
"IAI","NYSE",184.37,-2.37%,78938,104.83,0.75,-2.87%,5.23%,4.03%,-0.35%,2.79%,5.31%,Financials,-4.69,-14.82,-18.42,-10.55,-2.15%,0.20%,3.89%
"EWZ","NYSE",35.47,-1.61%,19402090,23542.35,0.82,-3.14%,2.66%,-10.63%,-6.39%,11.65%,33.00%,,-4.30,-12.95,24.88,38.77,0.15%,0.83%,0.44%
"BOTZ","NASD",33.68,-0.88%,1061551,1008.91,1.05,-3.47%,-8.63%,-10.57%,-11.97%,-7.04%,-0.53%,Robotics & Automation,0.24,3.85,7.97,12.17,-5.35%,-9.86%,-8.82%
"RING","NASD",63.44,-0.58%,2401257,595.15,4.03,-3.59%,-2.11%,-17.52%,-32.28%,-13.85%,40.76%,Materials,-2.54,-13.21,-17.73,-5.00,-1.12%,-7.31%,-15.72%
"COAL","NYSE",22.84,0.07%,29021,56.17,0.52,-4.06%,-0.68%,-10.94%,-14.54%,0.14%,14.60%,Energy,-10.81,-28.00,162.51,258.73,-1.04%,-6.76%,-7.41%
"COPX","NYSE",76.14,-0.50%,2893420,3662.02,0.79,-4.81%,0.53%,-3.24%,-15.79%,6.06%,72.30%,Materials,-0.67,6.55,51.57,118.73,-0.28%,-5.71%,-1.16%
"OIH","NYSE",367.94,-0.92%,302478,363.00,0.83,-5.29%,-1.35%,-16.68%,4.73%,29.21%,43.95%,Energy,-4.95,-11.19,6.56,16.71,-2.29%,-8.00%,2.30%
"MAGS","CBOE",62.56,-1.39%,3511409,4238.86,0.83,-5.64%,-1.51%,-6.43%,-6.00%,-5.15%,8.29%,Technology,5.07,-19.36,-8.13,33.01,-5.05%,-5.73%,-3.78%
"SIL","NYSE",72.94,-1.42%,1319568,1464.12,0.90,-5.76%,-5.77%,-18.25%,-35.30%,-12.67%,48.07%,Materials,-1.09,-6.48,-10.76,19.74,-3.20%,-9.74%,-15.70%
"CNBS","NYSE",23.87,-1.45%,10320,10.43,0.99,-7.03%,-14.66%,-18.17%,-10.09%,-15.86%,30.67%,Cannabis Based Businesses,0.00,-15.03,-23.85,-22.38,-8.97%,-13.44%,-9.29%
"IPO","NYSE",49.80,-3.09%,28065,39.84,0.70,-7.14%,-15.22%,4.73%,5.11%,9.09%,8.64%,,-5.19,2.37,-2.16,-7.53,-8.95%,-9.79%,2.78%
"ARKK","CBOE",70.58,-2.58%,6378042,6851.80,0.93,-7.17%,-12.46%,-6.45%,-11.52%,-8.24%,-5.57%,Innovation / Patent Based,-2.59,-39.86,-10.75,-16.30,-8.87%,-9.01%,-8.86%
"WISE","NASD",31.85,-2.66%,4275,11.00,0.39,-8.08%,-14.67%,-13.18%,-19.95%,-18.27%,-16.05%,Robotics & Automation,-10.14,-13.96,-18.07,-4.88,-9.67%,-16.62%,-17.65%
"URA","NYSE",37.52,-3.67%,3320463,3607.86,0.92,-8.42%,-14.59%,-30.81%,-35.14%,-12.19%,-6.78%,Materials,0.67,-1.76,18.30,52.62,-8.23%,-16.17%,-24.02%
"ICLN","NASD",16.87,-1.92%,6278192,5833.22,1.08,-9.01%,-15.14%,-14.97%,-9.20%,2.68%,22.87%,Green Investing,-10.14,13.53,19.58,28.95,-9.70%,-17.22%,-9.43%
