"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"KWEB","NYSE",28.49,1.53%,23287805,25317.85,0.92,8.37%,13.42%,-0.97%,-21.49%,-16.33%,-19.61%,Technology,-1.63,-9.95,-13.19,-0.93,6.27%,8.06%,-10.79%
"IGV","CBOE",94.58,1.36%,10984900,18510.45,0.59,7.50%,1.33%,12.72%,2.50%,-10.51%,-15.30%,Technology,-5.18,-1.44,71.80,21.43,2.45%,1.82%,-0.16%
"IBUY","NYSE",71.47,-0.38%,4505,12.88,0.35,4.73%,1.90%,5.54%,-2.34%,-3.99%,0.99%,Consumer Discretionary,-3.21,-14.05,-21.92,-27.54,0.88%,3.84%,2.74%
"IHI","NYSE",52.51,-0.44%,2842282,2960.88,0.96,4.54%,5.06%,2.84%,-11.75%,-15.51%,-12.03%,Healthcare,1.66,0.66,-5.24,-14.30,2.60%,4.35%,-6.79%
"MAGS","CBOE",65.96,3.19%,4608835,4193.93,1.10,4.45%,0.18%,-0.42%,-0.63%,0.00%,12.58%,Technology,0.48,-22.22,-9.22,30.62,0.19%,-0.37%,1.43%
"BOTZ","NASD",35.22,0.92%,906461,987.80,0.92,4.11%,-7.46%,-8.40%,-7.22%,-2.79%,5.23%,Robotics & Automation,0.06,3.93,7.77,11.85,-0.28%,-5.30%,-4.62%
"JETS","NYSE",31.28,-1.26%,5245482,3279.53,1.60,3.92%,-5.87%,23.05%,10.06%,11.44%,30.61%,Industrials,-14.52,-15.70,-14.98,-25.04,0.17%,2.89%,13.00%
"CIBR","NASD",91.83,2.01%,1375092,1617.23,0.85,3.88%,0.79%,36.15%,32.02%,28.52%,26.33%,Technology,1.31,3.10,3.73,12.28,0.71%,4.02%,22.79%
"INDA","CBOE",49.80,0.20%,5260724,6419.79,0.82,3.71%,1.20%,0.77%,-3.51%,-7.86%,-5.40%,,-5.62,-2.10,-24.99,-30.06,1.82%,2.21%,-2.34%
"WISE","NASD",34.27,2.08%,3790,11.33,0.33,3.43%,-10.79%,-8.83%,-11.88%,-12.05%,-9.43%,Robotics & Automation,-9.92,-3.25,-17.70,-4.77,-1.76%,-9.87%,-11.14%
"XRT","NYSE",89.78,-0.88%,4169205,5312.94,0.78,3.18%,2.21%,4.66%,3.97%,5.26%,14.43%,Consumer Discretionary,-18.52,7.21,-35.01,16.74,1.31%,3.61%,5.52%
"EWZ","NYSE",36.65,0.33%,23403926,23119.29,1.01,2.57%,7.23%,-7.68%,-3.86%,15.36%,38.51%,,-3.55,-12.79,24.45,38.03,2.82%,4.15%,3.56%
"UFO","NASD",43.79,-0.07%,317437,1283.07,0.25,1.93%,-12.73%,-15.22%,-7.07%,13.30%,47.64%,Space Exploration & Technology,-21.13,4.57,816.94,8049.70,-2.73%,-14.15%,-3.51%
"XOP","NYSE",177.40,1.45%,2145497,3619.56,0.59,1.92%,15.38%,-0.45%,27.65%,40.50%,38.43%,Energy,11.03,8.49,43.47,41.04,5.79%,7.93%,16.98%
"COPX","NYSE",78.86,-0.81%,1570490,3655.90,0.43,1.47%,4.74%,-0.94%,-16.31%,9.85%,83.18%,Materials,-0.29,-0.03,49.95,113.17,2.85%,-2.27%,2.15%
"BETZ","NYSE",19.12,-0.58%,4400,40.91,0.11,1.07%,0.79%,-1.21%,0.20%,-8.87%,-21.09%,Consumer Discretionary,-7.18,-1.33,-13.45,-28.90,-0.97%,-0.22%,-2.32%
"BOAT","NYSE",44.06,-0.74%,22758,23.92,0.95,0.69%,16.85%,6.27%,22.29%,39.59%,46.58%,Industrials,0.00,-10.72,25.56,29.13,4.96%,6.56%,17.17%
"KRE","NYSE",76.06,0.21%,11916491,14479.42,0.82,0.44%,-0.16%,8.89%,10.18%,17.36%,26.64%,Financials,-3.67,2.08,3.79,12.91,0.55%,3.85%,12.00%
"KIE","NYSE",64.24,-0.28%,771853,1328.28,0.58,0.16%,2.95%,12.05%,10.00%,6.80%,13.50%,Financials,31.69,25.65,4.00,-31.79,0.42%,6.28%,9.85%
"ITA","CBOE",239.66,0.64%,411092,788.83,0.52,-0.20%,-1.72%,9.65%,2.96%,11.63%,21.90%,Industrials,-1.61,-5.16,-1.50,23.25,0.82%,1.83%,6.19%
"CNBS","NYSE",24.89,-0.68%,4634,10.46,0.44,-0.29%,-11.86%,-15.69%,0.07%,-12.28%,40.51%,Cannabis Based Businesses,0.00,-14.71,-23.40,-21.95,-3.79%,-9.57%,-5.21%
"IAI","NYSE",186.26,-0.34%,32756,104.87,0.31,-0.34%,2.79%,5.53%,0.82%,3.84%,6.05%,Financials,-4.74,-14.96,-18.59,-10.66,-1.35%,1.03%,4.87%
"IPO","NYSE",51.15,-2.11%,12152,40.23,0.30,-0.60%,-12.44%,5.53%,10.91%,12.05%,11.12%,,-5.10,2.34,-2.13,-7.42,-5.40%,-7.51%,5.53%
"ARKK","CBOE",71.24,-2.28%,6189401,6757.07,0.92,-0.90%,-12.96%,-6.07%,-8.24%,-7.38%,-5.43%,Innovation / Patent Based,-2.92,-13.65,-11.19,-18.45,-6.88%,-8.06%,-7.83%
"RING","NASD",63.77,-3.07%,488397,631.07,0.77,-1.12%,-1.30%,-16.68%,-31.18%,-13.40%,45.86%,Materials,-3.44,-13.99,-18.46,-5.87,-0.43%,-6.30%,-15.27%
"ICLN","NASD",17.55,-0.68%,8025918,5917.16,1.36,-1.29%,-13.03%,-15.50%,-5.19%,6.82%,30.87%,Green Investing,-8.13,12.66,18.46,27.39,-4.88%,-13.28%,-5.86%
"BLOK","NYSE",59.26,-1.22%,97918,308.00,0.32,-1.64%,-5.46%,-0.35%,-3.86%,4.17%,0.34%,Fintech,-3.51,-9.42,-6.94,-9.78,-2.79%,-6.08%,-2.01%
"OIH","NYSE",384.81,2.39%,165857,351.34,0.47,-1.75%,6.87%,-14.15%,9.94%,35.13%,57.89%,Energy,-7.60,-11.89,4.42,14.24,1.63%,-3.09%,6.59%
"URA","NYSE",39.07,-1.64%,3552533,3611.34,0.98,-2.06%,-9.52%,-30.75%,-34.15%,-8.57%,-0.74%,Materials,0.53,-1.89,18.09,52.21,-3.54%,-12.03%,-20.65%
"IGPT","NYSE",86.71,0.59%,433917,227.44,1.91,-2.22%,-13.41%,11.47%,30.80%,45.80%,71.13%,Robotics & Automation,2.10,18.61,21.55,29.53,-5.31%,-9.51%,20.56%
"SIL","NYSE",73.75,-3.20%,695276,1442.67,0.48,-2.24%,-4.46%,-16.74%,-33.35%,-11.70%,55.79%,Materials,-1.34,-11.36,-10.76,18.81,-1.64%,-8.12%,-14.78%
"PAVE","CBOE",56.36,0.46%,1927065,1945.52,0.99,-2.31%,-2.29%,-0.76%,10.08%,17.93%,23.35%,Infrastructure,4.36,10.40,23.35,28.66,-0.41%,-1.12%,6.89%
"XBI","NYSE",147.01,-2.94%,8035211,9053.66,0.89,-2.31%,-6.09%,11.94%,15.99%,20.57%,71.62%,Healthcare,-3.65,2.40,2.07,14.27,-4.89%,1.09%,13.94%
"SMH","NASD",540.53,0.30%,14589855,11968.67,1.22,-3.68%,-12.88%,6.67%,29.46%,50.09%,87.18%,Technology,6.87,7.67,18.29,26.27,-5.44%,-9.33%,19.98%
"TAN","NYSE",49.33,-1.02%,2019305,1418.40,1.42,-3.80%,-14.65%,-15.55%,-11.52%,0.43%,34.05%,Green Investing,-5.79,1.15,47.36,70.11,-6.95%,-16.76%,-10.18%
"XHB","NYSE",103.69,-0.79%,2905008,2724.17,1.07,-4.38%,-7.94%,-2.18%,-6.09%,0.71%,1.75%,Consumer Discretionary,0.73,-3.21,-9.97,-2.78,-3.63%,-3.39%,-3.02%
"COAL","NYSE",22.62,-2.10%,6617,54.28,0.12,-4.48%,0.62%,-13.30%,-15.85%,-0.83%,18.14%,Energy,-7.20,-22.80,158.77,250.66,-2.12%,-7.39%,-8.29%
"BOIL","NYSE",20.52,1.23%,3049583,4084.07,0.75,-9.16%,-22.51%,-20.83%,-68.55%,-55.20%,-71.32%,,76.17,-13.76,-37.57,-11.25,-9.01%,-19.94%,-48.79%
