"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"CIBR","NASD",100.05,5.99%,2855569,1523.11,1.87,5.77%,-2.10%,17.25%,53.57%,40.03%,33.51%,Technology,2.24,6.29,7.60,11.08,4.51%,5.88%,28.33%,4.06%
"BOAT","NYSE",52.37,0.71%,144762,34.06,4.25,2.99%,15.20%,23.37%,36.92%,65.92%,57.60%,Industrials,14.01,20.66,45.44,41.39,5.52%,15.08%,30.77%,0.27%
"IGV","CBOE",106.64,5.04%,13157136,13755.42,0.96,1.98%,0.34%,17.57%,26.67%,0.90%,-4.50%,Technology,-4.85,-14.96,50.91,33.25,2.37%,7.61%,13.88%,2.96%
"XOP","NYSE",193.47,-1.15%,3788567,3175.59,1.19,1.45%,7.98%,17.01%,15.24%,53.23%,48.67%,Energy,6.15,7.17,41.13,44.62,2.14%,8.94%,20.89%,-2.71%
"MAGS","CBOE",70.10,0.30%,3163262,4217.28,0.75,0.95%,2.35%,8.00%,16.95%,6.28%,11.39%,Technology,-3.56,11.68,1.45,34.08,2.40%,3.97%,7.12%,0.60%
"BETZ","NYSE",19.36,0.01%,3134,37.73,0.08,-0.04%,0.60%,-3.86%,6.94%,-7.72%,-20.93%,Consumer Discretionary,0.00,1.42,-13.34,-24.86,-0.34%,0.23%,0.48%,0.14%
"EWZ","NYSE",37.72,-1.23%,21084010,21435.48,0.98,-0.37%,11.70%,7.46%,6.28%,18.73%,26.03%,,-6.57,-14.01,12.22,24.56,3.76%,5.34%,4.54%,1.23%
"KIE","NYSE",63.41,1.70%,1057701,1210.77,0.87,-0.77%,-0.86%,8.50%,14.44%,5.42%,7.11%,Financials,-5.16,30.82,10.66,-16.62,0.06%,-0.61%,6.80%,0.57%
"ICLN","NASD",17.56,-2.01%,5723153,6276.96,0.91,-1.18%,-4.36%,-16.06%,-4.46%,6.88%,20.03%,Green Investing,1.10,-18.32,8.22,15.54,-0.76%,-3.00%,-6.51%,0.80%
"CNBS","NYSE",28.69,3.24%,1717,5.54,0.31,-1.47%,4.99%,-1.70%,22.10%,1.14%,9.56%,Cannabis Based Businesses,-3.68,-8.34,-24.36,-27.42,1.24%,6.75%,8.29%,4.64%
