"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"OIH","NYSE",421.33,2.62%,191609,330.81,0.58,8.51%,11.73%,-4.55%,12.69%,47.95%,75.83%,Energy,-9.93,-16.21,-1.05,12.69,7.77%,7.84%,14.50%,2.37%
"XOP","NYSE",180.49,0.74%,2051605,3473.48,0.59,8.47%,8.44%,6.66%,24.79%,42.95%,44.22%,Energy,4.39,4.79,39.97,37.84,4.11%,9.09%,17.17%,0.34%
"CNBS","NYSE",26.96,-1.35%,2115,9.86,0.21,5.24%,4.70%,-3.94%,15.76%,-4.97%,-11.66%,Cannabis Based Businesses,0.00,-12.23,-21.82,-20.44,5.63%,-0.64%,3.41%,0.82%
"IGPT","NYSE",96.14,0.92%,60951,220.38,0.28,5.15%,7.13%,5.87%,53.77%,61.66%,87.60%,Robotics & Automation,-5.46,9.58,17.42,22.54,6.49%,1.38%,30.54%,0.10%
"BOAT","NYSE",46.40,2.07%,33614,25.39,1.32,4.53%,11.65%,9.73%,24.97%,47.01%,49.95%,Industrials,6.74,-4.37,32.93,30.12,6.05%,10.67%,21.17%,1.18%
"COAL","NYSE",25.10,2.68%,14614,46.58,0.31,3.70%,9.37%,0.04%,-2.14%,10.04%,18.85%,Energy,0.00,-21.64,134.72,185.92,5.94%,4.77%,1.61%,0.48%
"IPO","NYSE",57.00,-0.28%,14123,39.01,0.36,2.76%,7.18%,12.91%,33.55%,24.86%,14.16%,,-6.26,-1.23,-5.19,-12.44,5.97%,2.92%,16.83%,-0.87%
"BETZ","NYSE",19.57,1.68%,7537,40.51,0.19,2.67%,1.03%,6.29%,10.87%,-6.73%,-19.05%,Consumer Discretionary,-0.95,1.43,-13.41,-26.31,2.09%,1.66%,0.87%,2.88%
"IHI","NYSE",55.76,-0.62%,2624231,2918.79,0.90,2.54%,6.82%,14.36%,-2.79%,-10.28%,-9.47%,Healthcare,3.53,-1.01,-4.85,-12.82,5.00%,8.46%,-0.52%,-0.69%
"KRE","NYSE",77.93,0.23%,7297704,13931.51,0.52,2.26%,0.01%,15.04%,10.23%,20.24%,24.49%,Financials,-4.55,8.53,2.50,16.89,1.89%,4.17%,13.38%,0.49%
"ARKK","CBOE",81.10,-1.80%,4051104,6428.60,0.63,2.10%,5.78%,3.97%,18.48%,5.43%,5.26%,Innovation / Patent Based,-4.83,-8.08,-11.50,-28.99,6.58%,4.62%,5.57%,-1.84%
"CIBR","NASD",99.60,-2.54%,1294243,1630.82,0.79,1.79%,8.39%,27.11%,53.00%,39.40%,38.85%,Technology,1.61,4.26,4.89,12.07,5.78%,9.87%,31.23%,-2.47%
"IAI","NYSE",191.17,-0.44%,33799,91.22,0.37,1.55%,-0.58%,6.41%,14.45%,6.58%,8.37%,Financials,0.01,-7.54,-18.18,-10.39,1.53%,2.71%,7.15%,-0.33%
"BLOK","NYSE",60.73,0.63%,171887,272.09,0.63,1.40%,1.83%,-7.32%,15.32%,6.75%,2.46%,Fintech,-2.96,-12.69,-7.42,-9.80,0.67%,-1.99%,1.29%,0.48%
"IGV","CBOE",104.08,-2.07%,9182448,17322.50,0.53,1.35%,11.08%,14.83%,28.56%,-1.52%,-3.93%,Technology,-5.21,-3.50,53.78,17.07,7.46%,10.90%,10.55%,-2.24%
