"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)"
"XOP","NYSE",175.66,-0.53%,3383668,3633.46,0.93,5.54%,13.30%,4.40%,30.48%,39.13%,36.74%,Energy,-4.27,6.25,38.00,37.65
"URA","NYSE",41.13,0.39%,2966014,3673.59,0.81,5.16%,-9.76%,-28.75%,-26.75%,-3.74%,-0.19%,Materials,-0.19,-0.51,16.85,47.81
"RING","NASD",64.49,-1.99%,844608,566.46,1.49,5.02%,-3.53%,-21.32%,-25.25%,-12.43%,41.43%,Materials,4.59,-8.45,-11.29,3.67
"COPX","NYSE",78.37,-2.03%,2420840,3732.19,0.65,4.94%,-1.40%,-7.69%,-6.67%,9.17%,68.54%,Materials,-1.25,3.84,47.51,101.65
"SIL","NYSE",75.28,-2.74%,1184906,1527.93,0.78,4.69%,-4.14%,-22.50%,-26.40%,-9.87%,47.61%,Materials,-0.86,-6.45,-10.15,19.76
"COAL","NYSE",24.00,0.80%,60365,65.34,0.92,4.58%,1.69%,-6.80%,-10.41%,5.22%,12.86%,Energy,-10.37,-32.05,144.44,234.47
"BOIL","NYSE",22.90,0.22%,3286902,4110.28,0.80,4.09%,-15.19%,-16.79%,-57.59%,-50.00%,-68.66%,,64.24,-4.47,-36.59,49.42
"BLOK","NYSE",62.04,-0.80%,154094,311.38,0.49,4.02%,-4.98%,1.12%,-1.90%,9.05%,0.52%,Fintech,-3.41,-6.67,-4.92,-7.48
"BOAT","NYSE",43.06,1.18%,32664,22.36,1.46,3.61%,3.16%,7.89%,26.85%,36.43%,39.57%,Industrials,0.00,-11.01,26.55,30.28
"ITA","CBOE",238.23,3.08%,800908,818.96,0.98,3.18%,0.97%,8.71%,-0.85%,10.96%,21.00%,Industrials,-0.44,-3.82,-0.67,26.46
"EWZ","NYSE",36.17,-1.23%,16189080,24194.17,0.67,2.38%,5.92%,-10.89%,3.28%,13.85%,32.07%,,-4.74,-12.41,24.39,37.92
