"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"RING","NASD",78.38,0.46%,268630,650.84,0.41,19.45%,20.79%,-4.68%,-5.68%,6.44%,58.22%,Materials,-10.61,-15.46,-20.15,-9.60,18.33%,15.80%,3.96%,1.16%
"SIL","NYSE",90.28,2.01%,1502102,1357.25,1.11,19.12%,18.24%,-7.16%,-7.30%,8.09%,65.86%,Materials,-1.07,-5.03,-9.61,15.49,17.09%,13.54%,4.02%,2.30%
"COPX","NYSE",89.51,1.68%,2140706,3587.38,0.60,12.79%,16.95%,4.12%,5.70%,24.68%,93.58%,Materials,1.66,7.71,42.71,93.38,12.25%,10.85%,14.88%,0.65%
"COAL","NYSE",24.80,2.46%,25808,48.99,0.53,10.26%,9.59%,-1.16%,-4.48%,8.72%,18.83%,Energy,-6.88,-21.92,140.08,195.01,6.00%,2.58%,0.59%,1.14%
"ARKK","CBOE",80.44,1.27%,4027707,6713.68,0.60,9.38%,0.24%,1.67%,14.25%,4.58%,7.60%,Innovation / Patent Based,-4.49,-5.56,-11.04,-15.38,6.74%,3.89%,4.52%,1.20%
"URA","NYSE",44.38,-1.18%,3096906,3614.06,0.86,8.75%,3.28%,-19.57%,-14.92%,3.86%,11.09%,Materials,1.33,-0.05,16.72,43.45,8.85%,1.71%,-9.23%,-1.22%
"IGV","CBOE",105.01,2.26%,9093553,17548.25,0.52,7.79%,13.63%,15.21%,27.35%,-0.64%,-4.21%,Technology,-5.05,0.19,58.98,20.09,10.90%,11.96%,11.28%,2.74%
"OIH","NYSE",411.34,5.94%,520038,332.03,1.57,7.64%,8.18%,-2.26%,12.05%,44.45%,73.19%,Energy,-11.88,-17.66,0.02,13.96,7.09%,5.07%,12.64%,4.73%
"XBI","NYSE",158.03,0.42%,7452815,8981.61,0.83,7.28%,-0.63%,17.31%,25.91%,29.61%,84.98%,Healthcare,-0.96,6.11,4.31,14.96,3.73%,6.87%,21.19%,1.31%
"CIBR","NASD",100.60,2.81%,2151705,1617.19,1.33,7.12%,9.49%,33.56%,49.86%,40.80%,41.45%,Technology,1.67,4.09,4.64,12.17,8.57%,11.78%,33.36%,2.77%
"WISE","NASD",37.74,-0.99%,5125,11.22,0.46,6.32%,1.88%,-5.44%,4.99%,-3.15%,-3.08%,Robotics & Automation,0.00,-2.88,-15.94,-4.23,7.93%,0.36%,-1.48%,-0.00%
"UFO","NASD",47.88,-0.52%,277202,1246.37,0.22,5.35%,2.02%,-12.15%,8.89%,23.88%,58.87%,Space Exploration & Technology,-10.97,1.65,418.27,715.29,6.84%,-2.41%,4.95%,-0.79%
"SMH","NASD",569.41,-2.28%,6441265,11834.12,0.54,4.39%,-6.81%,0.51%,41.77%,58.11%,93.99%,Technology,0.70,7.50,14.15,21.77,1.10%,-4.19%,24.51%,-2.83%
"BOTZ","NASD",37.42,-0.51%,463752,965.22,0.48,4.15%,1.38%,-9.72%,-0.16%,3.28%,11.37%,Robotics & Automation,1.80,2.97,9.06,12.84,5.64%,1.60%,1.30%,-0.51%
"CNBS","NYSE",25.84,0.88%,4517,9.99,0.45,3.84%,-2.52%,-11.25%,1.71%,-8.90%,15.00%,Cannabis Based Businesses,0.00,-12.88,-22.86,-21.43,1.76%,-5.26%,-0.99%,0.99%
"IPO","NYSE",55.13,-0.61%,7394,39.89,0.19,3.76%,-4.24%,11.69%,24.62%,20.77%,12.26%,,-7.08,-2.09,-6.01,-9.53,3.39%,-0.59%,13.33%,-0.93%
"IHI","NYSE",55.45,1.97%,3169971,2969.41,1.07,2.29%,8.01%,13.14%,-4.99%,-10.78%,-9.57%,Healthcare,3.17,-1.04,-5.47,-13.85,6.64%,9.11%,-1.29%,2.16%
"ITA","CBOE",251.13,0.15%,485110,760.01,0.64,2.05%,5.05%,12.37%,7.35%,16.97%,27.83%,Industrials,0.99,-1.82,1.08,24.38,4.52%,5.51%,10.67%,-0.17%
"IBUY","NYSE",74.35,-0.32%,12404,15.53,0.80,1.88%,5.08%,12.83%,8.03%,-0.12%,3.97%,Consumer Discretionary,9.57,-2.26,-10.91,-17.13,3.47%,6.57%,6.90%,-0.07%
"XHB","NYSE",108.24,-2.31%,1744135,2685.74,0.65,1.77%,-0.34%,5.59%,-7.70%,5.13%,0.08%,Consumer Discretionary,-22.48,-3.16,-4.34,-1.38,0.38%,-0.04%,1.21%,-1.35%
"KWEB","NYSE",29.12,1.61%,18091076,24321.64,0.74,1.32%,10.39%,-1.46%,-15.13%,-14.48%,-18.73%,Technology,-0.23,-9.53,-13.00,-2.32,5.52%,9.73%,-7.87%,1.50%
"PAVE","CBOE",58.30,-0.66%,970131,1896.49,0.51,1.32%,2.84%,2.66%,6.60%,21.99%,27.43%,Infrastructure,-0.81,2.58,16.10,20.46,2.08%,1.69%,9.91%,-0.78%
"TAN","NYSE",51.86,-1.69%,584627,1465.58,0.40,1.21%,-5.64%,-16.27%,-10.18%,5.58%,41.12%,Green Investing,-12.54,-6.17,33.62,52.34,-0.51%,-9.65%,-5.80%,-1.67%
"IGPT","NYSE",90.48,-1.04%,128698,228.14,0.56,1.08%,-8.57%,-0.52%,44.44%,52.14%,80.36%,Robotics & Automation,-5.03,12.72,17.70,23.55,0.57%,-5.22%,24.02%,-0.62%
"MAGS","CBOE",69.04,-0.14%,2446277,4431.50,0.55,0.97%,2.01%,-0.83%,9.40%,4.67%,15.20%,Technology,7.57,-9.93,1.36,44.80,3.86%,4.49%,5.95%,0.04%
"XOP","NYSE",175.93,5.73%,3666742,3478.04,1.05,0.95%,10.95%,6.52%,20.16%,39.34%,43.04%,Energy,2.52,0.45,45.04,38.77,2.94%,6.91%,14.97%,3.73%
"ICLN","NASD",18.08,-1.20%,10893533,6066.08,1.80,0.50%,-6.08%,-14.56%,-2.85%,10.04%,32.07%,Green Investing,-15.21,-8.69,3.00,10.51,-0.21%,-8.25%,-3.26%,-1.26%
"IAI","NYSE",188.23,-0.01%,62821,103.45,0.61,0.49%,-0.14%,6.05%,5.47%,4.94%,7.85%,Financials,-4.10,-13.91,-18.47,-11.08,-0.29%,1.49%,5.69%,0.23%
