"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"BOAT","NYSE",48.73,1.95%,47650,26.51,1.80,9.88%,14.36%,15.45%,24.77%,54.39%,58.41%,Industrials,6.34,-4.14,30.56,28.00,9.23%,15.05%,26.45%,0.27%
"RING","NASD",85.10,9.52%,417440,711.09,0.59,7.60%,33.81%,16.61%,-4.06%,15.56%,76.67%,Materials,-18.91,-21.42,-26.49,-18.04,18.22%,24.26%,11.95%,4.05%
"XBI","NYSE",169.55,5.90%,14050033,8805.88,1.60,6.37%,9.74%,33.73%,34.99%,39.06%,90.93%,Healthcare,3.35,12.17,6.48,15.07,9.65%,11.60%,28.30%,2.32%
"COAL","NYSE",25.99,3.67%,26007,44.56,0.58,5.09%,10.87%,5.69%,2.89%,13.94%,30.85%,Energy,0.00,-22.49,129.13,176.61,8.40%,9.01%,5.00%,2.93%
"SIL","NYSE",95.87,9.53%,1954322,1268.68,1.54,4.99%,26.93%,10.85%,-4.62%,14.79%,84.37%,Materials,0.44,-3.46,-8.49,15.08,15.64%,19.90%,9.41%,3.98%
"XOP","NYSE",186.33,0.53%,3309945,3464.06,0.96,4.34%,7.19%,4.35%,25.86%,47.58%,51.59%,Energy,4.28,5.66,40.43,38.38,6.42%,11.95%,20.27%,-0.04%
"CNBS","NYSE",27.92,4.79%,3803,5.44,0.70,3.86%,7.01%,8.50%,21.02%,-1.59%,3.06%,Cannabis Based Businesses,0.00,-5.02,-22.13,-20.74,8.60%,3.88%,7.08%,1.78%
"ARKK","CBOE",83.31,5.26%,8914614,6159.39,1.45,2.38%,7.23%,12.83%,16.70%,8.31%,12.54%,Innovation / Patent Based,-1.19,-20.05,-11.59,-39.79,8.38%,7.09%,8.58%,3.07%
"IBUY","NYSE",74.26,3.18%,5171,14.89,0.35,1.73%,4.71%,18.14%,14.25%,-0.24%,1.35%,Consumer Discretionary,13.27,0.63,-8.55,-15.12,2.42%,5.11%,6.88%,2.02%
"BETZ","NYSE",19.44,1.41%,5964,40.24,0.15,1.64%,1.15%,4.67%,9.22%,-7.34%,-19.40%,Consumer Discretionary,0.00,1.44,-13.48,-26.42,1.30%,0.87%,0.38%,1.36%
"OIH","NYSE",418.69,-0.43%,153496,323.29,0.47,1.32%,9.18%,-7.17%,8.72%,47.03%,76.18%,Energy,-9.53,-13.37,0.03,11.32,5.50%,7.26%,13.14%,-1.31%
"EWZ","NYSE",34.26,1.66%,28530594,21432.21,1.33,1.18%,-3.82%,-4.54%,-9.91%,7.84%,25.64%,,-8.44,-21.00,16.31,30.51,-2.79%,-2.04%,-4.02%,-1.13%
"IHI","NYSE",56.64,2.16%,2492654,2900.06,0.86,1.00%,13.39%,12.65%,-4.73%,-8.87%,-8.48%,Healthcare,1.83,-1.63,-6.27,-13.71,4.95%,9.43%,1.20%,1.52%
"IAI","NYSE",190.18,-0.11%,116092,92.38,1.26,0.40%,0.83%,7.98%,9.99%,6.03%,10.33%,Financials,0.00,-7.60,-18.31,-10.47,0.86%,1.88%,6.45%,-0.55%
"BLOK","NYSE",60.34,1.91%,113138,267.19,0.42,0.37%,-4.13%,-0.66%,12.72%,6.06%,4.63%,Fintech,-2.76,-16.38,-7.80,-10.21,0.47%,-2.32%,0.90%,1.48%
"XRT","NYSE",88.83,1.95%,4571348,4967.48,0.92,0.06%,0.42%,12.26%,0.87%,4.15%,5.44%,Consumer Discretionary,31.49,63.61,2.90,13.83,-0.91%,0.55%,3.99%,1.35%
"COPX","NYSE",88.28,3.17%,3432248,3172.80,1.08,-0.02%,12.83%,11.23%,1.87%,22.97%,91.58%,Materials,-0.16,0.97,42.02,93.42,5.85%,9.46%,12.00%,0.19%
"MAGS","CBOE",67.66,1.38%,2550503,4430.77,0.58,-0.07%,1.06%,-1.27%,9.68%,2.58%,14.02%,Technology,2.51,-8.35,3.22,43.76,1.56%,2.58%,3.78%,1.11%
"XHB","NYSE",108.23,2.15%,2752263,2628.74,1.05,-0.11%,2.16%,14.09%,-9.50%,5.12%,-5.71%,Consumer Discretionary,-13.95,-7.49,-14.81,-15.44,0.16%,-0.67%,1.17%,0.07%
