"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"MAGS","CBOE",68.38,3.67%,10095712,4200.84,2.40,8.52%,5.04%,2.26%,3.37%,3.67%,20.54%,Technology,-1.97,-21.31,-8.76,29.65,3.70%,3.32%,5.11%,2.46%
"IGV","CBOE",97.42,3.00%,13265255,18391.33,0.72,7.16%,4.11%,12.46%,7.87%,-7.82%,-10.32%,Technology,-4.83,-1.70,65.93,19.82,5.38%,4.79%,2.92%,0.70%
"KWEB","NYSE",28.74,0.88%,27158264,25285.91,1.07,6.44%,15.01%,-0.14%,-18.77%,-15.59%,-16.70%,Technology,-0.38,-9.86,-13.07,-0.93,6.57%,8.96%,-9.86%,0.28%
"WISE","NASD",35.49,3.57%,3837,11.21,0.34,6.15%,-3.63%,-8.07%,-5.76%,-8.91%,-3.79%,Robotics & Automation,-9.73,-3.19,-17.40,-4.68,2.07%,-6.49%,-7.84%,2.11%
"IHI","NYSE",54.21,3.24%,3300443,2959.00,1.12,5.53%,4.49%,7.35%,-9.77%,-12.78%,-9.14%,Healthcare,1.90,-0.52,-5.42,-14.27,5.70%,7.59%,-3.73%,1.73%
"JETS","NYSE",32.67,4.44%,4930510,3311.78,1.49,5.49%,-1.60%,26.82%,16.89%,16.39%,41.31%,Industrials,-12.92,-14.12,-13.39,-23.72,4.73%,7.02%,17.87%,1.84%
"CIBR","NASD",93.91,2.27%,1438613,1613.58,0.89,5.40%,3.57%,36.58%,35.98%,31.43%,31.29%,Technology,1.35,3.12,3.66,12.19,2.93%,6.08%,25.42%,1.23%
"BOTZ","NASD",35.93,2.02%,808355,986.51,0.82,4.63%,-3.90%,-6.92%,-3.72%,-0.83%,8.48%,Robotics & Automation,-0.23,3.50,7.19,11.10,2.07%,-3.22%,-2.69%,2.20%
"UFO","NASD",45.45,3.79%,1206834,1267.74,0.95,3.55%,-10.30%,-11.51%,0.02%,17.59%,54.29%,Space Exploration & Technology,-20.46,4.57,818.24,8165.08,1.50%,-10.43%,0.09%,4.03%
"XOP","NYSE",174.28,-1.76%,2914365,3596.51,0.81,3.08%,12.70%,-1.35%,24.27%,38.03%,40.89%,Energy,9.93,7.13,44.57,40.81,3.30%,6.03%,14.74%,0.94%
"BOAT","NYSE",44.15,0.20%,115658,23.91,4.84,2.94%,13.47%,6.69%,23.29%,39.88%,47.53%,Industrials,0.00,-10.65,25.33,28.86,4.63%,6.74%,17.18%,-0.16%
"INDA","CBOE",50.16,0.72%,5124325,6401.40,0.80,2.60%,1.21%,2.12%,-3.05%,-7.20%,-4.86%,,-5.60,-2.10,-24.92,-29.98,2.53%,2.86%,-1.61%,-0.04%
"IBUY","NYSE",72.97,2.11%,92957,12.75,7.29,2.55%,3.36%,6.99%,1.95%,-1.97%,5.38%,Consumer Discretionary,-3.22,-14.09,-21.97,-27.61,2.83%,5.77%,4.91%,0.72%
"IGPT","NYSE",89.51,3.23%,238134,230.72,1.03,2.34%,-6.05%,12.96%,38.30%,50.51%,80.54%,Robotics & Automation,-3.43,16.48,19.34,27.11,-1.79%,-6.59%,24.16%,3.66%
"XRT","NYSE",91.46,1.87%,3349666,5294.82,0.63,2.14%,3.86%,6.87%,5.94%,7.23%,17.48%,Consumer Discretionary,-1.50,68.23,-17.22,49.39,2.98%,5.29%,7.46%,0.62%
"KRE","NYSE",77.06,1.31%,12751372,14440.63,0.88,2.04%,2.72%,10.37%,11.99%,18.90%,31.01%,Financials,-14.53,-2.29,-1.50,8.33,1.77%,4.99%,13.36%,0.78%
"COPX","NYSE",79.36,0.63%,1994464,3622.87,0.55,1.87%,3.54%,0.39%,-6.43%,10.54%,85.64%,Materials,-0.05,0.44,50.04,113.69,3.44%,-1.58%,2.68%,1.31%
"IPO","NYSE",53.13,3.87%,21879,39.79,0.55,1.66%,-7.60%,6.97%,18.99%,16.39%,16.25%,,-3.18,4.77,-0.01,-5.65,-1.24%,-4.00%,9.57%,4.52%
"EWZ","NYSE",36.42,-0.63%,13832861,23126.56,0.60,1.53%,5.78%,-7.63%,-1.67%,14.64%,37.12%,,-2.50,-12.78,24.40,37.95,1.96%,3.51%,2.80%,-0.49%
"BLOK","NYSE",61.28,3.41%,423542,304.66,1.39,1.40%,-0.49%,1.96%,3.20%,7.72%,9.33%,Fintech,-3.55,-9.52,-7.01,-9.88,0.71%,-2.85%,1.43%,3.90%
"ARKK","CBOE",73.54,3.23%,5076694,6748.12,0.75,1.39%,-9.49%,-4.39%,-1.78%,-4.39%,3.34%,Innovation / Patent Based,-3.91,-8.09,-12.28,-19.50,-3.24%,-5.04%,-4.77%,3.87%
"URA","NYSE",40.81,4.45%,2778302,3610.46,0.77,1.22%,-5.60%,-26.92%,-25.79%,-4.49%,6.78%,Materials,0.52,-1.78,17.92,45.28,1.14%,-7.81%,-16.98%,3.87%
"ICLN","NASD",17.99,2.51%,13965008,5950.65,2.35,1.01%,-8.54%,-14.13%,-0.88%,9.49%,32.96%,Green Investing,-8.44,13.26,19.38,28.88,-1.93%,-10.79%,-3.54%,2.68%
"ITA","CBOE",246.08,2.68%,582089,782.85,0.74,0.89%,-0.85%,13.78%,5.90%,14.62%,25.69%,Industrials,-1.18,-4.81,-1.07,23.47,3.63%,4.36%,8.95%,1.71%
"RING","NASD",65.62,2.90%,268208,628.81,0.43,0.88%,-2.34%,-13.07%,-18.75%,-10.89%,47.56%,Materials,-6.04,-16.48,-20.89,-8.45,2.63%,-3.31%,-12.80%,2.93%
"PAVE","CBOE",57.54,2.09%,1381481,1945.23,0.71,0.10%,0.68%,1.50%,13.38%,20.40%,27.84%,Infrastructure,3.70,9.98,23.21,28.44,1.70%,0.85%,9.03%,1.50%
"CNBS","NYSE",24.89,0.00%,16416,10.37,1.58,0.09%,-13.53%,-14.48%,0.51%,-12.28%,32.27%,Cannabis Based Businesses,0.00,-14.73,-23.42,-21.97,-3.46%,-9.46%,-5.10%,0.31%
"SIL","NYSE",75.79,2.77%,756401,1430.82,0.53,0.01%,-5.50%,-14.53%,-19.63%,-9.26%,59.29%,Materials,-1.38,-11.38,-11.06,19.51,1.35%,-5.25%,-12.43%,3.26%
"KIE","NYSE",64.67,0.67%,1224082,1319.48,0.93,-0.11%,0.92%,13.88%,10.66%,7.51%,16.08%,Financials,33.23,29.56,7.16,-29.16,1.03%,6.75%,10.54%,0.31%
