"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)"
"XOP","NYSE",176.59,1.59%,2742564,3628.09,0.76,7.12%,14.00%,7.02%,36.09%,39.86%,38.43%,Energy,-6.76,6.88,38.14,39.16
"COPX","NYSE",79.99,2.24%,2959016,3729.54,0.79,3.53%,-5.77%,-1.82%,-2.75%,11.42%,73.51%,Materials,-1.51,3.77,49.20,107.08
"SIL","NYSE",77.40,2.48%,1028791,1532.73,0.67,3.19%,-6.83%,-17.83%,-25.14%,-7.33%,50.79%,Materials,-0.60,-6.34,-10.14,20.73
"RING","NASD",65.80,3.46%,4938893,491.70,10.04,3.07%,-6.04%,-18.35%,-24.86%,-10.65%,42.55%,Materials,5.57,-10.88,-11.07,4.92
"EWZ","NYSE",36.62,2.81%,19845735,24252.95,0.82,2.06%,6.86%,-10.22%,8.92%,15.27%,36.09%,,-4.87,-12.00,25.21,39.35
"OIH","NYSE",388.48,1.30%,220638,374.66,0.59,1.68%,-0.11%,-4.92%,19.76%,36.42%,63.16%,Energy,-3.67,-0.55,11.57,29.23
"BOAT","NYSE",42.56,-0.12%,19242,22.52,0.85,1.54%,2.06%,6.37%,27.83%,34.84%,41.75%,Industrials,0.00,-11.03,26.61,30.36
"BOIL","NYSE",22.85,4.05%,3651168,4096.78,0.89,1.11%,-19.43%,-16.85%,-49.09%,-50.11%,-72.00%,,45.96,-3.11,-35.90,119.75
"KIE","NYSE",62.73,-1.49%,1037737,1314.49,0.79,0.97%,7.69%,7.45%,7.88%,4.29%,8.59%,Financials,33.27,31.68,6.17,-29.57
"BLOK","NYSE",62.54,-0.64%,258660,309.99,0.83,0.94%,-5.95%,4.86%,-0.67%,9.93%,1.84%,Fintech,-3.40,-6.65,-4.91,-5.13
"COAL","NYSE",23.81,1.58%,49302,65.40,0.75,0.25%,-1.29%,-6.92%,-9.26%,4.38%,13.65%,Energy,-14.35,-32.53,152.50,252.74
"URA","NYSE",40.97,1.79%,3008266,3723.21,0.81,0.17%,-12.46%,-23.76%,-24.30%,-4.12%,1.86%,Materials,-0.08,-0.12,17.42,49.38
"PAVE","CBOE",56.60,0.71%,871573,1907.60,0.46,-0.07%,-4.46%,2.46%,12.03%,18.43%,24.23%,Infrastructure,1.30,7.68,17.96,23.23
"KRE","NYSE",75.60,-0.50%,9120534,14577.60,0.63,-0.24%,5.01%,8.57%,12.90%,16.65%,19.32%,Financials,4.55,4.52,6.50,18.50
"XRT","NYSE",88.74,0.32%,2687384,5184.93,0.52,-0.40%,3.78%,1.77%,-0.09%,4.05%,7.34%,Consumer Discretionary,-28.63,-40.63,-19.62,48.46
"SMH","NASD",586.91,0.48%,5079632,11067.01,0.46,-0.65%,-12.26%,26.31%,50.34%,62.97%,105.67%,Technology,-5.63,5.41,14.22,20.20
"IHI","NYSE",49.41,-1.08%,1987265,2934.23,0.68,-0.90%,2.21%,-5.51%,-19.54%,-20.50%,-18.38%,Healthcare,-1.94,-0.85,-8.80,-18.95
