"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"JETS","NYSE",31.68,2.29%,1459345,3308.93,0.44,8.05%,-4.64%,27.08%,14.41%,12.86%,31.73%,Industrials,-14.78,-17.56,-15.24,-25.43,1.14%,4.65%,14.58%
"IGV","CBOE",93.31,1.02%,18362487,18637.08,0.99,7.13%,2.99%,10.43%,-3.86%,-11.71%,-17.22%,Technology,-6.54,3.79,71.60,20.39,1.13%,0.51%,-1.61%
"KWEB","NYSE",28.06,0.94%,26873693,25172.02,1.07,6.81%,14.67%,0.18%,-22.25%,-17.59%,-20.13%,Technology,-1.63,-9.97,-13.22,-0.74,5.35%,6.45%,-12.30%
"IHI","NYSE",52.74,-1.05%,2750912,2977.40,0.92,6.67%,6.74%,4.79%,-12.19%,-15.14%,-14.10%,Healthcare,1.53,0.40,-5.54,-14.64,3.11%,4.90%,-6.44%
"IBUY","NYSE",71.74,-0.39%,2177,13.11,0.17,5.39%,3.79%,5.92%,-1.96%,-3.62%,1.67%,Consumer Discretionary,-3.18,-13.96,-21.79,-27.40,1.32%,4.50%,3.12%
"XRT","NYSE",90.58,-0.90%,5297641,5290.33,1.00,4.86%,3.24%,8.08%,3.70%,6.20%,14.09%,Consumer Discretionary,24.25,5.23,-11.45,36.71,2.31%,4.79%,6.50%
"INDA","CBOE",49.70,1.08%,10444004,6330.32,1.65,4.35%,0.63%,1.37%,-3.48%,-8.05%,-5.69%,,-5.65,-2.12,-25.12,-30.21,1.64%,2.11%,-2.57%
"BETZ","NYSE",19.23,-1.95%,7531,40.85,0.18,3.33%,2.89%,0.39%,0.89%,-8.34%,-20.54%,Consumer Discretionary,-7.03,-4.84,-13.19,-28.44,-0.38%,0.41%,-1.84%
"BOAT","NYSE",44.39,2.28%,26762,23.86,1.12,3.09%,17.09%,9.07%,25.19%,40.64%,46.17%,Industrials,0.00,-10.84,25.97,29.61,6.40%,7.46%,18.27%
"KIE","NYSE",64.42,-1.99%,1321291,1327.00,1.00,2.63%,5.62%,12.58%,11.55%,7.10%,14.67%,Financials,31.17,27.54,5.45,-30.74,0.71%,6.81%,10.22%
"CIBR","NASD",90.02,1.39%,950598,1622.86,0.59,2.62%,0.19%,32.64%,25.88%,25.99%,22.13%,Technology,1.66,3.17,3.96,12.68,-1.21%,2.24%,20.49%
"RING","NASD",65.79,3.70%,546167,627.35,0.87,2.02%,1.84%,-12.14%,-31.92%,-10.66%,50.00%,Materials,-2.58,-13.37,-17.93,-5.06,2.45%,-3.59%,-12.61%
"BOTZ","NASD",34.90,3.62%,874676,989.92,0.88,1.72%,-8.01%,-6.51%,-8.13%,-3.67%,3.56%,Robotics & Automation,0.12,4.02,7.94,12.12,-1.49%,-6.35%,-5.51%
"COPX","NYSE",79.50,4.41%,3070821,3660.69,0.84,1.44%,3.29%,2.28%,-13.57%,10.74%,85.27%,Materials,-0.95,6.28,51.46,119.18,3.83%,-1.49%,3.07%
"SIL","NYSE",76.19,4.46%,761272,1453.44,0.52,1.21%,-1.64%,-11.86%,-33.47%,-8.78%,58.93%,Materials,-1.11,-6.57,-10.90,20.10,1.18%,-5.38%,-11.97%
"MAGS","CBOE",63.92,2.17%,3313519,4237.40,0.78,1.09%,-0.59%,-4.00%,-3.94%,-3.09%,10.55%,Technology,2.95,-21.91,-9.15,32.61,-2.84%,-3.52%,-1.69%
"KRE","NYSE",75.90,-0.37%,8515071,14542.51,0.59,1.00%,1.40%,9.95%,11.98%,17.11%,24.86%,Financials,-1.27,6.46,4.20,10.99,0.40%,3.87%,11.88%
"EWZ","NYSE",36.53,2.99%,17388608,23230.85,0.75,1.00%,5.88%,-5.49%,-4.70%,14.98%,36.36%,,-3.65,-13.12,25.34,39.57,2.80%,3.85%,3.33%
"UFO","NASD",43.82,2.24%,296974,1293.52,0.23,0.23%,-13.52%,-11.67%,-8.99%,13.38%,46.31%,Space Exploration & Technology,-22.84,5.86,1015.49,,-3.40%,-14.54%,-3.39%
"ITA","CBOE",238.13,0.79%,1023150,786.86,1.30,-0.04%,-1.77%,11.72%,1.90%,10.92%,19.88%,Industrials,-1.37,-4.84,-1.26,24.09,0.00%,1.37%,5.58%
"IAI","NYSE",186.89,1.37%,31988,105.14,0.30,-0.23%,6.59%,7.02%,0.88%,4.19%,5.95%,Financials,-4.81,-15.14,-18.80,-10.79,-0.96%,1.48%,5.27%
"CNBS","NYSE",25.06,4.98%,13714,10.49,1.31,-0.33%,-14.21%,-11.70%,-2.99%,-11.67%,36.19%,Cannabis Based Businesses,0.00,-15.24,-24.15,-22.66,-3.86%,-9.01%,-4.68%
"XOP","NYSE",174.87,1.64%,1871851,3629.66,0.52,-0.45%,13.36%,-1.60%,27.55%,38.50%,34.83%,Energy,5.49,4.42,39.60,34.76,4.99%,6.37%,15.50%
"XBI","NYSE",151.46,2.40%,6724016,9072.84,0.74,-0.51%,-4.29%,17.50%,20.26%,24.22%,75.63%,Healthcare,-4.63,2.91,3.16,15.66,-2.43%,4.44%,17.57%
"WISE","NASD",33.57,5.42%,19376,11.05,1.75,-0.99%,-13.15%,-8.20%,-15.74%,-13.84%,-11.44%,Robotics & Automation,-10.36,-3.41,-18.42,-5.00,-4.12%,-11.88%,-13.08%
"ARKK","CBOE",72.90,3.29%,4887074,6798.20,0.72,-1.26%,-9.80%,-0.86%,-7.65%,-5.23%,-3.64%,Innovation / Patent Based,-4.80,-16.95,-12.97,-18.27,-5.33%,-5.98%,-5.78%
"IPO","NYSE",52.25,4.92%,20453,40.11,0.51,-1.51%,-12.07%,8.81%,10.30%,14.46%,13.22%,,-5.36,2.46,-2.24,-7.76,-3.93%,-5.46%,7.80%
"OIH","NYSE",375.83,2.14%,190152,359.48,0.53,-1.86%,1.02%,-15.69%,9.29%,31.98%,51.34%,Energy,-6.88,-12.12,4.53,14.60,-0.41%,-5.66%,4.30%
"XHB","NYSE",104.52,-0.15%,4047731,2692.25,1.50,-2.03%,-9.55%,0.46%,-4.67%,1.52%,1.55%,Consumer Discretionary,4.72,-0.78,-6.75,1.02,-3.26%,-2.45%,-2.25%
"PAVE","CBOE",56.10,2.02%,1390539,1951.58,0.71,-2.45%,-4.79%,1.76%,10.22%,17.39%,21.77%,Infrastructure,-0.11,5.90,18.37,23.58,-0.94%,-1.48%,6.49%
"BLOK","NYSE",59.99,6.72%,145799,310.55,0.47,-3.30%,-4.22%,4.00%,-5.82%,5.45%,1.54%,Fintech,-2.60,-8.38,-5.71,-8.77,-1.78%,-4.97%,-0.91%
"URA","NYSE",39.72,5.86%,2819122,3624.10,0.78,-3.43%,-9.11%,-24.90%,-35.74%,-7.04%,-0.92%,Materials,0.55,-1.96,18.94,55.44,-2.44%,-10.89%,-19.46%
"COAL","NYSE",23.10,1.15%,9611,55.70,0.17,-3.73%,0.63%,-9.92%,-13.01%,1.29%,18.85%,Energy,-7.29,-28.07,164.06,262.13,-0.04%,-5.56%,-6.35%
"ICLN","NASD",17.67,4.74%,13259192,5808.57,2.28,-3.81%,-13.76%,-13.08%,-7.15%,7.55%,30.41%,Green Investing,-9.54,13.88,20.10,29.79,-4.78%,-12.98%,-5.18%
"TAN","NYSE",49.84,4.53%,1502202,1410.75,1.06,-5.70%,-15.74%,-11.19%,-13.11%,1.47%,32.69%,Green Investing,-4.47,5.38,55.11,80.91,-6.61%,-16.23%,-9.22%
"IGPT","NYSE",86.20,5.94%,379376,222.45,1.71,-6.05%,-17.20%,13.05%,29.43%,44.95%,69.02%,Robotics & Automation,2.89,20.72,23.93,32.70,-6.30%,-10.03%,20.11%
"SMH","NASD",538.90,6.88%,13845165,11875.55,1.17,-7.11%,-17.84%,7.87%,29.35%,49.64%,81.90%,Technology,7.65,7.73,17.96,26.77,-6.15%,-9.62%,19.88%
"BOIL","NYSE",20.27,1.65%,6119132,4068.43,1.50,-11.48%,-26.13%,-16.52%,-66.69%,-55.74%,-70.60%,,65.90,-4.93,-35.58,-9.81,-11.28%,-21.50%,-49.62%
