"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"RING","NASD",90.85,3.57%,1225969,726.83,1.69,15.79%,40.87%,21.30%,-0.29%,23.37%,80.11%,Materials,-16.79,-18.50,-24.36,-16.44,22.00%,30.85%,19.07%,0.61%
"SIL","NYSE",99.55,2.14%,2359425,1290.17,1.83,11.17%,32.24%,11.38%,-7.61%,19.19%,84.63%,Materials,0.61,-2.95,-7.67,12.92,16.82%,23.12%,13.19%,-0.68%
"COPX","NYSE",94.59,5.18%,5553753,3097.18,1.79,10.37%,20.70%,13.94%,6.17%,31.76%,102.85%,Materials,-0.51,0.99,39.30,86.45,11.52%,16.51%,19.53%,1.61%
"BOAT","NYSE",49.69,2.67%,108414,26.92,4.03,7.09%,15.40%,15.29%,23.76%,57.43%,57.39%,Industrials,9.11,-1.58,33.74,31.14,9.99%,16.43%,28.37%,0.38%
"ARKK","CBOE",86.21,3.53%,7148228,6138.85,1.16,6.30%,16.77%,12.52%,20.59%,12.08%,17.28%,Innovation / Patent Based,-2.60,-2.21,-12.05,-29.95,10.45%,10.21%,12.42%,2.34%
"COAL","NYSE",26.65,2.90%,23667,44.09,0.54,6.18%,11.04%,7.55%,6.60%,16.83%,35.76%,Energy,0.00,-21.95,120.30,162.23,10.04%,11.74%,7.52%,1.25%
"CNBS","NYSE",28.56,3.19%,36842,5.20,7.08,5.93%,13.60%,6.32%,26.71%,0.67%,-6.68%,Cannabis Based Businesses,0.00,-4.84,-21.50,-24.68,9.79%,6.78%,9.50%,2.59%
"XBI","NYSE",165.73,1.44%,10009260,8906.83,1.12,5.29%,8.87%,24.82%,32.82%,35.92%,84.31%,Healthcare,3.68,14.44,8.73,18.37,6.28%,8.11%,24.91%,0.69%
"XOP","NYSE",189.54,1.11%,2991512,3440.89,0.87,5.01%,7.90%,11.07%,24.81%,50.12%,52.41%,Energy,-0.15,0.90,34.84,28.48,7.41%,13.27%,21.86%,0.77%
"BLOK","NYSE",62.95,1.73%,357283,257.41,1.39,3.66%,1.47%,-2.10%,18.19%,10.65%,9.55%,Fintech,-3.75,-16.78,-8.56,-10.85,4.60%,1.83%,5.39%,-0.88%
"EWZ","NYSE",35.06,2.69%,26794553,20527.68,1.31,3.33%,-3.07%,-5.27%,-10.95%,10.36%,27.18%,,-9.42,-21.80,14.97,28.93,-0.14%,0.16%,-1.88%,1.80%
"URA","NYSE",46.07,5.09%,4143038,3373.13,1.23,2.54%,12.01%,-5.71%,-15.25%,7.82%,23.91%,Materials,1.39,0.44,17.14,44.55,7.31%,6.99%,-5.08%,3.18%
"IAI","NYSE",194.53,3.01%,91128,94.31,0.97,1.76%,3.84%,8.23%,13.07%,8.45%,13.07%,Financials,-0.68,-6.55,-18.44,-12.03,2.92%,3.94%,8.78%,1.92%
"IHI","NYSE",56.17,1.30%,1528334,2879.30,0.53,0.74%,13.61%,11.14%,-5.37%,-9.62%,-9.27%,Healthcare,3.88,-0.59,-5.47,-12.80,2.94%,8.07%,0.44%,1.24%
