"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"CIBR","NASD",100.15,1.61%,1697042,1615.57,1.05,7.42%,9.06%,6.37%,57.97%,40.17%,36.93%,Technology,3.12,4.57,6.62,10.18,2.70%,7.72%,30.09%,1.59%
"IGV","CBOE",109.98,0.44%,8785774,15811.01,0.56,7.35%,16.28%,2.12%,32.87%,4.06%,1.74%,Technology,-0.03,-11.42,53.92,31.39,5.94%,14.06%,17.40%,1.17%
"OIH","NYSE",429.18,2.60%,327329,311.90,1.05,5.01%,11.53%,2.04%,8.54%,50.71%,67.09%,Energy,-4.72,-15.88,-0.94,16.78,4.57%,9.89%,14.40%,0.75%
"COAL","NYSE",27.91,2.52%,57523,41.77,1.38,4.31%,23.39%,-0.14%,10.53%,22.36%,36.32%,Energy,0.00,-12.50,106.29,140.23,9.34%,15.95%,12.00%,0.58%
"BOIL","NYSE",20.37,2.05%,4160295,4141.55,1.00,4.14%,-0.73%,-27.51%,-42.72%,-55.52%,-66.58%,,8.63,49.80,-32.15,-30.86,3.65%,-8.40%,-43.30%,1.34%
"IGPT","NYSE",92.03,0.49%,63217,203.84,0.31,2.49%,6.14%,-9.66%,45.11%,54.75%,80.89%,Robotics & Automation,0.93,9.65,21.17,26.30,-0.39%,-1.67%,22.04%,0.25%
"EWZ","NYSE",36.03,1.35%,23943258,20864.07,1.15,2.45%,-1.69%,1.01%,-6.75%,13.41%,22.55%,,-9.88,-19.38,13.09,26.81,3.04%,2.51%,0.54%,-0.41%
"MAGS","CBOE",68.74,-0.48%,1995900,4411.70,0.45,2.29%,4.21%,-1.60%,11.57%,4.21%,14.97%,Technology,10.25,-8.07,0.77,36.74,0.96%,3.58%,5.39%,0.10%
"ARKK","CBOE",85.57,1.16%,3099780,6022.28,0.51,1.97%,20.12%,5.30%,15.29%,11.25%,14.15%,Innovation / Patent Based,-3.61,-13.98,-13.08,-22.11,4.26%,8.15%,11.45%,2.06%
"BOTZ","NASD",35.89,0.39%,544758,839.99,0.65,1.82%,1.90%,-11.60%,-6.02%,-0.94%,6.97%,Robotics & Automation,2.30,2.29,9.90,13.62,-2.25%,-0.91%,-2.69%,-0.17%
"SMH","NASD",556.63,0.64%,4267327,10989.11,0.39,1.80%,2.98%,-8.42%,36.97%,54.56%,91.75%,Technology,-2.79,7.20,14.42,21.63,-2.28%,-4.13%,17.62%,0.41%
"XOP","NYSE",188.96,1.62%,2006947,3359.24,0.60,1.46%,6.52%,12.56%,18.43%,49.66%,42.06%,Energy,0.71,3.52,40.98,39.39,4.72%,10.80%,20.17%,-0.43%
"WISE","NASD",36.31,-0.10%,2297,9.75,0.24,1.05%,5.96%,-19.30%,6.17%,-6.81%,-8.58%,Robotics & Automation,0.00,5.42,-16.60,-6.84,-1.97%,0.10%,-3.65%,0.75%
"INDA","CBOE",49.70,0.28%,5491452,5746.24,0.96,0.71%,-0.20%,3.56%,-2.45%,-8.05%,-4.39%,,2.97,-2.82,-22.77,-22.50,-0.31%,0.59%,-1.65%,-0.34%
"CNBS","NYSE",28.53,-1.76%,5516,5.83,0.95,0.57%,14.64%,-3.45%,27.36%,0.56%,-15.37%,Cannabis Based Businesses,0.00,-4.64,-20.76,-23.86,5.01%,6.91%,9.09%,0.21%
"BLOK","NYSE",62.51,0.71%,220589,250.15,0.88,0.27%,5.48%,-9.05%,15.06%,9.88%,5.02%,Fintech,-1.35,-15.99,-7.97,-10.27,1.90%,1.54%,4.81%,0.71%
"IAI","NYSE",194.47,-0.34%,45997,87.12,0.53,-0.15%,4.41%,5.76%,13.07%,8.42%,11.65%,Financials,-0.00,-6.86,-17.94,-12.63,1.56%,3.26%,8.38%,-0.01%
"URA","NYSE",45.51,-0.13%,2038266,3462.64,0.59,-0.39%,16.48%,-9.95%,-19.38%,6.51%,11.90%,Materials,1.50,1.16,16.54,41.41,0.74%,5.68%,-6.13%,-0.22%
"IPO","NYSE",53.26,0.03%,20101,35.94,0.56,-0.58%,4.13%,-8.36%,21.82%,16.67%,6.97%,,-2.14,-1.72,-4.25,-12.31,-2.97%,-3.24%,8.38%,0.79%
"ICLN","NASD",17.30,-1.03%,5092251,5914.36,0.86,-0.75%,-1.42%,-24.91%,-5.62%,5.30%,20.22%,Green Investing,-4.28,-7.31,13.59,21.49,-3.48%,-6.82%,-7.65%,-1.00%
"XBI","NYSE",162.50,0.07%,7353880,9048.68,0.81,-1.02%,10.54%,21.61%,28.41%,33.27%,80.86%,Healthcare,8.61,14.54,10.71,20.63,0.94%,3.62%,20.94%,0.93%
"TAN","NYSE",47.57,-2.22%,1151146,1263.80,0.91,-1.55%,-3.57%,-33.12%,-15.60%,-3.16%,14.49%,Green Investing,-17.78,-28.16,22.04,41.92,-6.01%,-10.15%,-13.71%,-1.31%
"KRE","NYSE",73.56,-1.00%,13140986,13529.16,0.97,-1.61%,-3.29%,7.69%,8.56%,13.50%,12.29%,Financials,-7.30,3.25,-3.70,-4.71,-3.11%,-2.65%,5.79%,-0.80%
"IHI","NYSE",54.97,-0.40%,1876378,2844.96,0.66,-1.63%,4.68%,12.55%,-7.81%,-11.55%,-11.55%,Healthcare,2.16,3.94,-2.98,-10.02,-0.62%,4.34%,-1.38%,0.44%
"KWEB","NYSE",25.81,-1.94%,12599718,20473.31,0.62,-1.68%,-9.41%,-5.67%,-15.79%,-24.20%,-32.40%,Technology,-0.23,-14.89,-14.09,-7.31,-5.21%,-2.95%,-15.69%,-1.71%
