"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"MPLT","NASD","MapLight Therapeutics Inc","Healthcare","Biotechnology",554.89,13.02,-7.20%,1145185,717.86,1.60,-64.39%,-63.91%,-59.15%,-29.92%,-25.88%,,26.37%,72.27%,-148.89%,,36.91%,3.90%,30.50%,45.00%,-58.10%,-57.29%,-42.70%
"BIOA","NASD","BioAge Labs Inc","Healthcare","Drug Manufacturers - Specialty & Generic",401.85,9.04,-63.62%,9956158,554.01,17.97,-58.47%,-62.74%,-46.35%,-52.67%,-31.67%,105.45%,8.87%,-13.65%,-45.26%,91.04%,-6.15%,23.65%,58.64%,7.74%,-59.26%,-55.57%,-45.29%
"ADVB","NASD","Advanced Biomed Inc","Healthcare","Diagnostics & Research",13.21,8.00,-20.63%,101782,1805.95,0.06,-57.85%,65.29%,49.53%,44.44%,37.08%,-13.49%,34.47%,,69.15%,,,-0.01%,0.08%,1.89%,-5.64%,32.02%,27.01%
"BCAR","NASD","D. Boral ARC Acquisition I Corp","Financial","Shell Companies",206.05,5.08,4.31%,75092,702.12,0.11,-50.92%,-51.43%,-50.39%,-50.34%,-49.35%,,33.52%,,48900.00%,,,,69.21%,0.12%,-44.60%,-49.50%,-49.84%
"CCB","NASD","Coastal Financial Corp","Financial","Banks - Regional",625.05,40.99,2.71%,1510003,160.16,9.43,-43.22%,-48.66%,-45.79%,-59.34%,-64.23%,-57.39%,13.20%,-35.42%,-486.92%,37.34%,,-9.84%,85.72%,8.76%,-43.88%,-43.65%,-53.92%
"BAND","NASD","Bandwidth Inc","Technology","Software - Infrastructure",1259.56,39.14,0.80%,1027403,1451.10,0.71,-34.55%,-38.64%,6.33%,179.77%,153.33%,181.38%,11.38%,22.38%,56.67%,22.16%,21.74%,0.27%,72.82%,12.44%,-37.89%,-36.26%,32.90%
"AKAN","NASD","Akanda Corp","Healthcare","Drug Manufacturers - Specialty & Generic",4.17,5.31,-16.90%,88749,607.14,0.15,-31.31%,-61.01%,-89.15%,-14.49%,-48.39%,-93.38%,33.90%,,-78.89%,-28.24%,,-1.57%,0.83%,1.16%,-38.28%,-61.46%,-65.80%
"PLBL","NASD","Polibeli Group Ltd","Consumer Cyclical","Department Stores",1989.48,5.43,6.26%,94019,197.02,0.48,-28.03%,-37.44%,-23.09%,-45.32%,-50.46%,-49.25%,11.72%,,329.03%,,,0.73%,0.87%,2.86%,-27.41%,-26.43%,-35.32%
"TZOO","NASD","Travelzoo","Communication Services","Internet Content & Information",74.32,7.23,1.40%,154716,120.67,1.28,-27.88%,-40.30%,-26.15%,22.13%,1.54%,-27.63%,8.33%,-37.56%,-269.81%,-2.92%,23.38%,-4.43%,37.51%,5.38%,-28.48%,-30.38%,-9.34%
"GLUE","NASD","Monte Rosa Therapeutics Inc","Healthcare","Biotechnology",1395.60,16.52,-27.16%,7466978,1199.18,6.23,-27.48%,-31.22%,-13.73%,-22.66%,5.36%,233.74%,6.92%,-260.13%,-178.84%,-95.04%,,36.87%,85.70%,28.77%,-27.85%,-20.50%,-9.03%
