"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"NFE","NASD","New Fortress Energy Inc","Energy","Oil & Gas Midstream",36.56,6.40,-21.47%,1384443,150.76,9.18,-48.84%,-53.52%,-65.36%,-82.31%,-88.77%,-94.80%,15.68%,,35.72%,3.58%,,,32.81%,16.44%,-50.99%,-57.55%,-82.94%,-22.14%
"HOST","AMEX","Host Digital Inc","Consumer Defensive","Grocery Stores",225.60,8.00,-0.74%,217869,387.45,0.56,-43.46%,-17.45%,6.16%,-17.09%,-8.94%,-64.84%,20.61%,,,,,,3.24%,5.44%,-11.21%,-4.03%,-15.37%,-0.62%
"NCT","NASD","Intercont (Cayman) Ltd","Industrials","Marine Shipping",6.64,5.43,-9.50%,147098,305.99,0.48,-38.30%,-94.91%,-92.56%,-91.51%,-95.46%,-99.38%,41.72%,,-410.80%,-5.96%,,,0.04%,0.24%,-87.10%,-92.17%,-94.21%,-8.74%
"XENE","NASD","Xenon Pharmaceuticals Inc","Healthcare","Biotechnology",3540.48,36.56,-6.47%,3172788,1395.44,2.27,-35.59%,-39.63%,-34.22%,-31.51%,-18.43%,-2.01%,5.73%,-5.62%,-3.62%,,8.68%,1.98%,100.34%,6.91%,-33.84%,-39.58%,-31.43%,-7.47%
"XNDU","NASD","Xanadu Quantum Technologies Ltd","Technology","Software - Infrastructure",1622.41,5.33,-7.79%,17664119,2016.71,8.76,-28.93%,-49.00%,-54.83%,-40.04%,-50.51%,-46.86%,8.08%,47.98%,-444.47%,,23.82%,10.56%,6.66%,30.77%,-38.96%,-46.17%,-56.35%,-11.02%
"KRRO","NASD","Korro Bio Inc","Healthcare","Biotechnology",144.75,9.83,-4.93%,224701,182.02,1.23,-28.92%,-24.79%,-28.61%,-7.09%,22.72%,-72.26%,14.66%,57.42%,60.88%,-100.00%,30.71%,14.75%,68.08%,14.45%,-20.56%,-19.87%,-15.42%,-4.66%
"EDRY","NASD","EuroDry Ltd","Industrials","Marine Shipping",147.18,51.34,-5.07%,186282,127.21,1.46,-25.89%,-0.75%,113.92%,157.60%,300.12%,312.04%,12.23%,353.07%,306.52%,56.96%,,8.62%,5.36%,9.07%,-12.92%,19.75%,108.26%,-5.35%
"CTEV","NYSE","Claritev Corp","Healthcare","Health Information Services",424.36,25.04,-14.97%,174239,127.09,1.37,-25.39%,-31.55%,-17.87%,63.13%,-41.43%,-51.40%,7.85%,12.62%,8.30%,6.59%,11.90%,-2.24%,55.97%,10.60%,-29.82%,-22.71%,-8.89%,-13.12%
"EVER","NASD","EverQuote Inc","Communication Services","Internet Content & Information",621.28,17.63,-9.82%,2638146,721.63,3.66,-24.46%,-33.77%,-18.27%,13.38%,-34.70%,-25.20%,7.80%,-23.74%,37.21%,24.55%,0.63%,4.20%,88.68%,25.50%,-25.96%,-28.66%,-16.86%,-9.40%
"VWAV","NASD","VisionWave Holdings Inc","Industrials","Aerospace & Defense",8.64,5.72,-7.89%,340273,110.29,3.09,-24.12%,-74.69%,-93.57%,-95.83%,-96.91%,-96.98%,30.25%,,-678.72%,,,2.80%,6.20%,18.33%,-47.61%,-80.17%,-95.11%,-6.08%
