"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"EYPT","NASD","EyePoint Inc","Healthcare","Biotechnology",471.58,5.47,12.32%,16123904,2284.00,7.06,-58.08%,-56.79%,-53.25%,-63.31%,-70.06%,-51.72%,9.85%,-17.84%,-28.45%,-90.49%,22.15%,6.23%,102.85%,22.36%,-54.42%,-57.54%,-61.16%,15.64%
"AMIX","NASD","Autonomix Medical Inc","Healthcare","Medical Devices",5.99,6.17,-3.59%,103088,3776.00,0.03,-32.35%,45.86%,-6.76%,-19.79%,-46.58%,-73.77%,14.87%,53.45%,77.77%,,29.01%,-2.19%,5.24%,28.33%,-10.07%,-8.70%,-38.11%,-0.16%
"CLBT","NASD","Cellebrite DI Ltd","Technology","Software - Infrastructure",2743.84,11.00,5.36%,7711376,2599.16,2.97,-31.38%,-28.43%,-19.30%,-23.08%,-38.99%,-31.93%,7.79%,-10.99%,-67.77%,15.77%,21.13%,-2.14%,43.38%,6.60%,-22.77%,-23.24%,-26.78%,5.36%
"DBGI","NASD","Digital Brands Group Inc","Consumer Cyclical","Apparel Retail",6.27,10.90,-20.81%,173808,192.06,0.90,-30.98%,-39.28%,-73.53%,-95.06%,-97.85%,-96.79%,11.02%,,-16.03%,-29.69%,,,10.94%,8.68%,-30.16%,-55.95%,-93.67%,-22.11%
"FTK","NYSE","Flotek Industries Inc","Energy","Oil & Gas Equipment & Services",978.68,27.02,-5.72%,1235640,423.57,2.92,-30.40%,5.46%,35.92%,55.29%,56.82%,136.81%,13.47%,-15.80%,430.12%,70.29%,-11.29%,2.04%,34.25%,13.99%,-9.66%,2.48%,39.49%,-9.18%
"WYHG","NASD","Wing Yip Food Holdings Group Ltd ADR","Consumer Defensive","Packaged Foods",65.16,5.18,-2.63%,181099,1487.56,0.12,-29.91%,44.29%,58.55%,206.15%,135.45%,-21.04%,20.41%,,-79.92%,-7.72%,,0.08%,0.30%,,10.17%,15.11%,68.96%,-2.81%
"BSP","NASD","Bending Spoons S.p.A","Technology","Software - Application",24614.74,38.75,0.65%,1546842,3261.71,0.47,-27.49%,15.95%,,,25.00%,,10.99%,,,,,162.08%,11.51%,6.28%,-1.67%,3.85%,3.85%,1.20%
"SSTI","NASD","SoundThinking Inc","Technology","Software - Application",77.66,5.90,5.73%,300441,136.69,2.20,-27.25%,-30.67%,-9.37%,-20.59%,-26.53%,-53.94%,7.58%,-50.68%,-47.72%,-7.73%,,-17.08%,60.39%,4.98%,-24.21%,-27.19%,-20.71%,6.50%
"ADIG","NYSE","ADI Global Distribution Inc","Technology","Computer Hardware",1556.42,20.50,-4.34%,1569325,1407.62,1.11,-26.58%,,,,-6.82%,,15.70%,,,,,0.07%,,,-14.05%,-14.05%,-14.05%,-3.07%
"FRVO","NASD","Fervo Energy Co","Utilities","Utilities - Renewable",5294.77,17.97,-0.72%,5002998,3229.61,1.55,-25.65%,-29.50%,-53.45%,,-50.08%,,14.69%,,,,,42.35%,41.69%,6.94%,-19.33%,-33.25%,-39.79%,-0.44%
"DFNS","NASD","T3 Defense Inc","Industrials","Aerospace & Defense",27.49,27.20,-12.23%,180175,3230.75,0.06,-25.64%,538.50%,-45.06%,-88.73%,-94.60%,-94.53%,13.27%,,-105.31%,,,,4.72%,35.79%,-21.01%,4.71%,-89.05%,-2.19%
"WATT","NASD","Energous Corp","Technology","Communication Equipment",78.65,14.23,-3.53%,155219,251.75,0.62,-23.74%,-6.07%,-40.11%,34.12%,256.64%,83.61%,15.08%,44.58%,77.49%,216.82%,,16.66%,37.35%,14.50%,-9.84%,-26.10%,-4.92%,-1.04%
"MAAS","NASD","Maase Inc","Financial","Asset Management",7011.71,16.10,-4.62%,337663,119.75,2.82,-22.93%,-10.21%,69.12%,162.21%,198.15%,309.67%,13.04%,,99.85%,-99.73%,,139.17%,0.07%,0.17%,-9.63%,-2.88%,80.74%,-2.72%
"UAMY","NYSE","United States Antimony Corp","Basic Materials","Other Industrial Metals & Mining",778.28,5.20,-7.47%,5581860,7743.69,0.72,-20.97%,-2.99%,-35.32%,-28.28%,3.59%,15.81%,8.32%,18.75%,-50.00%,-24.70%,,15.18%,61.00%,24.88%,-8.36%,-18.39%,-33.51%,-2.44%
"KLAR","NYSE","Klarna Group plc","Financial","Credit Services",5685.30,15.06,-22.81%,34416862,4644.53,7.41,-20.86%,-19.72%,-3.15%,-21.64%,-47.91%,,5.56%,122.86%,95.07%,44.37%,,3.19%,26.63%,22.88%,-21.01%,-19.99%,-28.67%,-3.83%
"TSAT","NASD","Telesat Corp","Technology","Communication Equipment",720.06,47.31,-6.41%,212068,282.81,0.75,-20.46%,27.83%,-9.56%,72.35%,62.58%,116.32%,8.53%,-21.95%,-959.46%,-25.06%,28.52%,-1.15%,,8.20%,0.86%,5.47%,23.37%,-4.04%
"SECZ","NYSE","Securitize Corp","Technology","Software - Application",961.63,5.89,9.28%,3258655,1312.91,2.48,-20.30%,-11.03%,-50.55%,-48.33%,-47.69%,-44.06%,11.66%,-408.17%,-5304.17%,,108.45%,2.18%,5.83%,2.96%,-14.73%,-33.61%,-45.52%,11.34%
