"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float"
"FFAI","NASD","Faraday Future Intelligent Electric Inc","Consumer Cyclical","Auto Manufacturers",15.76,6.49,-39.66%,1104876,152.25,7.26,-67.66%,-82.96%,-89.02%,-95.80%,-95.76%,-98.56%,24.88%,74.20%,-33.75%,62.03%,,3.08%,11.51%,15.05%
"VEEE","NASD","Twin Vee PowerCats Co","Consumer Cyclical","Recreational Vehicles",7.41,12.97,-10.55%,232769,2275.46,0.10,-66.49%,154.31%,78.57%,-77.09%,-79.85%,-84.96%,34.98%,,67.74%,9.76%,,25.78%,4.93%,1.50%
"QMLS","NASD","QumulusAI Inc","Technology","Software - Infrastructure",235.34,7.16,-12.68%,302953,851.96,0.36,-49.86%,,,,-81.16%,,57.92%,,-834.02%,76.07%,,90.18%,3.47%,
"DBGI","NASD","Digital Brands Group Inc","Consumer Cyclical","Apparel Retail",7.42,12.90,-35.63%,114798,131.69,0.87,-49.28%,-55.97%,-78.78%,-95.74%,-97.46%,-97.31%,20.86%,,-16.04%,-29.69%,,4.65%,4.27%,11.08%
"HQ","NASD","Horizon Quantum Holdings Ltd","Technology","Software - Infrastructure",372.45,11.70,-14.85%,320854,680.72,0.47,-47.56%,-58.82%,1.74%,-9.30%,-9.93%,-9.16%,20.59%,-40.74%,92.50%,,-28.28%,126.24%,5.36%,9.98%
"JLHL","NASD","Julong Holding Ltd","Industrials","Building Products & Equipment",130.41,6.08,-2.09%,203498,2139.07,0.10,-34.97%,-54.11%,-36.40%,41.40%,50.87%,24.08%,17.23%,,62.93%,61.71%,,-47.82%,0.03%,1.30%
"SDOT","NASD","Sadot Group Inc","Consumer Defensive","Farm Products",13.05,17.52,-8.32%,167386,3803.07,0.04,-30.75%,141.66%,-45.93%,-72.28%,-27.60%,-92.04%,34.47%,,-250.07%,-100.00%,,0.12%,0.63%,13.51%
"CTEV","NYSE","Claritev Corp","Healthcare","Health Information Services",368.40,21.61,-7.13%,69049,151.06,0.46,-28.89%,-29.12%,6.45%,-28.09%,-49.45%,-48.20%,8.11%,7.93%,-0.55%,5.77%,8.97%,-3.46%,57.05%,11.17%
"LBRT","NYSE","Liberty Energy Inc","Energy","Oil & Gas Equipment & Services",2833.01,17.36,-11.52%,14253914,3794.45,3.76,-27.18%,-33.77%,-46.29%,-19.29%,-5.96%,33.95%,9.89%,78.74%,-40.52%,14.01%,82.59%,6.66%,106.83%,9.35%
"ACI","NYSE","Albertsons Companies Inc","Consumer Defensive","Grocery Stores",5402.26,11.03,-3.58%,21347645,7540.50,2.83,-27.00%,-21.94%,-34.58%,-35.80%,-35.76%,-46.30%,4.74%,-9.30%,-58.62%,0.24%,-1.61%,-1.02%,66.68%,15.26%
"CLRO","NASD","ClearOne Inc","Technology","Communication Equipment",14.28,5.34,-3.61%,33256,3360.67,0.01,-26.85%,94.89%,70.88%,-22.16%,4.91%,-6.64%,14.63%,,88.11%,-100.00%,,1.12%,4.57%,2.45%
"ZVRA","NASD","Zevra Therapeutics Inc","Healthcare","Biotechnology",563.07,9.52,-23.92%,6929375,1688.91,4.10,-25.41%,-27.18%,-5.79%,4.90%,6.31%,-18.38%,5.54%,-21.07%,1152.36%,77.54%,10.02%,7.57%,71.69%,11.13%
"SSTK","NYSE","Shutterstock Inc","Communication Services","Internet Content & Information",205.00,5.58,-3.13%,1320555,793.52,1.66,-24.70%,-60.68%,-68.76%,-71.09%,-70.79%,-72.02%,12.00%,-181.60%,-352.96%,-17.91%,-24.40%,-12.59%,62.38%,4.62%
"AGL","NYSE","Agilon Health Inc","Healthcare","Medical Care Facilities",1635.01,98.00,-2.26%,247474,406.38,0.61,-24.52%,-8.38%,272.34%,288.12%,469.19%,89.37%,9.95%,87.58%,1672.24%,-7.33%,,-2.69%,67.86%,6.18%
"PSNL","NASD","Personalis Inc","Healthcare","Diagnostics & Research",1257.53,11.78,-3.60%,2896567,3861.56,0.75,-23.46%,3.70%,99.66%,4.71%,47.99%,75.56%,8.23%,-13.00%,-60.02%,-24.91%,9.40%,0.37%,62.32%,16.02%
"WOLF","NYSE","Wolfspeed Inc","Technology","Semiconductors",1200.04,23.09,-11.06%,6199502,7452.10,0.83,-22.75%,-49.66%,-16.19%,20.39%,32.62%,-89.17%,8.60%,-272.59%,-64.54%,-18.99%,,14.09%,87.15%,71.72%
"QH","NASD","Quhuo Ltd","Technology","Software - Application",16743.74,5.38,15.95%,89286,628.85,0.14,-22.59%,-27.49%,46.91%,-83.58%,-85.99%,-99.89%,20.63%,,-667.94%,28.69%,,,0.00%,
"RPD","NASD","Rapid7 Inc","Technology","Software - Infrastructure",634.22,9.49,-0.73%,1349171,2368.22,0.57,-22.21%,34.04%,64.19%,-27.56%,-37.57%,-57.88%,8.97%,-25.20%,-48.48%,-0.27%,-7.72%,-3.25%,93.03%,11.41%
"KPTI","NASD","Karyopharm Therapeutics Inc","Healthcare","Biotechnology",167.93,7.41,4.51%,900096,493.12,1.83,-22.08%,-18.75%,-15.31%,11.60%,0.68%,67.27%,15.97%,77.24%,55.38%,16.83%,55.85%,14.82%,77.16%,33.61%
"PTRN","NASD","Pattern Group Inc","Technology","Software - Application",3921.12,22.17,-5.62%,1721006,1967.28,0.87,-21.13%,1.74%,67.19%,53.74%,92.11%,,6.34%,140.97%,83.13%,43.18%,,4.72%,14.59%,10.32%
"AKTX","NASD","Akari Therapeutics Plc ADR","Healthcare","Biotechnology",9.92,8.70,-6.45%,28094,794.70,0.04,-20.98%,-19.11%,45.00%,-18.96%,-24.74%,-80.23%,17.89%,61.27%,-75.83%,,44.90%,50.13%,14.02%,1.58%
"ALOY","NASD","REalloys Inc","Basic Materials","Other Industrial Metals & Mining",483.19,7.03,-5.96%,3127804,2421.25,1.29,-20.93%,-57.86%,-18.60%,-42.75%,-13.22%,-3.77%,10.81%,-86.67%,-746.70%,20.26%,,56.87%,4.16%,11.78%
"TNXP","NASD","Tonix Pharmaceuticals Holding Corp","Healthcare","Biotechnology",157.49,9.88,-6.97%,712031,509.88,1.40,-20.51%,-18.35%,-20.90%,-48.03%,-36.75%,-77.91%,9.23%,31.07%,-3.28%,183.16%,42.40%,10.80%,39.41%,22.54%
"GLSI","NASD","Greenwich LifeSciences Inc","Healthcare","Biotechnology",190.53,12.98,-1.59%,113719,156.86,0.72,-20.47%,-39.70%,-45.16%,-44.91%,-38.22%,12.97%,18.52%,-13.06%,-56.99%,,,14.26%,11.78%,19.73%
"EDSA","NASD","Edesa Biotech Inc","Healthcare","Biotechnology",50.57,5.25,-7.24%,51427,483.52,0.11,-20.45%,-33.96%,-22.57%,254.73%,269.72%,118.75%,9.72%,-30.71%,-64.74%,,-10.64%,1.68%,39.08%,3.69%
"SEDG","NASD","Solaredge Technologies Inc","Technology","Solar",2590.85,42.60,-5.63%,2149157,3439.88,0.62,-20.33%,-14.35%,-10.05%,23.34%,47.66%,49.63%,7.91%,101.59%,44.08%,41.47%,,-5.06%,101.83%,17.41%
"STDN","NYSE","Standard Nuclear Inc","Basic Materials","Specialty Chemicals",1333.56,8.30,-5.47%,1346323,2318.85,0.58,-20.19%,,,,-38.52%,,17.02%,,,,,,,
