"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"MPLT","NASD","MapLight Therapeutics Inc","Healthcare","Biotechnology",524.63,12.31,24.28%,5534239,537.88,10.29,-67.12%,-63.01%,-59.82%,-31.54%,-29.92%,,14.29%,72.27%,-148.89%,,36.91%,3.90%,30.48%,45.00%,-64.24%,-60.66%,-46.15%
"CAPR","NASD","Capricor Therapeutics Inc","Healthcare","Biotechnology",380.48,6.57,-6.08%,16384047,1798.03,9.11,-66.80%,-75.15%,-81.28%,-72.18%,-77.23%,-3.24%,13.72%,75.27%,-10.57%,,,7.69%,58.30%,29.78%,-66.54%,-73.21%,-71.82%
"REPL","NASD","Replimune Group Inc","Healthcare","Biotechnology",449.21,5.35,-38.01%,23974141,5416.29,4.43,-51.36%,-54.00%,99.63%,-29.23%,-44.96%,68.77%,10.29%,30.77%,7.95%,,36.03%,-6.14%,102.74%,30.51%,-47.98%,-41.30%,-31.27%
"BCAR","NASD","D. Boral ARC Acquisition I Corp","Financial","Shell Companies",229.58,5.66,-27.34%,285137,727.58,0.39,-45.37%,-45.52%,-44.62%,-44.67%,-43.57%,,7.73%,,48900.00%,,,,69.94%,0.12%,-43.60%,-45.69%,-44.54%
"VEEE","NASD","Twin Vee PowerCats Co","Consumer Cyclical","Recreational Vehicles",8.51,14.90,-5.52%,332182,2338.82,0.14,-43.24%,216.35%,114.09%,-76.59%,-76.86%,-82.64%,35.77%,,67.74%,9.76%,,23.49%,4.93%,54.36%,-11.89%,42.73%,-60.00%
"SHAZ","NASD","SharonAI Holdings Inc","Technology","Information Technology Services",1582.58,44.98,-23.49%,4355291,1243.64,3.50,-36.65%,-45.18%,6.41%,2267.37%,2267.37%,499.73%,13.09%,40.15%,49.08%,,6.97%,16.54%,26.99%,10.11%,-35.57%,-36.70%,-96.09%
"BRUN","NASD","Boost Run Inc","Technology","Software - Infrastructure",1275.28,16.69,-13.79%,3764066,1680.98,2.24,-34.63%,-51.24%,1.03%,41.44%,32.04%,61.57%,12.33%,134.90%,-101.12%,,,181.02%,17.91%,9.30%,-37.52%,-44.15%,-1.37%
"SDOT","NASD","Sadot Group Inc","Consumer Defensive","Farm Products",15.29,14.96,-11.16%,601290,3813.09,0.16,-31.56%,-30.26%,-48.77%,-75.07%,-38.18%,-92.13%,18.31%,,-250.07%,-100.00%,,0.10%,0.63%,8.67%,-44.88%,-14.17%,-67.61%
"AMKR","NASD","AMKOR Technology Inc","Technology","Semiconductor Equipment & Materials",11325.29,45.69,-24.74%,19986070,5626.92,3.55,-31.53%,-41.96%,-39.58%,-9.33%,15.73%,115.21%,8.12%,63.48%,216.53%,25.58%,31.00%,6.14%,50.13%,14.32%,-31.98%,-36.88%,-14.57%
"MXL","NASD","MaxLinear Inc","Technology","Semiconductors",5345.46,58.94,-9.13%,4970863,4917.38,1.01,-31.51%,-38.99%,14.11%,220.33%,238.15%,252.09%,14.76%,440.47%,105.90%,55.17%,115.25%,-0.30%,84.89%,4.58%,-32.24%,-33.68%,46.66%
"WOLF","NYSE","Wolfspeed Inc","Technology","Semiconductors",1137.15,21.88,-8.07%,5142955,7396.55,0.70,-31.04%,-52.40%,-26.26%,25.75%,25.67%,-89.12%,9.83%,-272.59%,-64.54%,-18.99%,,15.04%,87.49%,71.97%,-34.29%,-52.95%,-23.60%
"SNDK","NASD","Sandisk Corp","Technology","Computer Hardware",162321.19,1096.10,-14.25%,25648190,13342.14,1.92,-31.04%,-47.57%,2.42%,132.82%,361.75%,2516.61%,10.91%,2136.60%,272.72%,251.03%,,-4.08%,79.13%,5.38%,-33.02%,-36.33%,32.47%
"FXHO","NASD","UTime Ltd","Technology","Consumer Electronics",2.03,10.30,-12.49%,41023,357.03,0.11,-30.73%,65.86%,-50.95%,-61.85%,-79.80%,-99.83%,21.91%,,100.74%,-27.99%,,0.72%,0.81%,39.58%,-27.97%,-6.38%,-94.96%
"HQ","NASD","Horizon Quantum Holdings Ltd","Technology","Software - Infrastructure",372.13,11.69,-5.88%,231379,687.18,0.34,-29.96%,-49.89%,0.52%,-6.09%,-10.01%,-7.95%,17.89%,-40.74%,92.50%,,-28.28%,126.24%,5.36%,9.99%,-42.31%,-35.52%,-13.01%
"AIBZ","NASD","Bitzero Holdings Inc","Technology","Software - Infrastructure",258.20,5.00,-6.19%,674839,394.94,1.71,-29.68%,-44.20%,100.00%,32.63%,117.39%,,9.91%,,,,,0.92%,0.03%,2.00%,-27.18%,-25.90%,21.41%
"AEHR","NASD","Aehr Test Systems","Technology","Semiconductor Equipment & Materials",2273.60,70.00,-9.65%,2830588,2588.42,1.09,-29.23%,-23.76%,-20.89%,161.39%,246.71%,234.77%,12.65%,2000.00%,143.11%,33.69%,,3.25%,69.92%,15.69%,-11.48%,-23.85%,33.71%
"CEPL","NASD","Capstone Energy+ Inc","Industrials","Specialty Industrial Machinery",226.61,7.43,-9.17%,908161,523.64,1.73,-29.10%,-18.35%,-7.68%,29.90%,47.42%,621.36%,17.55%,104.88%,-6166.67%,-15.03%,,,18.64%,0.90%,-25.21%,-29.10%,14.16%
