"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float"
"NVVE","NASD","Nuvve Holding Corp","Consumer Cyclical","Specialty Retail",3.04,5.79,-18.10%,979527,1160.09,0.84,-73.14%,-8.10%,-41.58%,-88.95%,-87.34%,-99.09%,60.28%,,81.33%,49.11%,,,2.17%,5.90%
"JLHL","NASD","Julong Holding Ltd","Industrials","Building Products & Equipment",149.71,6.98,-10.05%,334344,2132.08,0.16,-35.07%,-73.61%,-30.20%,54.42%,73.20%,40.16%,25.70%,,62.93%,61.71%,,-47.82%,0.03%,1.30%
"BXBL","NASD","BOXABL Inc","Financial","Shell Companies",8.44,6.10,-23.85%,799140,259.30,3.08,-34.97%,-59.03%,-39.81%,-39.48%,-39.24%,-38.38%,13.99%,,-15.36%,,,,,28.60%
"HQ","NASD","Horizon Quantum Holdings Ltd","Technology","Software - Infrastructure",466.04,14.64,-12.28%,303966,676.65,0.45,-33.18%,-61.87%,24.60%,18.54%,12.70%,20.39%,21.82%,-40.74%,92.50%,,-28.28%,126.24%,5.36%,9.98%
"GLSI","NASD","Greenwich LifeSciences Inc","Healthcare","Biotechnology",194.78,13.27,-9.42%,163669,154.70,1.06,-32.09%,-44.13%,-42.08%,-37.67%,-36.84%,19.12%,18.26%,-13.06%,-56.99%,,,14.26%,11.78%,19.73%
"QH","NASD","Quhuo Ltd","Technology","Software - Application",0.64,5.31,-3.98%,151469,625.15,0.24,-30.86%,-56.96%,50.85%,-83.82%,-86.17%,-99.90%,14.73%,,-667.41%,28.69%,,,11.34%,
"VEEE","NASD","Twin Vee PowerCats Co","Consumer Cyclical","Recreational Vehicles",10.60,18.56,-29.30%,448951,2262.85,0.20,-30.20%,228.50%,133.75%,-66.56%,-71.17%,-79.19%,47.62%,,67.74%,9.76%,,25.78%,4.93%,1.50%
"HCAI","NASD","Huachen AI Parking Management Technology Holding Co Ltd","Industrials","Farm & Heavy Construction Machinery",6.18,5.31,-1.67%,58786,1208.31,0.05,-30.13%,-33.33%,-21.80%,-45.37%,-49.31%,-77.88%,11.16%,,-68.06%,-72.77%,,-0.66%,0.32%,2.55%
"GFUZ","NASD","General Fusion Group Ltd","Industrials","Specialty Industrial Machinery",252.70,8.24,-10.34%,260536,490.54,0.53,-25.09%,-19.84%,-20.39%,-18.58%,-18.82%,,20.74%,,-2300550.00%,,,,63.23%,
"KPTI","NASD","Karyopharm Therapeutics Inc","Healthcare","Biotechnology",162.72,7.18,-8.71%,713626,487.28,1.46,-24.66%,-20.22%,-21.70%,20.67%,-2.45%,84.58%,13.97%,77.24%,55.38%,16.83%,55.85%,14.82%,77.16%,33.61%
"ALOY","NASD","REalloys Inc","Basic Materials","Other Industrial Metals & Mining",563.33,8.19,-9.00%,1717051,2407.38,0.71,-24.45%,-58.43%,-18.83%,-26.88%,1.17%,7.20%,10.36%,-51.25%,-746.70%,20.26%,73.43%,56.87%,4.16%,11.78%
"SCLX","NASD","Scilex Holding Company","Healthcare","Drug Manufacturers - General",59.69,7.03,-10.33%,81522,174.58,0.47,-23.75%,2.33%,65.31%,3.68%,-7.45%,27.72%,9.91%,,-178.46%,72.12%,,-4.32%,10.27%,2.19%
"FXHO","NASD","UTime Ltd","Technology","Consumer Electronics",2.89,14.62,-1.65%,28828,354.61,0.08,-23.11%,150.00%,-37.85%,-59.53%,-71.32%,-99.75%,27.88%,,100.74%,-27.99%,,0.70%,0.81%,97.43%
"ELVA","NASD","Electrovaya Inc","Industrials","Electrical Equipment & Parts",450.05,9.09,-10.79%,585492,973.73,0.60,-22.70%,-12.09%,-4.21%,-14.33%,15.06%,137.96%,16.50%,40.31%,-4.37%,20.18%,67.11%,14.93%,30.13%,5.62%
"PSNL","NASD","Personalis Inc","Healthcare","Diagnostics & Research",1305.87,12.47,-7.22%,4036451,3794.21,1.06,-21.03%,22.62%,99.84%,32.80%,56.66%,93.93%,9.19%,-13.00%,-60.02%,-24.91%,9.40%,0.37%,62.33%,16.02%
"SVCO","NASD","Silvaco Group Inc","Technology","Software - Application",270.52,8.26,-6.35%,199202,541.32,0.37,-20.65%,-37.42%,-5.38%,87.30%,103.95%,89.45%,10.10%,116.55%,72.19%,25.99%,,6.29%,24.72%,7.61%
