"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"DIA","NYSE",524.32,0.54%,3972988,4657.43,0.85,1.07%,0.37%,5.57%,6.96%,9.10%,18.80%,,2.13,-0.66,-6.60,0.31,0.28%,1.40%,6.87%
"ETHA","NASD",14.07,-3.03%,34311686,28737.07,1.19,0.21%,15.42%,-17.62%,-33.35%,-37.27%,-50.23%,,6.56,-8.25,-16.83,57.02,0.30%,2.77%,-24.86%
"GLD","NYSE",371.54,-1.49%,6606732,6948.47,0.95,-0.10%,0.25%,-12.30%,-25.08%,-6.25%,22.64%,,0.31,-3.03,-6.07,4.88,-0.43%,-3.57%,-9.79%
"IBIT","NASD",35.64,-2.89%,55486066,43874.03,1.26,-1.95%,4.82%,-17.73%,-25.13%,-28.22%,-46.26%,,-0.14,-9.10,-3.41,7.13,-1.96%,-3.51%,-20.61%
"IWM","NYSE",291.20,-0.48%,28246476,25754.31,1.10,0.01%,-2.71%,4.76%,10.57%,18.30%,32.73%,,-0.34,-0.72,-7.19,-4.24,-0.95%,-0.44%,9.53%
"QQQ","NASD",687.99,0.65%,50098413,44050.83,1.14,0.55%,-5.13%,3.03%,9.30%,11.99%,21.77%,,0.12,1.79,0.68,4.43,-1.86%,-3.79%,6.66%
"SLV","NYSE",52.36,-2.13%,11533158,20474.78,0.56,-0.44%,-2.28%,-21.45%,-50.40%,-18.72%,57.14%,,0.99,-0.70,-11.72,-4.23,-0.75%,-9.73%,-17.64%
"SPY","NYSE",747.03,0.72%,61707224,52623.91,1.17,1.10%,0.17%,3.95%,7.64%,9.55%,18.19%,,1.80,3.88,2.02,3.03,0.18%,0.27%,6.66%
