"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"DIA","NYSE",527.75,-0.72%,3091950,4135.63,0.75,-1.40%,-0.65%,2.67%,8.70%,9.82%,15.71%,,-0.79,-2.30,-7.07,-2.18,-1.38%,-0.04%,6.04%,-0.17%
"ETHA","NASD",18.23,-2.62%,33129257,34740.10,0.95,-1.99%,29.20%,26.77%,22.10%,-18.72%,-44.45%,,17.93,18.17,2.43,-3.08,12.24%,24.71%,4.94%,-1.14%
"GLD","NYSE",396.75,-2.86%,12590067,8742.66,1.44,-7.32%,6.74%,-3.69%,-15.25%,0.11%,24.74%,,3.40,1.45,-2.35,6.85,-2.71%,2.59%,-4.40%,-0.39%
"IBIT","NASD",43.76,-2.04%,50214754,48980.96,1.03,-2.15%,21.02%,15.01%,13.07%,-11.86%,-28.78%,,4.79,-0.59,2.17,9.49,9.71%,16.99%,2.93%,-0.71%
"IWM","NYSE",290.57,-1.14%,22702428,22782.26,1.00,-2.89%,-1.91%,-0.37%,12.09%,18.04%,23.56%,,-0.49,-2.67,-7.71,-3.60,-3.01%,-2.21%,6.91%,-0.48%
"QQQ","NASD",707.64,-1.27%,34715476,42052.99,0.83,-0.43%,1.08%,-5.16%,17.63%,15.19%,24.06%,,3.61,2.25,3.03,6.68,-1.44%,-0.47%,7.86%,0.04%
"SLV","NYSE",57.92,-3.68%,17600522,18336.10,0.96,-7.06%,10.41%,-14.81%,-22.44%,-10.09%,60.04%,,1.91,1.37,-8.15,-2.12,-2.77%,4.15%,-11.05%,-0.80%
"SPY","NYSE",761.78,-0.69%,40775262,50214.09,0.81,-0.54%,0.54%,0.29%,11.97%,11.71%,18.10%,,-0.59,1.94,1.43,3.68,-0.97%,0.94%,7.19%,-0.03%
