"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"DIA","NYSE",538.19,-0.85%,3595893,4729.09,0.76,3.20%,2.95%,7.84%,8.78%,11.99%,21.77%,,2.41,3.68,-2.41,4.63,2.47%,3.53%,9.36%,-1.03%
"ETHA","NASD",14.40,-0.55%,23189825,29134.77,0.80,-0.76%,9.84%,-18.74%,-11.87%,-35.80%,-48.41%,,6.18,-7.56,-16.04,47.43,1.29%,6.16%,-21.80%,0.63%
"GLD","NYSE",389.67,0.01%,9929053,7073.09,1.40,3.32%,4.06%,-9.58%,-14.16%,-1.68%,25.50%,,1.18,-1.83,-5.36,5.54,4.25%,1.86%,-5.36%,0.04%
"IBIT","NASD",36.49,-0.68%,28968008,43356.10,0.67,-0.57%,3.58%,-21.00%,-12.22%,-26.51%,-44.30%,,1.14,-9.47,-2.72,8.08,0.04%,0.32%,-17.77%,0.41%
"IWM","NYSE",298.25,-0.51%,16157689,25466.73,0.63,1.93%,1.63%,3.99%,14.48%,21.16%,35.22%,,-2.22,-2.28,-8.20,0.02,1.28%,1.57%,11.74%,-0.45%
"QQQ","NASD",714.65,-0.37%,32196432,44589.87,0.72,4.55%,0.45%,2.71%,17.98%,16.33%,25.97%,,-0.88,0.58,0.43,3.68,2.03%,-0.01%,10.41%,0.54%
"SLV","NYSE",55.85,-0.39%,13235800,20235.10,0.65,4.39%,5.72%,-20.36%,-29.46%,-13.30%,62.59%,,1.48,0.79,-10.67,-3.10,5.80%,-1.74%,-12.34%,0.70%
"SPY","NYSE",768.56,-0.16%,38080726,53443.91,0.71,3.62%,3.11%,4.73%,12.00%,12.71%,21.46%,,1.37,3.22,1.36,2.86,2.58%,2.92%,9.41%,-0.21%
