"Ticker","Exchange","Price","Change","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Net Flows (1 Month)","Net Flows % (1 Month)","Net Flows (3 Month)","Net Flows % (3 Month)","Net Flows (YTD)","Net Flows % (YTD)","Net Flows (1 Year)","Net Flows % (1 Year)"
"DIA","NYSE",518.76,0.48%,-0.39%,0.05%,5.23%,5.08%,7.95%,16.03%,-0.81%,0.82%,6.06%,1892168549.85,4.38,-1819213714.65,-3.88,-2755525547.60,-5.76,780298881.15,1.76
"ETHA","NASD",14.04,-0.50%,0.93%,17.79%,-19.73%,-36.67%,-37.41%,-50.53%,4.15%,0.92%,-26.80%,299379682.64,5.91,-522462422.36,-8.87,-1094927698.96,-16.94,2987766686.96,125.58
"GLD","NYSE",371.90,0.10%,0.95%,1.63%,-13.72%,-17.68%,-6.16%,19.86%,-0.28%,-4.67%,-9.69%,-472647060.50,-0.36,-5453924414.30,-3.97,-8419607174.30,-6.00,6546011066.50,5.22
"IBIT","NASD",36.35,-0.82%,0.00%,7.32%,-17.48%,-28.26%,-26.79%,-46.28%,1.54%,-3.77%,-20.43%,-1125862228.32,-2.33,-4525983129.92,-8.75,-1499762403.16,-3.08,3786657867.16,8.72
"IWM","NYSE",291.17,-0.31%,-0.98%,-1.86%,5.68%,7.92%,18.28%,30.25%,-1.59%,-0.01%,10.02%,-1502334305.80,-1.87,-1763105584.95,-2.18,-7673137247.95,-8.85,-5180507830.05,-6.15
"QQQ","NASD",684.23,-1.12%,-1.60%,-3.71%,5.04%,10.22%,11.38%,21.10%,-3.86%,-4.74%,6.38%,-9921860136.00,-2.15,3910054811.50,0.87,-714905747.00,-0.16,17386499272.50,4.00
"SLV","NYSE",52.59,1.02%,3.56%,1.56%,-23.09%,-39.64%,-18.36%,48.18%,-0.85%,-12.31%,-17.04%,239603912.49,0.86,-276185040.31,-0.97,-3691241088.71,-11.57,-1200942654.64,-4.08
"SPY","NYSE",738.93,0.10%,-0.59%,0.78%,4.30%,7.25%,8.36%,16.47%,-0.97%,-0.82%,5.78%,5821644295.55,0.75,28577117476.10,3.79,12637771173.80,1.64,24431648255.50,3.22
