"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"DIA","NYSE",515.88,-0.48%,2654119,3732.63,0.71,-1.88%,-3.44%,0.07%,11.89%,7.35%,11.51%,,0.38,0.05,-5.19,1.15,-2.30%,-2.38%,2.96%,-0.12%
"ETHA","NASD",19.92,7.85%,77080592,36149.73,2.13,3.97%,25.44%,54.66%,23.27%,-11.19%,-42.64%,,16.91,22.34,4.15,-3.75,6.85%,23.75%,16.18%,5.45%
"GLD","NYSE",401.17,0.71%,9438529,9077.60,1.04,0.60%,-3.06%,3.63%,-5.92%,1.23%,19.53%,,2.76,4.11,-1.46,7.22,-1.34%,2.09%,-3.62%,0.17%
"IBIT","NASD",46.02,6.28%,83906021,47561.38,1.76,5.14%,18.67%,29.20%,15.57%,-7.31%,-31.06%,,4.55,2.85,3.02,7.07,3.79%,15.88%,9.29%,4.03%
"IWM","NYSE",284.10,-0.47%,30993688,20971.65,1.48,-1.66%,-5.84%,-3.89%,14.73%,15.41%,16.03%,,0.38,-1.98,-7.78,-5.50,-2.87%,-3.74%,3.37%,-0.29%
"QQQ","NASD",721.45,0.63%,47909961,37212.55,1.29,0.92%,0.75%,-2.59%,21.66%,17.44%,21.19%,,-0.63,0.88,2.27,6.54,1.15%,1.62%,8.88%,0.36%
"SLV","NYSE",59.93,1.63%,15500117,16827.62,0.92,3.11%,-0.13%,0.71%,-8.75%,-6.97%,57.75%,,-0.25,1.71,-9.62,-2.66,0.29%,5.48%,-8.92%,-0.25%
"SPY","NYSE",761.69,-0.12%,65235034,46058.35,1.42,-0.34%,-0.96%,2.00%,15.44%,11.70%,15.01%,,-2.80,-0.17,-1.12,1.17,-0.34%,0.26%,6.34%,0.05%
