"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"DIA","NYSE",528.03,-1.13%,3629387,4032.99,0.90,-0.67%,-2.15%,3.76%,10.49%,9.88%,15.75%,,-3.26,-0.70,-5.57,0.95,-1.05%,-0.20%,5.83%,-0.41%
"ETHA","NASD",18.72,1.08%,39749442,34584.15,1.15,0.00%,29.37%,47.17%,21.80%,-16.54%,-42.33%,,17.79,21.24,3.33,-1.41,9.58%,23.62%,8.38%,0.56%
"GLD","NYSE",399.72,-1.73%,8885014,9203.71,0.97,-2.13%,0.31%,0.62%,-15.41%,0.86%,19.38%,,3.72,3.29,-1.54,6.88,-2.45%,2.65%,-3.81%,-0.95%
"IBIT","NASD",44.39,-1.86%,40646674,48359.66,0.84,-0.63%,20.62%,23.68%,13.44%,-10.59%,-30.31%,,5.08,2.09,3.08,9.55,6.81%,16.00%,4.84%,0.14%
"IWM","NYSE",294.67,-0.45%,17255412,22471.01,0.77,0.25%,-2.28%,3.72%,16.19%,19.71%,23.68%,,0.14,-0.99,-8.20,-3.03,-1.32%,-0.75%,7.94%,-0.23%
"QQQ","NASD",718.36,-0.08%,27919866,41677.70,0.67,0.22%,-0.65%,0.32%,18.20%,16.94%,24.10%,,0.95,1.05,2.05,5.87,0.14%,0.99%,9.12%,-0.35%
"SLV","NYSE",59.37,-0.75%,9622915,18356.70,0.52,-1.26%,3.25%,-3.59%,-24.14%,-7.84%,58.28%,,1.26,1.80,-8.72,-2.47,-1.17%,5.78%,-9.20%,-0.84%
"SPY","NYSE",765.96,-0.55%,43507540,49768.92,0.87,-0.14%,-0.94%,3.62%,12.93%,12.32%,18.05%,,0.64,0.92,0.98,3.29,-0.36%,1.10%,7.48%,-0.40%
