"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"DIA","NYSE",520.30,0.30%,2468327,4572.85,0.69,0.46%,0.20%,5.71%,5.98%,8.27%,15.87%,,4.38,-3.88,-5.76,1.76,-0.54%,1.02%,6.32%
"ETHA","NASD",14.61,4.06%,26976280,28053.48,1.23,1.95%,24.45%,-16.61%,-34.19%,-34.86%,-47.03%,,5.91,-8.87,-16.94,125.58,7.30%,5.38%,-23.45%
"GLD","NYSE",373.95,0.55%,2257385,6959.54,0.41,1.73%,1.22%,-13.69%,-18.35%,-5.64%,21.65%,,-0.36,-3.97,-6.00,5.22,0.27%,-3.86%,-9.20%
"IBIT","NASD",36.72,1.00%,21527069,43581.34,0.63,-0.47%,9.53%,-16.59%,-27.58%,-26.05%,-44.67%,,-2.33,-8.75,-3.08,8.72,2.15%,-2.37%,-19.35%
"IWM","NYSE",292.01,0.29%,13939070,25927.14,0.69,-0.10%,-2.31%,5.55%,10.27%,18.62%,30.14%,,-1.87,-2.18,-8.85,-6.15,-1.17%,0.22%,10.23%
"QQQ","NASD",678.83,-0.79%,30821061,42778.96,0.92,-2.48%,-5.24%,2.25%,9.01%,10.50%,19.86%,,-2.15,0.87,-0.16,4.00,-4.43%,-5.40%,5.48%
"SLV","NYSE",52.71,0.23%,7075831,20624.22,0.44,3.40%,0.67%,-23.37%,-43.27%,-18.18%,52.08%,,0.86,-0.97,-11.57,-4.08,-0.57%,-11.32%,-16.91%
"SPY","NYSE",737.28,-0.22%,24831443,51963.62,0.61,-0.65%,0.41%,3.27%,6.97%,8.12%,15.72%,,0.75,3.79,1.64,3.22,-1.24%,-1.03%,5.49%
