"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float"
"FLY","NASD","Firefly Aerospace Inc","Industrials","Aerospace & Defense",3467.01,21.11,7.32%,3860644,6979.51,0.55,-2.04%,-31.79%,-50.67%,-36.82%,-5.63%,,8.35%,-40.29%,-20.35%,44.80%,28.25%,8.98%,20.37%,15.29%
"KRMN","NYSE","Karman Holdings Inc","Industrials","Aerospace & Defense",6185.00,46.67,3.99%,4742199,3345.39,1.42,1.83%,-7.35%,-43.56%,-56.99%,-36.22%,-16.99%,6.41%,55.98%,261.98%,51.02%,50.90%,18.18%,78.28%,13.31%
"LUNR","NASD","Intuitive Machines Inc","Industrials","Aerospace & Defense",3177.19,14.64,5.86%,8320775,13752.39,0.61,-1.81%,-35.93%,-46.80%,-32.16%,-9.80%,30.13%,7.57%,56.85%,-135.53%,198.65%,,24.86%,72.10%,26.54%
"PL","NYSE","Planet Labs PBC","Industrials","Aerospace & Defense",8232.90,23.10,4.29%,5464510,12660.39,0.43,-9.62%,-18.17%,-38.40%,-19.74%,17.14%,228.59%,9.29%,-147.44%,-854.63%,42.08%,,9.60%,58.06%,13.65%
"RKLB","NASD","Rocket Lab Corp","Industrials","Aerospace & Defense",41346.21,69.12,5.14%,18306028,26840.80,0.68,-12.30%,-35.55%,-22.74%,-28.22%,-0.92%,46.47%,8.25%,47.53%,37.95%,63.46%,,3.34%,50.63%,7.23%
"CVNA","NYSE","Carvana Co","Consumer Cyclical","Auto & Truck Dealerships",71930.49,65.58,2.25%,8702557,11015.24,0.79,-6.82%,-1.47%,-18.43%,-26.00%,-22.30%,-4.10%,5.81%,-9.73%,11.42%,51.98%,15.86%,1.30%,102.38%,11.04%
"BMNR","NYSE","BitMine Immersion Technologies Inc","Financial","Capital Markets",10393.59,17.23,3.61%,35684773,37027.45,0.96,5.77%,6.75%,-23.52%,-44.70%,-36.54%,-56.46%,6.78%,-218.15%,51.19%,2167.95%,,8.73%,32.38%,7.86%
"HUT","NASD","Hut 8 Corp","Financial","Capital Markets",12270.50,108.98,7.98%,4269278,4577.34,0.93,10.83%,-12.42%,37.97%,82.70%,137.22%,410.68%,11.08%,-46.80%,-52.18%,225.54%,,1.81%,77.50%,12.44%
"AAOI","NASD","Applied Optoelectronics Inc","Technology","Communication Equipment",9569.75,119.26,15.76%,10188631,11905.41,0.86,-4.93%,-26.31%,-27.04%,221.98%,242.11%,322.46%,11.39%,497.54%,-2.56%,51.36%,,12.45%,72.61%,14.18%
"ASTS","NASD","AST SpaceMobile Inc","Technology","Communication Equipment",24583.81,63.34,10.31%,21268626,22617.27,0.94,-7.96%,-21.47%,-21.80%,-45.29%,-12.79%,11.77%,9.75%,-73.95%,-221.95%,1952.23%,,0.25%,41.64%,24.95%
"ANET","NYSE","Arista Networks Inc","Technology","Computer Hardware",219831.59,174.58,3.09%,6353976,9847.66,0.65,-4.38%,2.89%,4.63%,34.47%,33.24%,56.42%,6.63%,22.14%,26.22%,35.13%,22.43%,1.67%,73.05%,2.07%
"IONQ","NYSE","IonQ Inc","Technology","Computer Hardware",13254.81,35.51,3.71%,20238414,28328.85,0.71,-9.62%,-37.21%,-26.51%,-30.10%,-20.86%,-20.08%,6.91%,79.52%,1570.07%,754.72%,-4.61%,2.20%,55.52%,12.00%
"SMCI","NASD","Super Micro Computer Inc","Technology","Computer Hardware",16495.26,25.50,7.01%,44270462,50730.77,0.87,-7.78%,-16.83%,-11.49%,-21.88%,-12.88%,-50.49%,6.11%,26.03%,314.07%,122.68%,20.28%,8.15%,63.24%,18.32%
