"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"FLY","NASD","Firefly Aerospace Inc","Industrials","Aerospace & Defense",3867.04,23.10,-5.52%,2302382,5851.23,0.39,-15.01%,17.32%,-53.33%,15.62%,3.26%,-49.90%,7.10%,-33.26%,-2.13%,656.85%,19.62%,23.31%,36.64%,10.64%,-3.45%,-6.63%,-15.92%,-2.28%
"LUNR","NASD","Intuitive Machines Inc","Industrials","Aerospace & Defense",2886.01,16.66,-9.06%,7560130,13008.18,0.58,-18.25%,28.95%,-56.46%,-8.16%,2.65%,85.83%,6.51%,8.81%,-33.24%,309.77%,,12.34%,78.84%,23.58%,4.90%,-3.45%,-14.63%,-5.66%
"PL","NYSE","Planet Labs PBC","Industrials","Aerospace & Defense",7687.60,21.57,-3.23%,4166197,11294.95,0.37,-11.53%,5.37%,-51.36%,-9.29%,9.38%,217.21%,4.67%,-97.12%,-854.63%,42.08%,,4.46%,62.02%,10.25%,-4.36%,-14.08%,-19.02%,-1.19%
"RDW","NYSE","Redwire Corp","Industrials","Aerospace & Defense",2844.91,11.38,-5.32%,10900260,31444.82,0.35,-15.14%,30.96%,-34.93%,40.15%,49.74%,25.05%,6.84%,67.32%,86.71%,89.56%,59.63%,7.00%,59.52%,16.17%,-1.33%,1.50%,9.76%,-3.15%
"RKLB","NASD","Rocket Lab Corp","Industrials","Aerospace & Defense",40855.38,68.28,-5.91%,14286568,23741.07,0.60,-16.81%,6.84%,-49.71%,-2.75%,-2.12%,53.85%,5.33%,25.79%,39.33%,61.99%,,4.64%,54.66%,7.78%,-7.90%,-15.83%,-13.33%,-4.11%
"BMNR","NYSE","BitMine Immersion Technologies Inc","Financial","Capital Markets",14561.89,24.14,5.74%,66099363,37225.92,1.78,28.88%,52.88%,27.86%,25.60%,-11.09%,-54.87%,6.95%,,51.19%,2167.95%,,8.92%,41.35%,7.13%,28.12%,43.65%,5.34%,2.29%
"HOOD","NASD","Robinhood Markets Inc","Financial","Capital Markets",93162.91,103.62,-4.17%,22030520,26379.38,0.84,7.66%,9.18%,40.71%,44.36%,-8.38%,-5.21%,6.84%,1.94%,44.87%,34.50%,18.32%,5.90%,67.58%,4.36%,9.91%,3.07%,8.03%,-3.03%
"ASTS","NASD","AST SpaceMobile Inc","Technology","Communication Equipment",24264.59,62.35,-9.18%,12030675,19496.09,0.62,-12.36%,10.94%,-41.10%,-25.69%,-14.15%,32.46%,5.55%,-76.64%,-88.00%,2626.64%,,1.82%,48.02%,31.41%,-5.99%,-10.72%,-23.61%,-6.59%
"LITE","NASD","Lumentum Holdings Inc","Technology","Communication Equipment",74466.25,830.17,-4.22%,3905700,5240.61,0.75,-14.32%,8.80%,-12.33%,23.04%,125.23%,595.63%,8.44%,147.00%,-2957.51%,109.34%,74.07%,1.90%,94.70%,9.77%,0.84%,2.08%,26.58%,0.80%
"VIAV","NASD","Viavi Solutions Inc","Technology","Communication Equipment",9117.41,36.95,-5.01%,3451689,6737.50,0.51,-20.13%,-6.50%,-25.37%,35.00%,107.35%,232.88%,6.85%,64.37%,255.97%,52.53%,35.88%,2.75%,98.46%,4.77%,-5.50%,-12.91%,8.77%,-2.12%
"RGTI","NASD","Rigetti Computing Inc","Technology","Computer Hardware",5463.80,16.37,-8.60%,21622227,34309.05,0.63,-12.32%,15.69%,-38.04%,2.18%,-26.09%,10.46%,7.28%,-17.61%,-18.72%,185.29%,-4.82%,2.33%,51.87%,19.33%,-3.02%,-5.61%,-17.96%,-6.43%
"SMCI","NASD","Super Micro Computer Inc","Technology","Computer Hardware",22750.52,35.17,-5.56%,39805155,59149.05,0.67,-8.12%,16.84%,-1.15%,14.52%,20.16%,-19.85%,5.60%,19.51%,418.57%,93.16%,18.32%,23.68%,72.59%,16.23%,6.21%,15.13%,12.03%,-3.62%
"SNDK","NASD","Sandisk Corp","Technology","Computer Hardware",218621.14,1493.12,-6.45%,13930817,13802.22,1.01,-16.44%,3.94%,0.98%,124.03%,529.00%,3120.01%,6.68%,196.53%,28016.32%,371.59%,55.29%,1.67%,81.56%,4.73%,7.27%,-9.31%,57.88%,-0.06%
"ERO","NYSE","Ero Copper Corp","Basic Materials","Copper",4020.76,38.55,-2.21%,2101209,1259.67,1.67,10.43%,48.38%,42.88%,23.84%,36.27%,167.52%,5.06%,85.41%,24.55%,73.88%,26.83%,0.43%,74.52%,5.07%,18.60%,32.88%,36.46%,-2.50%
"AFRM","NASD","Affirm Holdings Inc","Financial","Credit Services",25747.00,76.88,-0.19%,2669331,3959.92,0.67,3.17%,9.47%,17.88%,63.12%,3.29%,-3.28%,5.15%,733.90%,3549.38%,33.75%,158.06%,6.08%,78.74%,5.47%,1.96%,0.22%,15.77%,-0.23%
"UPST","NASD","Upstart Holdings Inc","Financial","Credit Services",2908.69,29.89,-1.35%,3352464,4490.73,0.75,0.47%,10.99%,4.66%,9.65%,-31.65%,-56.59%,6.27%,-58.29%,185.50%,41.75%,21.18%,0.78%,60.82%,30.31%,1.54%,-2.88%,-13.31%,-1.06%
"HIMS","NYSE","Hims & Hers Health Inc","Healthcare","Drug Manufacturers - Specialty & Generic",7251.38,31.08,-7.99%,13831937,16200.81,0.85,8.63%,10.64%,30.86%,100.39%,-4.28%,-30.27%,8.22%,-193.41%,-320.75%,38.25%,16.83%,2.19%,67.42%,29.58%,3.95%,-3.11%,7.80%,-4.19%
"BE","NYSE","Bloom Energy Corp","Industrials","Electrical Equipment & Parts",60089.47,204.02,1.28%,15081254,14401.38,1.05,-12.12%,10.35%,-32.55%,27.29%,134.80%,320.31%,6.47%,249.66%,431.21%,165.52%,115.98%,1.88%,84.75%,7.36%,-4.07%,-15.46%,9.13%,6.27%
"OUST","NASD","Ouster Inc","Technology","Electronic Components",2578.02,35.75,-6.95%,2535438,4355.73,0.58,-25.72%,5.02%,-3.46%,97.95%,65.20%,16.64%,8.62%,-716.26%,27.46%,55.86%,,9.49%,50.22%,8.89%,-14.34%,-16.27%,21.27%,-4.32%
"TTMI","NASD","TTM Technologies Inc","Technology","Electronic Components",11284.97,107.12,-3.09%,3225180,2979.04,1.08,-24.02%,-18.48%,-43.60%,0.25%,55.25%,141.10%,8.09%,96.73%,94.92%,37.42%,47.35%,0.56%,94.12%,2.35%,-14.07%,-28.70%,-9.11%,0.25%
"RBLX","NYSE","Roblox Corp","Communication Services","Electronic Gaming & Multimedia",27689.21,38.76,1.02%,8332693,11926.69,0.70,2.19%,-18.49%,-19.52%,-37.91%,-52.17%,-67.02%,4.23%,6.73%,37.20%,35.93%,15.77%,3.36%,80.28%,3.81%,-0.95%,-16.85%,-38.23%,0.52%
"CDE","NYSE","Coeur Mining Inc","Basic Materials","Gold",21463.29,20.88,-0.43%,38979151,36796.97,1.06,8.13%,38.00%,18.43%,-14.53%,17.11%,72.99%,5.09%,33.53%,7.09%,124.47%,26.60%,1.22%,78.66%,5.32%,17.11%,23.99%,11.96%,-1.79%
"IAG","NYSE","Iamgold Corp","Basic Materials","Gold",12447.80,21.80,3.12%,7039869,5633.55,1.25,14.44%,48.70%,31.96%,-4.22%,32.20%,148.57%,4.24%,73.35%,191.88%,47.51%,24.07%,0.17%,69.07%,1.04%,25.34%,33.14%,24.67%,1.99%
"HNGE","NYSE","Hinge Health Inc","Healthcare","Health Information Services",7260.88,89.98,1.76%,2580174,1936.51,1.33,2.40%,21.09%,62.86%,134.02%,93.71%,56.30%,4.94%,-10.25%,107.01%,53.00%,17.93%,9.26%,67.27%,11.25%,7.26%,10.44%,64.67%,1.76%
"OSCR","NYSE","Oscar Health Inc","Healthcare","Healthcare Plans",9819.52,31.81,-0.72%,4681088,6155.68,0.76,0.82%,12.84%,40.50%,155.50%,121.36%,89.35%,5.18%,202.01%,221.42%,70.40%,,8.65%,61.55%,7.09%,4.39%,5.90%,60.73%,-1.12%
"APLD","NASD","Applied Digital Corp","Technology","Information Technology Services",7837.60,26.89,-1.18%,11708258,19821.17,0.59,-13.76%,-1.10%,-41.38%,-10.37%,9.67%,67.54%,7.46%,15.38%,-62.41%,580.68%,,4.99%,74.43%,27.67%,-6.68%,-17.48%,-16.70%,0.90%
