"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"FLY","NASD","Firefly Aerospace Inc","Industrials","Aerospace & Defense",3338.90,20.33,0.20%,2719833,6813.96,0.40,3.25%,-28.34%,-41.24%,-24.95%,-9.12%,,8.85%,-42.96%,-20.35%,44.80%,21.88%,9.99%,21.15%,13.86%,-5.67%,-33.64%,-26.29%
"LUNR","NASD","Intuitive Machines Inc","Industrials","Aerospace & Defense",2678.04,12.34,0.73%,7957671,13306.34,0.60,-4.49%,-38.91%,-51.32%,-41.21%,-23.97%,10.57%,7.33%,45.99%,-135.53%,198.65%,,29.90%,81.55%,29.46%,-14.76%,-46.51%,-35.54%
"PL","NYSE","Planet Labs PBC","Industrials","Aerospace & Defense",7299.12,20.48,1.29%,5764654,12427.92,0.46,0.05%,-35.21%,-44.60%,-22.28%,3.85%,227.68%,6.97%,-147.44%,-854.63%,42.08%,,10.60%,59.08%,11.73%,-13.54%,-34.27%,-20.77%
"RKLB","NASD","Rocket Lab Corp","Industrials","Aerospace & Defense",38851.80,64.95,0.42%,13459196,26570.30,0.51,1.63%,-35.10%,-21.28%,-24.19%,-6.90%,41.44%,8.81%,47.53%,37.95%,63.46%,,3.51%,51.01%,7.78%,-10.27%,-32.88%,-16.49%
"CVNA","NYSE","Carvana Co","Consumer Cyclical","Auto & Truck Dealerships",68624.92,62.36,1.50%,11873472,11075.74,1.07,3.14%,-8.12%,-21.22%,-27.05%,-26.12%,-20.09%,6.59%,-4.57%,63.95%,52.40%,17.67%,1.23%,100.92%,11.47%,-5.12%,-6.51%,-13.76%
"BMNR","NYSE","BitMine Immersion Technologies Inc","Financial","Capital Markets",10423.75,17.28,-4.42%,35578387,37713.35,0.94,9.44%,22.12%,-19.25%,-35.28%,-36.35%,-50.12%,8.37%,-218.15%,51.19%,2167.95%,,8.63%,32.55%,8.33%,6.63%,5.36%,-31.79%
"HUT","NASD","Hut 8 Corp","Financial","Capital Markets",12118.50,107.63,-0.59%,4582560,4691.88,0.98,-2.15%,1.74%,42.03%,74.92%,134.28%,406.97%,11.85%,-47.04%,-52.18%,225.54%,,2.58%,77.51%,11.59%,4.69%,-3.43%,53.67%
"JEF","NYSE","Jefferies Financial Group Inc","Financial","Capital Markets",12588.15,54.60,-0.89%,2670795,2174.89,1.23,-2.26%,6.43%,13.23%,-10.78%,-11.89%,-5.31%,4.12%,25.78%,159.79%,106.83%,24.03%,0.37%,62.27%,3.01%,-0.29%,-1.14%,1.97%
"AAOI","NASD","Applied Optoelectronics Inc","Technology","Communication Equipment",7568.50,94.32,4.67%,9669104,11827.00,0.82,-5.82%,-32.14%,-42.61%,138.36%,170.57%,312.42%,12.41%,497.41%,-2.56%,51.36%,,12.49%,72.05%,13.10%,-11.66%,-34.15%,4.76%
"ASTS","NASD","AST SpaceMobile Inc","Technology","Communication Equipment",22891.59,58.98,0.92%,9690109,22217.15,0.44,4.95%,-31.50%,-20.19%,-51.69%,-18.79%,10.93%,8.26%,-63.15%,-221.95%,1952.23%,,0.40%,42.07%,22.88%,-7.55%,-27.68%,-28.51%
"ANET","NYSE","Arista Networks Inc","Technology","Computer Hardware",227097.20,180.35,5.46%,8464533,9681.11,0.87,3.66%,8.24%,4.42%,21.73%,37.64%,46.36%,5.87%,22.13%,26.22%,35.13%,22.43%,1.60%,72.21%,1.90%,3.52%,8.27%,23.66%
"IONQ","NYSE","IonQ Inc","Technology","Computer Hardware",13601.96,36.44,1.87%,18110171,27360.46,0.66,10.96%,-29.11%,-19.24%,-15.73%,-18.79%,-8.60%,7.82%,82.70%,1570.07%,754.72%,-6.81%,2.33%,55.64%,12.82%,-3.83%,-28.07%,-21.29%
"SMCI","NASD","Super Micro Computer Inc","Technology","Computer Hardware",18371.20,28.40,2.42%,34199930,54976.21,0.62,-5.65%,2.71%,3.65%,-5.71%,-2.97%,-51.84%,7.40%,36.07%,314.07%,122.68%,21.39%,7.83%,62.24%,17.24%,3.18%,-12.31%,-13.35%
"KLAR","NYSE","Klarna Group plc","Financial","Credit Services",7150.04,18.94,-0.32%,2316269,5398.52,0.43,9.10%,-7.34%,36.06%,-21.54%,-34.49%,,4.23%,126.39%,95.07%,44.37%,,0.52%,22.97%,23.00%,0.02%,3.93%,-14.63%
"SOFI","NASD","SoFi Technologies Inc","Financial","Credit Services",20921.51,16.31,-0.97%,56514246,79585.34,0.71,-0.91%,-11.55%,1.30%,-33.05%,-37.70%,-27.77%,5.21%,52.79%,40.36%,39.09%,39.13%,0.95%,56.70%,14.76%,-6.03%,-5.12%,-23.47%
"GH","NASD","Guardant Health Inc","Healthcare","Diagnostics & Research",21479.86,161.99,6.33%,4583666,2629.16,1.74,9.95%,-5.14%,86.02%,46.62%,58.60%,295.29%,5.36%,6.71%,-12.34%,44.33%,67.43%,3.72%,104.44%,8.97%,4.49%,13.99%,50.96%
"BE","NYSE","Bloom Energy Corp","Industrials","Electrical Equipment & Parts",60616.67,205.81,-0.63%,21637712,13643.18,1.59,11.31%,-28.91%,-27.37%,31.50%,136.86%,450.44%,15.13%,244.41%,431.21%,165.52%,116.59%,2.13%,83.23%,6.95%,-7.17%,-21.06%,15.16%
"APH","NYSE","Amphenol Corp","Technology","Electronic Components",197698.68,160.70,0.55%,9275895,9630.13,0.96,5.26%,-6.69%,9.12%,7.43%,18.91%,50.88%,5.26%,56.83%,59.71%,55.00%,29.56%,1.35%,97.43%,1.35%,2.99%,4.40%,13.07%
"RSI","NYSE","Rush Street Interactive Inc","Consumer Cyclical","Gambling",5931.31,26.91,0.56%,4718513,2713.40,1.74,-14.38%,-13.92%,-4.23%,51.35%,38.50%,33.48%,5.35%,67.55%,-18.96%,46.27%,43.11%,4.74%,101.30%,9.48%,-15.66%,-9.55%,19.17%
"CDE","NYSE","Coeur Mining Inc","Basic Materials","Gold",15365.07,14.91,-3.18%,30321366,31752.84,0.95,-1.45%,-9.85%,-17.03%,-39.32%,-16.38%,71.58%,4.95%,82.23%,451.88%,137.76%,33.11%,29.35%,77.60%,5.46%,-3.12%,-10.04%,-20.18%
"SSRM","NASD","SSR Mining Inc","Basic Materials","Gold",5315.92,25.62,-3.97%,2159452,3173.75,0.68,-4.62%,-11.13%,-11.07%,-4.47%,16.88%,114.39%,4.88%,101.93%,-290.68%,83.75%,32.03%,15.74%,72.31%,4.26%,-5.86%,-9.66%,-3.77%
"OSCR","NYSE","Oscar Health Inc","Healthcare","Healthcare Plans",9412.61,31.22,-0.03%,3442305,7021.87,0.49,10.75%,-2.13%,69.12%,109.11%,117.26%,122.21%,6.93%,165.29%,124.38%,52.55%,,1.45%,55.49%,8.02%,3.02%,11.69%,64.95%
"APLD","NASD","Applied Digital Corp","Technology","Information Technology Services",7983.34,27.39,-2.07%,21916436,21550.85,1.02,0.74%,-22.89%,-20.03%,-28.05%,11.70%,108.45%,11.33%,15.93%,-62.41%,580.68%,,8.77%,73.51%,26.94%,-4.61%,-26.77%,-16.11%
"BRO","NYSE","Brown & Brown Inc","Financial","Insurance Brokers",23556.57,70.40,-0.66%,2741723,3221.33,0.85,4.05%,4.51%,17.04%,-2.36%,-11.67%,-22.95%,5.76%,5.23%,7.34%,30.43%,7.34%,3.00%,85.94%,6.57%,2.12%,11.05%,-0.72%
"SM","NYSE","SM Energy Co","Energy","Oil & Gas E&P",7796.63,32.52,2.81%,2501479,3931.65,0.64,-2.02%,26.39%,4.80%,72.34%,73.90%,17.87%,4.13%,27.13%,-206.16%,75.12%,12.11%,90.00%,95.44%,6.39%,6.66%,7.57%,30.32%
"MP","NYSE","MP Materials Corp","Basic Materials","Other Industrial Metals & Mining",7364.77,41.37,-0.70%,7819351,6038.29,1.29,0.17%,-23.78%,-37.36%,-33.45%,-18.11%,-32.73%,7.45%,146.84%,67.61%,118.59%,,4.29%,72.21%,19.61%,-11.04%,-24.28%,-30.13%
"COMP","NYSE","Compass Inc","Real Estate","Real Estate Services",8625.37,11.39,-0.61%,8838851,14101.09,0.63,2.89%,-9.24%,50.46%,-12.59%,7.76%,43.45%,5.81%,270.76%,128.96%,99.38%,,27.43%,84.81%,7.02%,-2.75%,10.81%,17.78%
"AXTI","NASD","AXT Inc","Technology","Semiconductor Equipment & Materials",3953.52,60.43,28.74%,29521000,9552.26,3.09,27.95%,-7.07%,-23.72%,268.93%,269.60%,2805.29%,15.28%,308.78%,208.68%,164.77%,,5.36%,64.95%,17.58%,15.34%,-22.05%,29.27%
"COHU","NASD","Cohu Inc","Technology","Semiconductor Equipment & Materials",2263.94,47.99,3.32%,2612780,1441.04,1.81,-5.35%,-30.56%,1.35%,63.45%,106.23%,168.70%,9.99%,531.82%,99.06%,38.37%,,6.05%,107.21%,17.48%,-6.95%,-14.22%,30.86%
"ALAB","NASD","Astera Labs Inc","Technology","Semiconductors",53347.30,311.23,3.85%,5300244,5815.09,0.91,6.74%,-27.77%,59.82%,93.96%,87.08%,127.62%,10.14%,66.73%,148.21%,93.40%,49.36%,2.69%,71.66%,6.79%,-7.35%,-12.38%,49.93%
"CBRS","NASD","Cerebras Systems Inc","Technology","Semiconductors",55090.47,198.71,-2.15%,3683211,7623.04,0.48,-0.21%,-10.20%,,,-43.23%,,12.78%,,44.27%,94.35%,,47.31%,4.82%,13.02%,2.52%,-6.65%,-9.33%
"TSM","NYSE","Taiwan Semiconductor Manufacturing ADR","Technology","Semiconductors",2096634.54,404.25,0.23%,11905479,14341.42,0.83,0.21%,-9.00%,2.07%,19.05%,33.03%,67.31%,4.28%,58.28%,73.33%,32.92%,37.51%,9.60%,15.15%,0.64%,-2.62%,-4.96%,13.14%
"BRZE","NASD","Braze Inc","Technology","Software - Application",2806.78,24.92,-0.56%,3906141,2825.85,1.38,14.52%,8.68%,13.12%,14.26%,-27.33%,-10.58%,7.01%,66.62%,29.87%,30.20%,47.98%,13.02%,84.75%,14.71%,0.60%,6.50%,1.94%
"BTDR","NASD","Bitdeer Technologies Group","Technology","Software - Application",2559.66,10.52,-5.23%,12154797,10067.14,1.21,-9.00%,-31.87%,-6.82%,-20.66%,-6.16%,-18.39%,12.71%,-49.29%,-138.15%,169.41%,-9.13%,38.14%,46.45%,43.35%,-11.72%,-29.72%,-20.74%
"DDOG","NASD","Datadog Inc","Technology","Software - Application",95386.65,267.97,-0.22%,5170145,5645.30,0.92,8.55%,1.32%,102.72%,109.06%,97.05%,91.43%,5.09%,18.09%,115.46%,32.15%,19.56%,0.28%,81.56%,3.86%,3.57%,9.43%,60.21%
"FIG","NYSE","Figma Inc","Technology","Software - Application",12850.12,24.32,2.36%,24720424,21369.14,1.16,15.15%,24.78%,37.40%,-10.16%,-34.92%,-78.94%,6.17%,-39.30%,-1719.05%,46.12%,0.78%,18.99%,29.27%,33.16%,6.81%,12.97%,-15.73%
"CORZ","NASD","Core Scientific Inc","Technology","Software - Infrastructure",6658.17,20.72,-5.00%,11971670,13769.07,0.87,-8.92%,-12.61%,3.60%,9.98%,42.31%,53.03%,11.40%,-374.26%,-7868.82%,108.83%,,9.68%,118.45%,20.85%,-6.55%,-17.18%,5.11%
"CRWV","NASD","CoreWeave Inc","Technology","Software - Infrastructure",39155.58,71.77,-2.88%,26267069,29023.86,0.91,-0.15%,-16.24%,-35.69%,-27.89%,0.22%,-37.12%,9.67%,-158.29%,-76.43%,111.69%,,9.84%,45.36%,18.96%,-7.86%,-23.45%,-24.31%
