"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"FLY","NASD","Firefly Aerospace Inc","Industrials","Aerospace & Defense",3726.43,22.26,-3.64%,2893392,5747.80,0.50,-14.84%,11.97%,-62.15%,7.54%,-0.49%,-50.23%,6.67%,-33.26%,-2.13%,656.85%,19.62%,23.31%,36.64%,10.64%,-7.53%,-9.32%,-18.97%,-5.48%
"KRMN","NYSE","Karman Holdings Inc","Industrials","Aerospace & Defense",6520.66,49.20,-4.22%,2303998,3539.71,0.65,-17.21%,-2.71%,-18.89%,-41.15%,-32.76%,-7.24%,5.84%,58.33%,106.03%,58.18%,52.47%,11.58%,89.39%,15.29%,-11.36%,-4.54%,-32.21%,-5.57%
"LUNR","NASD","Intuitive Machines Inc","Industrials","Aerospace & Defense",2875.62,16.60,-0.36%,6238953,12893.87,0.48,-14.03%,24.72%,-52.38%,-12.17%,2.28%,87.36%,6.41%,8.81%,-33.24%,309.77%,,12.34%,78.84%,23.58%,3.15%,-2.67%,-15.07%,-1.75%
"PL","NYSE","Planet Labs PBC","Industrials","Aerospace & Defense",7680.47,21.55,-0.09%,4360689,11205.45,0.39,-7.75%,2.62%,-55.40%,-12.79%,9.28%,205.24%,4.72%,-97.12%,-854.63%,42.08%,,4.46%,62.02%,10.25%,-4.69%,-13.50%,-19.22%,-2.58%
"RDW","NYSE","Redwire Corp","Industrials","Aerospace & Defense",2869.92,11.48,0.88%,10764953,30738.84,0.35,-11.28%,30.01%,-47.91%,36.34%,51.05%,28.41%,6.29%,67.32%,86.71%,89.56%,59.63%,7.00%,59.52%,16.17%,-1.70%,3.06%,10.50%,0.00%
"RKLB","NASD","Rocket Lab Corp","Industrials","Aerospace & Defense",40035.63,66.91,-2.01%,14895918,23447.29,0.64,-15.47%,-0.04%,-53.28%,-4.37%,-4.09%,41.70%,4.97%,25.79%,39.33%,61.99%,,4.64%,54.66%,7.78%,-9.94%,-16.79%,-15.13%,-4.30%
"BMNR","NYSE","BitMine Immersion Technologies Inc","Financial","Capital Markets",14972.07,24.82,2.82%,60997303,37891.97,1.61,35.78%,38.50%,29.27%,27.67%,-8.58%,-49.96%,7.44%,,51.19%,2167.95%,,8.92%,41.35%,7.13%,29.24%,46.19%,8.70%,4.29%
"FUTU","NASD","Futu Holdings Ltd ADR","Financial","Capital Markets",12029.07,125.63,8.48%,3003615,2383.17,1.26,15.70%,20.49%,16.65%,-12.74%,-23.49%,-35.49%,6.45%,-5.27%,43.54%,35.05%,12.04%,4.51%,43.01%,6.20%,15.03%,22.44%,-10.07%,6.47%
"HOOD","NASD","Robinhood Markets Inc","Financial","Capital Markets",100778.13,112.09,8.17%,24551777,26400.45,0.93,22.46%,17.19%,51.29%,52.73%,-0.89%,3.84%,7.34%,1.94%,44.87%,34.50%,18.32%,5.90%,67.58%,4.36%,17.69%,11.07%,17.05%,8.61%
"HUT","NASD","Hut 8 Corp","Financial","Capital Markets",10538.68,85.50,7.47%,3468151,4559.18,0.76,5.83%,-18.25%,-24.03%,44.45%,86.11%,264.61%,10.43%,-119.47%,-207.87%,81.44%,,0.26%,79.06%,11.13%,-5.44%,-15.85%,16.44%,6.71%
