"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"FLY","NASD","Firefly Aerospace Inc","Industrials","Aerospace & Defense",3865.37,23.09,5.43%,2631950,3496.79,0.75,6.31%,3.73%,-6.18%,-16.13%,3.22%,-43.07%,6.80%,-41.05%,-2.13%,656.85%,22.04%,19.58%,36.70%,10.47%,6.97%,3.60%,-16.84%,6.90%
"KRMN","NYSE","Karman Holdings Inc","Industrials","Aerospace & Defense",4628.08,34.92,5.66%,4720132,3430.48,1.38,-0.94%,-29.02%,-24.53%,-64.94%,-52.28%,-47.81%,6.93%,58.60%,106.03%,58.18%,54.53%,12.54%,89.47%,12.27%,-7.85%,-25.59%,-49.97%,6.82%
"LUNR","NASD","Intuitive Machines Inc","Industrials","Aerospace & Defense",3594.10,15.70,3.02%,8027096,9380.40,0.86,6.15%,-5.42%,-16.04%,-23.60%,-3.27%,57.16%,7.92%,12.50%,-33.24%,309.77%,,12.81%,78.81%,23.26%,5.08%,3.48%,-22.01%,4.01%
"PL","NYSE","Planet Labs PBC","Industrials","Aerospace & Defense",6411.00,17.62,7.57%,15482529,9389.58,1.65,3.71%,-18.24%,-33.53%,-50.18%,-10.65%,47.69%,4.91%,-33.25%,65.01%,58.14%,,4.34%,60.89%,10.27%,-0.60%,-14.01%,-35.45%,7.97%
"RDW","NYSE","Redwire Corp","Industrials","Aerospace & Defense",2899.92,11.60,2.93%,14302920,16316.59,0.88,0.43%,1.05%,7.41%,26.64%,52.63%,24.06%,6.40%,67.06%,86.71%,89.56%,62.87%,7.23%,58.29%,17.20%,6.28%,6.93%,6.00%,3.85%
"RKLB","NASD","Rocket Lab Corp","Industrials","Aerospace & Defense",44052.63,73.61,4.69%,25029796,20085.07,1.25,8.54%,10.01%,-8.77%,1.00%,5.52%,51.18%,5.59%,25.20%,39.33%,61.99%,,4.89%,54.87%,7.70%,12.26%,6.14%,-9.10%,5.50%
"BMNR","NYSE","BitMine Immersion Technologies Inc","Financial","Capital Markets",16908.44,28.03,2.08%,32884999,39985.33,0.82,17.33%,12.93%,110.44%,31.97%,3.24%,-46.01%,5.13%,-263.44%,51.19%,2167.95%,,8.66%,41.38%,6.94%,10.93%,31.60%,27.61%,3.03%
"HOOD","NASD","Robinhood Markets Inc","Financial","Capital Markets",108627.12,120.82,-1.53%,14741882,22177.11,0.66,10.03%,7.79%,29.26%,66.56%,6.83%,-4.72%,4.70%,5.00%,44.87%,34.50%,20.72%,6.57%,67.67%,4.67%,5.77%,16.20%,27.56%,1.10%
"HUT","NASD","Hut 8 Corp","Financial","Capital Markets",12515.76,101.54,-0.90%,2455995,4768.51,0.52,11.59%,18.76%,-13.72%,82.56%,121.03%,168.20%,8.22%,-118.20%,-207.87%,81.44%,31.08%,0.47%,79.06%,13.24%,10.28%,8.68%,28.83%,1.72%
"ASTS","NASD","AST SpaceMobile Inc","Technology","Communication Equipment",23762.57,61.06,1.80%,8734225,13323.97,0.66,-2.63%,-1.53%,-6.95%,-36.44%,-15.93%,12.04%,6.43%,-135.80%,-88.00%,2626.64%,,1.61%,48.06%,34.17%,0.47%,-2.55%,-25.16%,3.12%
