"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"ASST","NASD","Strive Inc","Financial","Asset Management",2896.19,30.33,0.80%,17444088,6051.17,2.88,4.48%,88.03%,104.79%,202.69%,105.49%,-64.73%,5.71%,75.60%,-10.31%,-19.20%,62.11%,15.96%,48.23%,23.38%,17.77%,69.60%,101.60%,-4.14%
"BMNR","NYSE","BitMine Immersion Technologies Inc","Financial","Capital Markets",17041.14,28.25,8.70%,51779275,39631.25,1.31,9.67%,30.97%,78.12%,34.91%,4.05%,-53.91%,6.45%,-263.44%,51.19%,2167.95%,,8.66%,41.38%,6.94%,14.15%,37.48%,28.04%,2.50%
"PURR","NASD","Hyperliquid Strategies Inc","Financial","Capital Markets",3223.80,13.55,-3.83%,33828130,16933.21,2.00,14.35%,34.42%,47.28%,160.58%,280.62%,,9.18%,-85.25%,43889.58%,,,66.03%,47.10%,13.71%,12.95%,50.00%,106.56%,-7.51%
"USDE","NASD","StableCoinX Inc","Financial","Capital Markets",342.56,12.60,23.65%,10529427,5324.52,1.98,69.35%,215.00%,24.75%,15.60%,6.78%,-5.62%,22.38%,,-2093.88%,,,8.31%,1.53%,5.91%,64.07%,182.99%,29.57%,-3.45%
"DELL","NYSE","Dell Technologies Inc","Technology","Computer Hardware",365789.43,575.31,1.28%,7600933,7774.46,0.98,7.68%,32.32%,37.40%,264.88%,357.03%,336.04%,4.82%,151.39%,273.59%,56.72%,50.73%,-5.20%,38.84%,4.94%,12.73%,23.58%,109.45%,-1.95%
"BE","NYSE","Bloom Energy Corp","Industrials","Electrical Equipment & Parts",80373.57,272.89,2.73%,14494220,16217.87,0.89,6.16%,34.77%,-21.10%,81.78%,214.06%,221.31%,5.45%,255.11%,431.21%,165.52%,118.74%,1.76%,85.14%,6.94%,11.83%,20.75%,36.66%,1.07%
"SDGR","NASD","Schrodinger Inc","Healthcare","Health Information Services",2262.12,30.24,4.20%,2886523,1414.75,2.04,45.73%,54.44%,98.56%,151.58%,69.13%,55.48%,13.64%,-13.66%,113.42%,7.54%,13.73%,-1.18%,84.30%,17.52%,39.09%,61.61%,96.07%,2.75%
"ODD","NASD","ODDITY Tech Ltd","Consumer Defensive","Household & Personal Products",843.62,18.29,0.99%,925695,1307.46,0.71,-2.82%,46.20%,48.58%,36.80%,-54.48%,-70.74%,6.87%,-78.98%,-69.86%,-25.14%,-12.67%,3.16%,75.30%,24.32%,15.40%,20.63%,-10.64%,-0.33%
"CVI","NYSE","CVR Energy Inc","Energy","Oil & Gas Refining & Marketing",5343.20,53.15,-1.01%,1204766,1060.67,1.14,9.29%,48.34%,90.50%,57.16%,108.92%,55.14%,5.99%,193.12%,97.37%,55.48%,,1.95%,32.53%,18.25%,15.53%,35.99%,69.04%,-0.08%
"MXL","NASD","MaxLinear Inc","Technology","Semiconductors",7797.80,85.98,5.99%,4003048,3265.34,1.23,32.71%,31.71%,-10.85%,419.20%,393.29%,431.07%,7.18%,464.52%,105.90%,55.17%,120.20%,-1.99%,82.83%,5.27%,28.09%,20.54%,70.80%,2.93%
"SMTC","NASD","Semtech Corp","Technology","Semiconductors",16553.17,177.37,-4.12%,4651715,3208.68,1.45,20.62%,42.03%,1.51%,140.99%,140.70%,191.39%,6.72%,103.18%,608.78%,32.72%,67.94%,-2.82%,102.46%,8.14%,18.08%,28.84%,57.95%,-6.79%
"SWKS","NASD","Skyworks Solutions Inc","Technology","Semiconductors",13352.95,88.74,-0.02%,4380245,6450.56,0.68,11.96%,30.62%,16.49%,63.01%,39.95%,12.40%,8.37%,-15.00%,-67.95%,-3.13%,-0.69%,10.38%,123.83%,23.06%,15.86%,28.26%,36.68%,-1.03%
"MSTR","NASD","Strategy Inc","Technology","Software - Application",64742.00,168.50,9.47%,41442723,23769.82,1.74,23.05%,49.92%,53.94%,24.21%,10.89%,-51.12%,7.05%,-54.01%,-175.02%,6.88%,,1.58%,56.72%,8.97%,25.65%,50.05%,23.01%,2.38%
"SECZ","NYSE","Securitize Corp","Technology","Software - Application",2204.09,13.50,24.31%,6843098,2048.82,3.34,64.43%,110.94%,26.88%,24.20%,19.89%,28.21%,13.32%,-533.63%,-5304.17%,,115.68%,5.17%,5.74%,2.18%,72.18%,84.12%,29.71%,15.68%
"BLSH","NYSE","Bullish","Technology","Software - Infrastructure",6033.13,40.14,4.69%,2409326,1587.90,1.52,6.70%,41.14%,59.98%,5.72%,5.99%,-41.98%,9.19%,46.77%,-292.45%,65.78%,53.75%,4.43%,39.49%,22.81%,16.09%,41.40%,18.67%,0.27%
"CRWD","NASD","Crowdstrike Holdings Inc","Technology","Software - Infrastructure",255318.15,249.35,4.92%,13270407,10157.25,1.31,5.94%,31.00%,47.67%,143.86%,112.77%,98.47%,6.53%,34.36%,106.56%,25.83%,30.36%,3.13%,77.30%,2.46%,14.00%,19.69%,68.97%,7.65%
"OKTA","NASD","Okta Inc","Technology","Software - Infrastructure",33448.46,191.33,4.91%,3546425,3409.10,1.04,2.62%,42.61%,65.03%,144.01%,121.27%,104.92%,5.93%,12.24%,75.23%,10.58%,11.81%,-1.75%,94.31%,4.63%,13.03%,24.26%,79.02%,4.04%
