"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"SPCX","NASD","Space Exploration Technologies Corp","Industrials","Aerospace & Defense",2032131.99,149.74,6.42%,120750687,112836.14,1.07,6.30%,38.30%,,,-0.17%,,3.18%,,,,,-0.01%,10.37%,9.39%,6.80%,10.04%,5.89%,5.93%
"ANF","NYSE","Abercrombie & Fitch Co","Consumer Cyclical","Apparel Retail",6377.73,143.54,5.08%,1471293,1509.40,0.97,-1.52%,31.15%,84.83%,62.38%,14.04%,55.26%,4.54%,29.91%,43.20%,4.81%,11.94%,4.70%,108.93%,9.30%,17.97%,35.12%,48.49%,4.24%
"ASST","NASD","Strive Inc","Financial","Asset Management",2405.31,26.82,10.28%,17040239,5147.56,3.31,16.00%,115.42%,78.56%,189.95%,81.71%,-79.40%,10.07%,75.60%,-10.31%,-19.20%,62.11%,17.05%,51.40%,23.12%,50.36%,86.38%,82.67%,4.66%
"DXYZ","NYSE","Destiny Tech100 Inc","Financial","Asset Management",982.66,32.25,-1.38%,709833,2317.96,0.31,-8.90%,35.11%,-25.88%,18.65%,5.29%,19.71%,5.88%,,1407.36%,106.53%,,,23.34%,0.72%,-0.26%,15.66%,3.34%,-2.01%
"BMNR","NYSE","BitMine Immersion Technologies Inc","Financial","Capital Markets",15955.34,26.45,14.70%,66445790,38855.44,1.71,3.20%,43.52%,47.85%,29.98%,-2.58%,-41.04%,6.52%,-263.41%,51.19%,2167.95%,,8.97%,41.38%,8.03%,22.33%,45.12%,18.36%,10.85%
"CRCL","NYSE","Circle Internet Group Inc","Financial","Capital Markets",26207.61,103.23,16.46%,24508487,13783.72,1.78,9.54%,63.13%,14.02%,-2.37%,30.18%,-12.86%,7.30%,336.77%,108.51%,6.57%,,6.37%,44.89%,12.79%,25.31%,43.74%,21.48%,12.12%
"GLXY","NASD","Galaxy Digital Inc","Financial","Capital Markets",10358.56,26.50,10.14%,8202074,7160.40,1.15,4.78%,39.00%,-6.72%,16.59%,18.52%,8.65%,7.19%,-22.18%,-191.71%,-73.19%,,3.57%,77.66%,14.61%,16.69%,13.54%,5.74%,7.72%
"PURR","NASD","Hyperliquid Strategies Inc","Financial","Capital Markets",2526.38,12.77,12.81%,35459190,15787.21,2.25,-0.47%,87.24%,34.56%,162.22%,258.71%,,13.14%,-93.61%,43889.58%,,,65.87%,56.99%,13.76%,33.83%,56.80%,104.84%,9.61%
"METC","NASD","Ramaco Resources Inc","Basic Materials","Coking Coal",713.83,12.35,-14.30%,3333361,1878.77,1.77,-11.21%,33.66%,-27.61%,-16.55%,-31.39%,-48.90%,7.71%,3.84%,8.51%,-5.33%,,-7.35%,61.13%,33.16%,1.42%,5.12%,-18.63%,-13.33%
"QMCO","NASD","Quantum Corp","Technology","Computer Hardware",957.66,24.30,6.67%,792973,1622.36,0.49,3.14%,109.84%,53.99%,376.47%,276.74%,237.03%,8.67%,117.29%,-277.09%,25.69%,,12.84%,36.71%,8.15%,11.09%,58.92%,153.10%,6.53%
"AMLX","NASD","Amylyx Pharmaceuticals Inc","Healthcare","Drug Manufacturers - Specialty & Generic",4262.43,33.96,-1.54%,1369119,2469.48,0.55,-8.66%,55.42%,137.32%,140.85%,181.13%,245.12%,5.68%,1.51%,16.00%,,44.87%,0.22%,85.63%,12.64%,7.70%,42.13%,102.53%,-1.54%
"TRLV","NYSE","Trulieve Cannabis Corp","Healthcare","Drug Manufacturers - Specialty & Generic",2308.86,11.99,2.57%,2077028,1328.69,1.56,8.70%,42.06%,20.02%,95.60%,37.97%,59.87%,6.73%,-198.69%,-2821.78%,-10.31%,,25.01%,17.73%,0.82%,14.32%,26.51%,48.86%,0.84%
"AUGO","NASD","Aura Minerals Inc","Basic Materials","Gold",7382.67,88.11,4.15%,663807,1019.92,0.65,-1.13%,33.99%,31.78%,7.78%,74.77%,184.23%,5.92%,185.49%,2271.56%,76.42%,66.55%,17.37%,33.74%,15.36%,7.14%,29.69%,29.01%,0.10%
"HTFL","NASD","Heartflow Inc","Healthcare","Health Information Services",4322.46,49.71,-0.58%,1290338,1814.89,0.71,3.35%,82.96%,72.54%,99.96%,70.53%,58.92%,4.75%,74.31%,-65.19%,47.57%,,33.35%,82.69%,10.51%,14.89%,47.77%,66.71%,-1.82%
"TEM","NASD","Tempus AI Inc","Healthcare","Health Information Services",11666.91,64.66,4.39%,4891812,6636.36,0.74,-8.53%,38.46%,23.73%,21.89%,9.50%,-15.24%,8.59%,65.93%,112.51%,21.56%,,4.54%,55.87%,27.75%,6.40%,16.52%,14.61%,2.63%
"TXG","NASD","10x Genomics Inc","Healthcare","Health Information Services",8237.01,63.22,2.55%,2172267,3206.21,0.68,-2.51%,33.21%,88.72%,192.14%,287.61%,373.91%,5.82%,-112.61%,-149.75%,-12.65%,-6.20%,3.28%,98.19%,13.74%,4.29%,25.60%,120.25%,1.40%
"LIFE","NASD","Ethos Technologies Inc","Financial","Insurance Brokers",2404.34,37.71,2.47%,722035,937.50,0.77,-4.39%,36.04%,119.50%,180.37%,98.47%,,6.12%,-272.23%,4.25%,113.35%,-4.21%,-2.76%,16.76%,9.24%,6.54%,43.46%,98.63%,0.61%
"AVAH","NASD","Aveanna Healthcare Holdings Inc","Healthcare","Medical Care Facilities",2977.49,13.64,3.33%,2284839,2666.81,0.86,-1.30%,46.20%,105.73%,87.88%,66.95%,63.55%,3.93%,36.04%,39.56%,13.73%,18.94%,6.69%,43.02%,4.62%,10.45%,28.89%,62.51%,3.18%
"BBNX","NASD","Beta Bionics Inc","Healthcare","Medical Devices",896.19,19.92,2.60%,1374776,1148.30,1.20,1.94%,43.21%,43.41%,79.30%,-34.62%,1.22%,4.50%,-17.96%,-35.38%,37.76%,2.41%,-5.68%,97.20%,20.07%,6.51%,16.51%,18.72%,0.10%
"CVI","NYSE","CVR Energy Inc","Energy","Oil & Gas Refining & Marketing",4381.12,43.58,1.54%,989535,1006.32,0.98,9.61%,39.68%,29.13%,60.93%,71.31%,41.08%,5.29%,131.06%,97.37%,55.48%,,1.94%,32.53%,20.13%,15.09%,26.65%,42.38%,2.66%
"ALM","NASD","Almonty Industries Inc","Basic Materials","Other Industrial Metals & Mining",5146.49,17.84,0.85%,6014797,6520.02,0.92,-5.56%,34.03%,-13.73%,-7.56%,102.50%,323.75%,6.89%,212.78%,235.56%,497.89%,,16.05%,47.18%,11.47%,7.42%,17.17%,19.75%,-0.72%
"AMPL","NASD","Amplitude Inc","Technology","Software - Application",1692.61,13.55,1.96%,1316272,2267.91,0.58,-5.11%,35.36%,74.84%,72.17%,17.01%,21.42%,4.97%,22.42%,-42.49%,21.16%,64.69%,-2.71%,62.61%,9.24%,3.57%,27.81%,53.02%,0.07%
"BULL","NASD","Webull Corp","Technology","Software - Application",5297.64,10.00,11.11%,32634765,12779.35,2.55,4.49%,35.50%,63.93%,74.52%,28.70%,-23.14%,5.13%,-2.61%,103.73%,51.21%,28.14%,5.45%,35.37%,8.83%,16.98%,28.10%,39.59%,8.70%
"ESTC","NYSE","Elastic N.V","Technology","Software - Application",10092.81,96.13,7.31%,3876916,2242.93,1.73,14.80%,37.88%,47.69%,81.31%,27.43%,11.40%,6.71%,30.58%,31.14%,15.13%,22.81%,3.49%,87.37%,7.01%,12.60%,35.25%,50.62%,4.49%
"MSTR","NASD","Strategy Inc","Technology","Software - Application",55643.54,144.82,17.56%,44064472,23275.88,1.89,5.40%,47.22%,11.94%,3.58%,-4.69%,-56.15%,6.76%,-66.14%,-175.02%,6.88%,,1.64%,56.71%,8.77%,27.73%,41.49%,3.93%,13.15%
"TEAM","NASD","Atlassian Corp","Technology","Software - Application",49281.06,194.68,4.42%,3353999,4614.42,0.73,4.88%,71.80%,91.80%,135.95%,20.07%,14.06%,5.88%,-6.08%,703.74%,27.60%,13.21%,1.49%,63.92%,7.48%,13.67%,57.49%,78.52%,2.14%
"APPN","NASD","Appian Corp","Technology","Software - Infrastructure",2923.86,40.82,2.33%,635342,868.89,0.73,-1.40%,36.25%,66.14%,51.24%,15.25%,32.66%,5.73%,77.28%,-3759.52%,19.11%,37.33%,-1.42%,50.19%,11.36%,7.06%,34.02%,43.71%,-0.41%
"BLSH","NYSE","Bullish","Technology","Software - Infrastructure",5443.94,36.22,10.97%,2188727,1644.61,1.33,7.93%,51.93%,22.12%,3.43%,-4.36%,-33.25%,4.30%,45.83%,-292.45%,65.78%,53.75%,3.09%,39.49%,22.17%,24.32%,39.75%,6.37%,6.88%
"GTLB","NASD","Gitlab Inc","Technology","Software - Infrastructure",8329.20,49.31,-0.56%,7862842,5281.49,1.49,10.04%,36.37%,59.89%,94.36%,31.39%,5.12%,6.15%,-9.93%,-293.51%,21.31%,9.44%,1.41%,84.91%,10.63%,14.39%,33.87%,56.30%,-1.34%
"PATH","NYSE","UiPath Inc","Technology","Software - Infrastructure",9440.16,18.22,1.28%,59245454,67219.86,0.88,-0.60%,31.84%,56.13%,57.75%,11.17%,67.46%,4.60%,8.82%,203.89%,17.32%,13.65%,9.96%,68.82%,29.27%,9.28%,32.13%,41.42%,-0.98%
"CLMT","NASD","Calumet Inc","Basic Materials","Specialty Chemicals",4702.56,53.50,0.81%,1148316,1112.85,1.03,16.89%,32.89%,43.01%,76.63%,169.25%,219.21%,5.34%,-505.39%,35.75%,40.77%,,-0.03%,52.70%,5.15%,11.02%,23.40%,70.00%,0.56%
