"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"BAC","NYSE","Bank Of America Corp","Financial","Banks - Diversified",440343.42,62.05,1.26%,29035428,35914.05,0.81,1.27%,7.48%,18.26%,18.30%,12.82%,28.23%,1.69%,21.33%,35.65%,-1.14%,15.43%,-2.22%,77.33%,1.37%,3.60%,10.66%,16.51%
"KO","NYSE","Coca-Cola Co","Consumer Defensive","Beverages - Non-Alcoholic",353879.18,82.25,1.33%,11980449,17407.43,0.69,0.85%,2.05%,7.83%,14.44%,17.65%,19.03%,1.36%,8.94%,17.81%,12.75%,7.57%,-0.18%,76.64%,1.12%,-0.57%,1.10%,8.85%
"VZ","NYSE","Verizon Communications Inc","Communication Services","Telecom Services",193662.43,46.38,5.84%,40755284,26995.19,1.51,6.40%,1.53%,-1.78%,17.48%,13.87%,7.66%,2.74%,5.71%,-22.30%,-0.73%,6.06%,-0.10%,69.76%,2.05%,7.09%,2.03%,4.31%
"ABT","NYSE","Abbott Laboratories","Healthcare","Medical Devices",179511.18,103.06,2.29%,10367081,13394.37,0.77,2.36%,13.89%,11.44%,-5.11%,-17.74%,-17.97%,2.12%,7.02%,-48.22%,13.02%,9.31%,-1.84%,81.31%,1.44%,7.60%,12.90%,-5.46%
"T","NYSE","AT&T Inc","Communication Services","Telecom Services",165348.06,24.13,5.10%,80670924,59138.38,1.36,10.64%,7.87%,-9.32%,2.33%,-2.86%,-13.57%,3.61%,10.12%,6.92%,2.30%,11.08%,0.06%,69.63%,1.57%,11.29%,5.33%,-4.43%
"BMY","NYSE","Bristol-Myers Squibb Co","Healthcare","Drug Manufacturers - General",126792.21,62.09,0.94%,12071704,11743.74,1.03,2.22%,12.89%,5.20%,13.01%,15.11%,26.87%,2.15%,3.16%,103.45%,-6.36%,-4.12%,-0.04%,82.55%,2.21%,5.44%,8.08%,12.73%
"CSX","NASD","CSX Corp","Industrials","Railroads",98607.24,53.23,0.80%,14305610,12710.48,1.13,4.89%,15.57%,15.27%,48.77%,46.84%,52.09%,2.09%,24.22%,21.78%,10.10%,15.92%,1.56%,79.07%,2.00%,7.34%,11.78%,30.05%
"SLB","NYSE","SLB Ltd","Energy","Oil & Gas Equipment & Services",78370.92,52.42,11.01%,28901070,14070.97,2.05,11.56%,12.47%,-4.24%,6.29%,36.58%,48.75%,3.16%,-14.22%,-29.95%,5.03%,9.02%,5.63%,92.91%,4.25%,11.36%,1.83%,13.13%
"DLR","NYSE","Digital Realty Trust Inc","Real Estate","REIT - Specialty",73661.59,199.08,11.01%,10764784,2818.81,3.82,14.49%,3.14%,-0.46%,25.44%,28.68%,10.59%,3.65%,-29.21%,-58.82%,28.86%,-4.43%,-0.84%,97.83%,2.37%,11.08%,7.61%,13.33%
"F","NYSE","Ford Motor Co","Consumer Cyclical","Auto Manufacturers",57260.03,14.37,1.55%,76549714,62400.53,1.23,0.98%,3.83%,15.14%,4.81%,9.53%,27.62%,2.64%,53.25%,433.13%,6.38%,23.60%,-1.11%,65.76%,2.47%,2.96%,-0.15%,8.36%
"BKR","NASD","Baker Hughes Co","Energy","Oil & Gas Equipment & Services",56795.93,57.25,2.07%,9878858,8619.81,1.15,2.32%,1.54%,-11.23%,5.12%,25.71%,25.22%,2.89%,-7.95%,132.03%,2.49%,8.37%,-2.05%,96.26%,2.69%,2.08%,-5.11%,1.87%
"PCG","NYSE","PG&E Corp","Utilities","Utilities - Regulated Electric",39309.63,17.85,1.77%,32825248,18599.67,1.76,3.06%,4.26%,6.06%,18.21%,11.08%,28.88%,2.43%,9.76%,40.08%,0.07%,9.51%,-1.24%,98.23%,1.76%,3.16%,5.81%,7.05%
"KVUE","NYSE","Kenvue Inc","Consumer Defensive","Household & Personal Products",37017.77,19.28,2.01%,21434502,20225.65,1.06,1.58%,2.55%,10.23%,8.62%,11.77%,-14.31%,1.30%,10.85%,47.40%,4.49%,7.23%,-2.58%,94.22%,3.21%,0.47%,5.39%,10.53%
"HPQ","NYSE","HP Inc","Technology","Computer Hardware",23548.96,25.75,5.06%,11631497,18515.86,0.63,3.66%,10.56%,27.86%,29.85%,15.57%,0.23%,3.69%,-3.07%,14.55%,11.05%,2.04%,2.88%,94.09%,9.87%,8.28%,7.38%,14.68%
"IP","NYSE","International Paper Co","Consumer Cyclical","Packaging & Containers",22324.44,42.16,11.21%,11975623,6401.21,1.87,12.25%,10.08%,25.70%,0.76%,7.03%,-23.07%,5.53%,1839.35%,159.54%,1.19%,,-6.01%,97.06%,9.92%,11.40%,19.09%,8.86%
"TSCO","NASD","Tractor Supply Co","Consumer Cyclical","Specialty Retail",16268.43,31.02,2.31%,12027915,12865.28,0.93,1.67%,3.19%,-18.73%,-41.91%,-37.97%,-47.72%,3.65%,-5.30%,-14.90%,2.29%,3.11%,-4.99%,94.00%,5.74%,1.38%,1.45%,-31.02%
"JHX","NYSE","James Hardie Industries plc","Basic Materials","Building Materials",15402.14,26.54,2.63%,10245798,7461.84,1.37,2.79%,2.79%,21.19%,8.15%,27.90%,-2.89%,3.75%,13.97%,-51.30%,44.51%,17.84%,-2.40%,49.04%,3.37%,3.84%,11.22%,21.45%
"CNH","NYSE","CNH Industrial NV","Industrials","Farm & Heavy Construction Machinery",13825.45,11.15,4.99%,21155441,12177.87,1.74,4.79%,8.15%,6.19%,0.90%,20.93%,-15.59%,3.59%,-25.29%,-94.65%,-0.10%,21.51%,-1.08%,70.83%,8.73%,4.50%,5.65%,5.12%
"AVTR","NYSE","Avantor Inc","Healthcare","Medical Instruments & Supplies",7810.72,11.44,0.79%,12278649,9741.23,1.26,3.34%,18.06%,47.42%,-6.54%,-0.17%,-18.34%,4.97%,-12.40%,-32.28%,0.00%,0.96%,-2.10%,99.91%,8.46%,7.65%,18.92%,11.72%
"CAG","NYSE","Conagra Brands Inc","Consumer Defensive","Packaged Foods",7068.41,14.77,2.78%,10276868,17936.76,0.57,3.43%,8.52%,2.50%,-15.46%,-14.67%,-23.47%,4.20%,-15.85%,-731.99%,3.61%,-2.99%,3.73%,87.79%,10.39%,4.11%,7.85%,-8.97%
"CLF","NYSE","Cleveland-Cliffs Inc","Basic Materials","Steel",6806.54,11.93,8.85%,69875940,19781.25,3.53,28.56%,12.87%,31.24%,-16.81%,-10.17%,9.35%,6.40%,89.23%,73.98%,5.92%,,2.57%,84.14%,14.81%,22.77%,5.89%,3.60%
"GGB","NYSE","Gerdau SA ADR","Basic Materials","Steel",5978.30,4.81,0.84%,12496263,17943.40,0.70,1.91%,17.60%,11.60%,9.57%,30.35%,55.16%,2.22%,298.24%,54.07%,7.03%,62.91%,-5.32%,25.34%,1.91%,7.92%,6.34%,19.80%
