"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"AAPL","NASD","Apple Inc","Technology","Consumer Electronics",4849207.93,332.27,1.75%,50426686,53675.65,0.94,1.24%,9.93%,12.39%,29.91%,22.22%,44.45%,2.72%,18.40%,29.13%,16.36%,12.71%,0.24%,68.91%,0.96%,4.94%,4.50%,16.61%,1.47%
"TSM","NYSE","Taiwan Semiconductor Manufacturing ADR","Technology","Semiconductors",2246990.54,433.24,1.22%,10479372,12720.18,0.82,3.89%,0.95%,2.89%,28.67%,42.56%,67.33%,2.20%,59.91%,73.31%,32.92%,38.14%,-0.70%,15.06%,0.58%,2.73%,3.41%,15.24%,0.39%
"SPCX","NASD","Space Exploration Technologies Corp","Industrials","Aerospace & Defense",2052081.48,151.21,2.04%,78776906,111727.57,0.71,0.98%,3.46%,,,0.81%,,5.81%,,,,,-0.01%,10.38%,8.84%,5.75%,11.95%,6.44%,0.80%
"AMD","NASD","Advanced Micro Devices Inc","Technology","Semiconductors",842569.32,516.13,2.49%,18791058,25761.89,0.73,13.15%,6.87%,5.67%,161.01%,141.00%,231.55%,4.19%,82.72%,158.80%,50.11%,76.20%,3.65%,75.19%,2.57%,7.07%,3.94%,48.78%,1.06%
"XOM","NYSE","ExxonMobil Holdings Corp","Energy","Oil & Gas Integrated",682536.31,165.99,0.46%,11320039,15512.72,0.73,2.33%,3.91%,13.23%,8.12%,37.93%,48.02%,2.12%,67.21%,112.81%,43.14%,14.00%,-2.09%,68.03%,0.97%,2.25%,6.97%,13.95%,0.56%
"INTC","NASD","Intel Corp","Technology","Semiconductors",544151.71,102.94,2.61%,86731929,112580.51,0.77,12.29%,1.97%,-11.99%,127.49%,178.97%,318.29%,4.65%,257.39%,-223.64%,25.42%,94.22%,1.49%,62.95%,3.35%,8.81%,4.66%,36.28%,0.46%
"DELL","NYSE","Dell Technologies Inc","Technology","Computer Hardware",360690.21,567.29,11.98%,14368998,7516.18,1.91,9.86%,17.09%,44.92%,278.42%,350.66%,352.49%,6.16%,151.27%,273.59%,56.72%,52.09%,-5.11%,38.74%,4.94%,18.34%,26.37%,116.72%,9.50%
"VZ","NYSE","Verizon Communications Inc","Communication Services","Telecom Services",210273.18,50.61,1.28%,15932684,26133.40,0.61,0.04%,7.73%,7.82%,-0.04%,24.26%,14.66%,1.81%,6.00%,-22.30%,-0.73%,6.10%,0.59%,72.03%,1.99%,1.71%,7.85%,10.27%,0.62%
"MRVL","NASD","Marvell Technology Inc","Technology","Semiconductors",207036.11,236.10,4.03%,17135389,32052.99,0.53,13.06%,8.76%,-15.89%,169.31%,177.83%,254.56%,5.59%,47.80%,49.42%,36.55%,53.65%,-3.43%,82.45%,4.38%,3.67%,8.88%,52.50%,0.63%
"QCOM","NASD","Qualcomm Inc","Technology","Semiconductors",191111.07,181.97,2.88%,11534243,14495.29,0.80,7.95%,11.59%,-10.34%,38.75%,6.38%,12.67%,4.59%,-12.35%,-22.80%,-4.03%,2.97%,-2.18%,82.55%,3.23%,9.06%,7.93%,8.25%,2.09%
"HDB","NYSE","HDFC Bank Ltd ADR","Financial","Banks - Regional",119922.55,23.34,6.87%,24733139,9142.42,2.71,0.26%,1.00%,-1.97%,-17.79%,-36.12%,-34.05%,1.53%,10.06%,6.73%,-9.58%,14.26%,-0.12%,13.11%,0.71%,1.32%,-2.70%,-16.78%,4.20%
"HPE","NYSE","Hewlett Packard Enterprise Co","Technology","Communication Equipment",82422.28,62.09,12.44%,38962549,21143.01,1.84,14.05%,5.61%,32.67%,187.72%,158.49%,149.76%,8.78%,95.80%,410.23%,32.37%,37.85%,-2.08%,91.49%,4.18%,13.62%,21.49%,82.57%,10.15%
"BE","NYSE","Bloom Energy Corp","Industrials","Electrical Equipment & Parts",81215.91,275.75,6.68%,13583268,15019.93,0.90,17.07%,16.27%,10.80%,75.45%,217.36%,309.79%,7.48%,255.13%,431.21%,165.52%,118.32%,1.74%,85.13%,6.94%,21.04%,22.17%,41.65%,2.69%
"NOK","NYSE","Nokia Corp ADR","Technology","Communication Equipment",62312.98,11.13,4.80%,86209248,86088.64,1.00,13.92%,7.85%,-21.01%,36.73%,72.02%,140.91%,3.24%,12.69%,-97.48%,8.53%,16.32%,-2.55%,15.23%,1.04%,7.64%,7.55%,14.75%,2.87%
