"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"MSFT","NASD","Microsoft Corp","Technology","Software - Infrastructure",3450799.47,464.72,3.02%,60655323,39851.40,1.52,21.75%,20.93%,13.96%,7.20%,-3.91%,-12.89%,3.08%,13.53%,31.65%,17.75%,17.71%,-1.84%,74.85%,1.26%,17.10%,16.35%,7.18%
"AMZN","NASD","Amazon.com Inc","Consumer Cyclical","Internet Retail",2921415.62,271.58,15.32%,128599074,48188.91,2.67,17.00%,12.36%,2.46%,12.35%,17.66%,16.01%,2.52%,59.43%,242.08%,19.62%,23.64%,0.00%,66.68%,1.09%,11.37%,10.12%,15.56%
"WMT","NASD","Walmart Inc","Consumer Defensive","Discount Stores",884938.38,111.20,0.09%,22765373,22741.32,1.00,1.58%,2.19%,-15.71%,-5.29%,-0.19%,13.49%,2.21%,9.82%,19.56%,7.33%,11.44%,-0.47%,36.34%,1.70%,-0.84%,-3.84%,-5.77%
"CVX","NYSE","Chevron Corp","Energy","Oil & Gas Integrated",392006.19,196.83,2.35%,9899858,9123.19,1.09,1.05%,18.79%,1.82%,14.98%,29.15%,29.80%,1.98%,100.89%,-44.32%,9.25%,19.90%,1.50%,74.19%,1.03%,6.20%,7.70%,12.23%
"BABA","NYSE","Alibaba Group Holding Ltd ADR","Consumer Cyclical","Internet Retail",293040.59,122.25,5.10%,16972373,12541.57,1.35,9.02%,24.76%,-7.30%,-29.84%,-16.60%,1.34%,2.41%,61.08%,114.38%,8.17%,42.13%,-4.93%,10.93%,1.76%,7.80%,7.17%,-13.34%
"WFC","NYSE","Wells Fargo & Co","Financial","Banks - Diversified",261424.73,86.45,1.19%,11315246,16510.64,0.69,0.16%,0.59%,5.13%,-4.62%,-7.24%,7.22%,2.10%,16.03%,25.53%,8.15%,13.52%,-2.21%,78.07%,0.95%,-0.24%,3.61%,1.93%
"VZ","NYSE","Verizon Communications Inc","Communication Services","Telecom Services",195457.92,46.81,1.52%,28276632,27179.04,1.04,0.93%,11.48%,-2.54%,17.58%,14.93%,9.47%,4.12%,6.20%,-22.30%,-0.73%,5.99%,-0.04%,69.72%,2.05%,5.86%,2.95%,4.90%
"ABT","NYSE","Abbott Laboratories","Healthcare","Medical Devices",182901.51,105.70,0.09%,9571720,13180.57,0.73,2.56%,14.67%,16.42%,-0.37%,-15.64%,-16.24%,2.65%,7.09%,-48.22%,13.02%,9.28%,-1.96%,81.94%,1.45%,6.68%,13.29%,-2.45%
"DIS","NYSE","Walt Disney Co","Communication Services","Entertainment",167035.03,96.19,0.03%,11141449,10457.13,1.07,1.41%,0.50%,-7.29%,-13.79%,-15.45%,-19.24%,2.45%,14.63%,-29.76%,7.45%,11.80%,-2.38%,76.95%,1.31%,-0.44%,-2.99%,-8.12%
"PFE","NYSE","Pfizer Inc","Healthcare","Drug Manufacturers - General",142543.10,25.01,0.40%,43529091,41256.53,1.06,1.92%,4.73%,-6.33%,-4.18%,0.44%,7.39%,1.59%,-8.59%,-9.78%,5.37%,-8.85%,1.29%,68.91%,2.88%,1.45%,-0.30%,-3.18%
