"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float"
"AAPL","NASD","Apple Inc","Technology","Consumer Electronics",4894708.56,333.26,1.76%,62654067,54476.07,1.15,5.39%,12.43%,25.08%,27.66%,22.59%,58.57%,2.33%,17.43%,22.04%,16.60%,12.78%,0.00%,67.20%,0.96%
"MSFT","NASD","Microsoft Corp","Technology","Software - Infrastructure",2979545.16,401.10,1.38%,36488330,39683.92,0.92,4.36%,0.34%,-2.46%,-14.78%,-17.06%,-20.67%,2.80%,23.17%,23.32%,18.30%,18.65%,-1.95%,75.95%,1.22%
"XOM","NYSE","ExxonMobil Holdings Corp","Energy","Oil & Gas Integrated",604883.27,145.95,1.00%,13042142,17147.93,0.76,6.18%,3.57%,-2.05%,15.34%,21.28%,30.05%,2.09%,57.42%,-43.57%,7.31%,16.18%,0.30%,69.28%,0.91%
"KO","NYSE","Coca-Cola Co","Consumer Defensive","Beverages - Non-Alcoholic",365366.80,84.92,3.00%,17854786,16854.70,1.06,2.77%,4.96%,12.76%,19.20%,21.47%,22.59%,1.45%,8.97%,17.81%,12.75%,7.52%,-0.05%,77.55%,1.16%
"MRK","NYSE","Merck & Co Inc","Healthcare","Drug Manufacturers - General",315223.69,127.63,3.25%,12401559,10367.43,1.20,2.05%,11.08%,8.25%,17.89%,21.25%,54.83%,2.32%,-68.99%,-185.47%,3.72%,5.78%,-0.49%,82.26%,1.27%
"WFC","NYSE","Wells Fargo & Co","Financial","Banks - Diversified",269510.89,88.07,0.64%,19648988,16688.41,1.18,1.33%,5.93%,9.69%,-5.87%,-5.50%,10.21%,2.74%,15.27%,25.31%,9.70%,13.47%,-2.00%,79.28%,0.94%
"NVO","NYSE","Novo Nordisk ADR","Healthcare","Drug Manufacturers - General",172868.81,51.48,1.82%,9532821,14156.02,0.67,5.32%,17.21%,26.15%,-13.68%,1.18%,-23.21%,2.14%,-9.50%,86.54%,37.63%,-0.87%,-2.79%,9.78%,0.83%
"ABT","NYSE","Abbott Laboratories","Healthcare","Medical Devices",172143.33,98.83,10.71%,31247800,13361.89,2.34,4.69%,11.46%,-2.69%,-20.49%,-21.12%,-24.98%,2.02%,6.38%,-17.14%,7.78%,9.28%,-0.08%,82.50%,1.35%
"CRM","NYSE","Salesforce Inc","Technology","Software - Application",141424.91,172.68,3.40%,11174351,14936.07,0.75,6.26%,4.94%,-2.77%,-28.37%,-34.82%,-33.06%,4.21%,13.06%,52.27%,13.27%,12.72%,-2.33%,94.65%,6.39%
"BTI","NYSE","British American Tobacco Plc ADR","Consumer Defensive","Tobacco",136695.92,63.16,7.54%,9390512,4073.31,2.31,3.76%,3.44%,11.43%,11.55%,11.55%,20.83%,1.44%,0.37%,330.04%,3.85%,5.46%,-5.72%,14.89%,0.29%
