"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"XOM","NYSE","ExxonMobil Holdings Corp","Energy","Oil & Gas Integrated",680768.16,165.56,2.54%,18936539,16055.09,1.18,3.60%,11.59%,3.16%,13.25%,37.58%,55.13%,1.62%,63.73%,112.81%,43.14%,14.50%,-2.45%,65.93%,1.03%,5.49%,11.81%,16.76%,0.74%
"BAC","NYSE","Bank Of America Corp","Financial","Banks - Diversified",449144.26,64.23,0.53%,28137059,34752.74,0.81,0.36%,6.31%,26.71%,21.79%,16.78%,34.04%,1.59%,21.91%,35.31%,0.28%,15.60%,-1.98%,77.99%,1.44%,2.06%,6.98%,18.33%,0.36%
"KO","NYSE","Coca-Cola Co","Consumer Defensive","Beverages - Non-Alcoholic",382152.38,88.82,2.12%,12497377,17644.54,0.71,2.71%,8.16%,9.38%,11.64%,27.05%,28.48%,1.24%,10.18%,16.19%,5.93%,8.21%,-0.81%,76.71%,1.05%,2.79%,6.04%,15.11%,0.48%
"NFLX","NASD","Netflix Inc","Communication Services","Entertainment",323829.59,77.77,2.30%,35847734,42695.63,0.84,3.98%,15.04%,-13.25%,1.00%,-17.05%,-37.54%,2.79%,42.21%,11.06%,13.41%,21.80%,-1.51%,83.29%,2.23%,5.58%,4.19%,-12.49%,0.45%
"BABA","NYSE","Alibaba Group Holding Ltd ADR","Consumer Cyclical","Internet Retail",307158.88,128.15,2.76%,12767831,11617.19,1.10,0.23%,6.49%,-3.83%,-17.55%,-12.57%,5.56%,1.90%,61.76%,114.38%,8.17%,42.10%,-5.34%,10.20%,1.75%,4.58%,12.53%,-7.43%,0.31%
"ABT","NYSE","Abbott Laboratories","Healthcare","Medical Devices",194979.59,112.68,2.09%,9742682,12052.23,0.81,2.70%,10.84%,28.18%,0.37%,-10.06%,-13.50%,2.08%,7.11%,-48.22%,13.02%,9.29%,-0.92%,80.99%,1.32%,5.10%,14.45%,5.10%,0.20%
"PFE","NYSE","Pfizer Inc","Healthcare","Drug Manufacturers - General",155316.10,27.25,1.41%,34626480,41819.61,0.83,2.37%,10.10%,7.58%,-0.44%,9.44%,8.70%,1.88%,-7.63%,-108.60%,2.60%,-8.26%,-0.23%,68.42%,2.84%,5.57%,8.06%,5.05%,0.37%
"BMY","NYSE","Bristol-Myers Squibb Co","Healthcare","Drug Manufacturers - General",134921.31,66.05,2.20%,9413280,12311.94,0.76,3.84%,9.79%,15.25%,9.44%,22.45%,37.06%,1.87%,12.67%,49.96%,6.22%,-2.89%,-0.26%,83.49%,2.57%,3.29%,10.23%,16.23%,1.15%
"CMCSA","NASD","Comcast Corp","Communication Services","Telecom Services",92974.27,26.20,2.46%,26214411,34815.50,0.75,2.14%,10.18%,5.09%,-16.96%,-6.43%,-16.34%,2.19%,-18.63%,-66.90%,-1.23%,-3.25%,-4.43%,90.23%,2.07%,6.46%,9.36%,-2.42%,1.16%
"ET","NYSE","Energy Transfer LP","Energy","Oil & Gas Midstream",73755.47,21.42,2.29%,10267734,9092.49,1.13,3.08%,5.62%,6.09%,15.10%,29.90%,23.53%,1.38%,35.98%,85.28%,78.43%,13.98%,0.64%,30.88%,0.86%,4.41%,7.92%,15.17%,1.52%
"KMI","NYSE","Kinder Morgan Inc","Energy","Oil & Gas Midstream",73194.98,32.87,1.67%,11631403,9906.46,1.17,4.42%,0.89%,-2.69%,2.30%,19.57%,25.31%,1.91%,16.91%,21.22%,12.04%,8.54%,0.15%,70.61%,2.34%,3.06%,2.65%,6.90%,0.37%
"WBD","NASD","Warner Bros. Discovery Inc","Communication Services","Entertainment",71504.84,28.48,1.97%,26901219,22343.90,1.20,5.21%,10.13%,5.09%,-0.94%,-1.18%,140.95%,1.45%,-496.42%,-90.84%,-11.07%,,2.40%,79.43%,3.01%,7.34%,7.01%,5.86%,1.75%
"KDP","NASD","Keurig Dr Pepper Inc","Consumer Defensive","Beverages - Non-Alcoholic",41899.83,30.79,1.68%,12571634,14135.37,0.89,5.52%,1.15%,4.62%,5.70%,9.93%,-11.14%,3.05%,11.76%,-89.04%,75.57%,9.87%,5.20%,107.53%,4.92%,1.00%,-1.01%,6.96%,0.29%
"PCG","NYSE","PG&E Corp","Utilities","Utilities - Regulated Electric",39246.23,17.82,1.83%,16106294,20390.55,0.79,3.01%,2.24%,12.43%,-1.11%,10.89%,18.01%,2.79%,10.18%,40.08%,0.07%,9.45%,-0.85%,98.85%,1.51%,1.65%,3.54%,6.26%,0.68%
"HPQ","NYSE","HP Inc","Technology","Computer Hardware",27399.10,29.96,1.90%,9537812,18246.53,0.52,3.06%,23.70%,43.21%,62.03%,34.47%,11.67%,4.64%,-3.05%,14.55%,11.05%,2.02%,-0.23%,93.03%,8.55%,6.18%,17.17%,32.80%,1.08%
"U","NYSE","Unity Software Inc","Technology","Software - Application",20569.76,46.74,2.84%,11826775,9471.61,1.25,6.54%,56.79%,74.40%,154.58%,5.82%,21.91%,3.74%,24.06%,79.32%,23.93%,,5.95%,70.71%,9.58%,24.67%,44.77%,47.30%,2.73%
"TOST","NYSE","Toast Inc","Technology","Software - Infrastructure",20305.95,34.95,1.84%,9278715,11958.78,0.78,0.20%,13.29%,54.37%,26.36%,-1.58%,-17.76%,3.29%,41.77%,97.43%,23.10%,31.35%,12.69%,83.98%,7.10%,5.59%,17.83%,15.70%,1.95%
"FIG","NYSE","Figma Inc","Technology","Software - Application",13863.58,26.01,4.08%,13797660,21917.11,0.63,4.58%,8.28%,6.77%,12.60%,-30.40%,-65.85%,7.22%,-36.54%,-13387.50%,48.25%,2.64%,21.13%,39.18%,27.35%,6.82%,17.90%,-3.85%,3.01%
"PSKY","NASD","Paramount Skydance Corp","Communication Services","Entertainment",11701.89,10.43,1.46%,9503647,9890.59,0.96,11.19%,21.70%,6.21%,-3.69%,-22.16%,-22.74%,4.60%,24.18%,-56.32%,0.93%,37.42%,5.18%,29.43%,9.96%,17.27%,10.82%,-7.84%,0.87%
"UGI","NYSE","UGI Corp","Utilities","Utilities - Regulated Gas",8234.46,38.39,9.40%,13235756,1584.25,8.35,9.19%,4.52%,11.15%,-0.52%,2.56%,10.99%,2.33%,-15.76%,18.36%,-4.45%,1.97%,1.02%,94.65%,5.91%,6.81%,8.15%,5.36%,8.35%
"CCC","NASD","CCC Intelligent Solutions Holdings Inc","Technology","Software - Application",4205.42,7.14,6.73%,29444285,10037.49,2.93,3.93%,14.06%,57.96%,41.67%,-10.19%,-26.54%,4.30%,25.14%,81.12%,9.78%,18.06%,-19.59%,104.17%,9.56%,10.85%,25.29%,14.69%,5.93%
"AMLX","NASD","Amylyx Pharmaceuticals Inc","Healthcare","Drug Manufacturers - Specialty & Generic",3912.07,35.11,63.84%,23872498,1663.63,14.35,48.58%,101.20%,173.02%,148.48%,190.65%,339.42%,5.26%,2.30%,16.00%,,38.72%,4.33%,97.18%,14.17%,61.53%,87.46%,128.61%,17.39%
"FRSH","NASD","Freshworks Inc","Technology","Software - Application",3321.52,12.73,3.24%,9096869,16704.90,0.54,6.35%,15.20%,40.66%,74.62%,3.92%,-4.79%,4.36%,1.37%,301.69%,15.98%,14.53%,-1.42%,68.66%,12.77%,10.18%,20.25%,26.44%,2.00%
"BTE","NYSE","Baytex Energy Corp","Energy","Oil & Gas E&P",3272.26,4.68,2.86%,16071623,18208.62,0.88,6.36%,11.69%,-11.53%,36.05%,44.89%,131.68%,2.54%,139.38%,177.96%,-28.01%,,7.06%,56.01%,3.73%,8.64%,10.50%,19.43%,1.52%
"ATAI","NASD","AtaiBeckley Inc","Healthcare","Biotechnology",2703.60,7.29,0.69%,10493501,11709.32,0.90,1.11%,1.39%,75.66%,91.84%,78.24%,80.00%,0.42%,85.11%,36.07%,137.00%,46.22%,27.31%,35.46%,6.57%,1.14%,24.46%,62.34%,0.55%
"KOS","NYSE","Kosmos Energy Ltd","Energy","Oil & Gas E&P",1631.64,2.74,5.38%,14228820,14332.06,0.99,7.03%,19.13%,-14.64%,73.42%,201.96%,56.57%,4.05%,141.12%,266.54%,54.82%,,15.78%,78.04%,4.61%,7.94%,12.33%,30.52%,1.86%
"PURR","NASD","Hyperliquid Strategies Inc","Financial","Capital Markets",1444.06,7.20,0.70%,9326498,13751.78,0.68,9.59%,2.13%,3.90%,70.62%,102.25%,,3.75%,,,,,35.20%,56.19%,13.80%,9.10%,-4.41%,22.30%,3.30%
"NTWO","NASD","Newbury Street II Acquisition Corp","Financial","Shell Companies",281.35,11.65,8.68%,11202204,2.00,5614.01,8.68%,8.47%,9.70%,10.85%,11.70%,12.67%,0.00%,,-81.55%,,,,75.60%,0.00%,8.45%,9.44%,12.70%,5.72%
"AIXC","NASD","AIxCrypto Holdings Inc","Technology","Software - Infrastructure",26.71,1.32,85.86%,63390745,78.71,805.42,65.52%,90.83%,7.32%,7.32%,-43.59%,-30.53%,14.65%,,79.40%,,,-0.36%,2.82%,1.89%,67.59%,32.46%,-18.07%,53.76%
"IPST","NASD","IP Strategy Holdings Inc","Financial","Capital Markets",11.37,15.76,113.26%,31805416,1710.68,18.59,684.08%,559.41%,110.70%,10.95%,-49.49%,-92.27%,18.29%,,28.41%,56.80%,,4.03%,5.48%,1.43%,401.31%,433.64%,-58.93%,111.26%
"CDTG","NASD","CDT Environmental Technology Investment Holdings Ltd","Industrials","Waste Management",9.94,3.29,17.50%,37291616,479.73,77.73,159.06%,165.32%,-61.80%,-44.94%,-62.29%,-78.03%,38.19%,,-45356.86%,-35.65%,,3.17%,0.97%,0.50%,137.12%,79.99%,-55.05%,11.90%
