"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"STAK","NASD","Stak Inc","Energy","Oil & Gas Equipment & Services",,9.27,602.27%,67077329,4060.01,16.52,382.81%,151.90%,1015.52%,2360.19%,2223.89%,432.76%,201.95%,,,,,8.94%,,,169.42%,169.22%,580.34%
"ADVB","NASD","Advanced Biomed Inc","Healthcare","Diagnostics & Research",31.36,18.98,13.11%,4726493,1715.26,2.76,277.34%,298.74%,193.35%,178.79%,225.22%,75.71%,67.43%,,69.15%,,,-0.01%,0.08%,1.89%,173.29%,249.87%,203.15%
"UTZ","NYSE","Utz Brands Inc","Consumer Defensive","Packaged Foods",2029.87,14.10,0.07%,3978497,3341.76,1.19,95.56%,91.84%,86.26%,34.16%,35.84%,-2.49%,1.07%,-5.42%,-122.40%,2.62%,3.84%,-0.50%,84.70%,12.41%,56.34%,77.75%,54.31%
"PN","NASD","PN Smart Energy Ltd","Technology","Solar",114.21,7.98,-15.47%,1756953,1850.66,0.95,94.16%,115.09%,214.17%,-16.81%,-45.03%,-86.70%,50.26%,,-2920.83%,43.12%,,-32.10%,0.01%,4.49%,72.41%,92.22%,-16.99%
"SAFT","NASD","Safety Insurance Group Inc","Financial","Insurance - Property & Casualty",1515.33,103.20,41.49%,1646311,112.57,14.63,39.20%,40.27%,35.59%,35.79%,32.46%,46.13%,1.73%,-17.96%,-166.82%,4.47%,,1.00%,86.53%,2.15%,34.77%,40.76%,38.35%
"NVEC","NASD","NVE Corp","Technology","Semiconductors",568.61,117.55,-12.41%,512575,220.51,2.32,36.20%,28.93%,50.11%,53.24%,98.13%,84.42%,12.38%,,78.57%,80.75%,,-0.98%,87.13%,10.04%,22.40%,19.29%,52.82%
"OTLY","NASD","Oatly Group AB ADR","Consumer Defensive","Packaged Foods",426.64,13.37,6.45%,366035,115.51,3.17,33.17%,56.56%,5.28%,21.44%,25.07%,-11.28%,14.76%,43.75%,47.05%,14.13%,31.93%,5.34%,5.09%,2.34%,32.78%,41.17%,17.53%
"CIFR","NASD","Cipher Digital Inc","Technology","Information Technology Services",9469.49,23.15,-10.34%,21181657,25672.19,0.83,31.83%,-11.71%,23.86%,33.12%,56.84%,248.12%,12.77%,57.79%,-161.05%,-28.84%,,0.67%,61.66%,16.73%,5.34%,0.12%,24.72%
"JEM","NASD","707 Cayman Holdings Ltd","Consumer Cyclical","Apparel Retail",,6.35,33.97%,15751000,850.44,18.52,31.74%,-80.03%,-58.66%,-89.44%,-85.03%,-99.30%,22.63%,,,,,,,,-52.85%,-66.16%,-82.94%
"CLF","NYSE","Cleveland-Cliffs Inc","Basic Materials","Steel",6806.54,11.93,8.85%,69875940,19781.25,3.53,28.56%,12.87%,31.24%,-16.81%,-10.17%,9.35%,6.40%,89.23%,73.98%,5.92%,,2.57%,84.14%,14.81%,22.77%,5.89%,3.60%
"OII","NYSE","Oceaneering International Inc","Energy","Oil & Gas Equipment & Services",5248.20,52.73,9.81%,3959844,1062.49,3.73,24.72%,45.30%,38.73%,85.41%,119.43%,120.17%,6.69%,-5.31%,20.20%,10.03%,9.86%,2.83%,103.86%,6.69%,24.42%,32.34%,62.61%
"SMCI","NASD","Super Micro Computer Inc","Technology","Computer Hardware",19470.88,30.10,-3.53%,49701580,53947.91,0.92,24.48%,-7.24%,12.52%,-7.24%,2.84%,-42.69%,7.29%,36.07%,314.07%,122.68%,21.39%,8.15%,62.29%,17.24%,8.78%,-8.05%,-10.07%
"RIOT","NASD","Riot Platforms Inc","Financial","Capital Markets",8519.75,22.53,-5.57%,14526487,17477.72,0.83,23.38%,-17.83%,23.72%,31.91%,77.82%,53.37%,8.90%,-3.93%,-60.07%,3.61%,37.28%,6.33%,78.94%,15.36%,1.01%,-8.52%,21.41%
"FRMI","NASD","Fermi Inc","Real Estate","REIT - Specialty",4718.05,7.40,17.09%,40531276,17862.59,2.27,22.31%,-7.38%,25.00%,-19.57%,-7.50%,,9.66%,105.64%,,,,37.27%,11.70%,14.92%,1.45%,4.34%,-31.99%
"HUT","NASD","Hut 8 Corp","Financial","Capital Markets",12384.23,109.99,-6.53%,3679968,4585.95,0.80,20.27%,-5.26%,39.63%,99.55%,139.42%,420.29%,8.18%,-46.57%,-52.18%,225.54%,,1.81%,77.49%,11.59%,4.45%,-1.31%,60.30%
