"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"FCUV","NASD","Focus Universal Inc","Technology","Scientific & Technical Instruments",8.08,11.50,-0.86%,12561465,3491.13,3.60,404.39%,226.70%,135.66%,-60.62%,-64.51%,-88.02%,31.31%,,11.93%,-74.78%,,-2.10%,0.65%,4.48%,233.67%,239.58%,-74.23%,-25.85%
"DFNS","NASD","T3 Defense Inc","Industrials","Aerospace & Defense",62.14,61.50,122.18%,13877100,2840.06,4.89,369.47%,209.63%,3.80%,-80.08%,-87.79%,-90.61%,95.58%,,-105.31%,,,,1.97%,15.36%,211.36%,121.92%,-80.06%,46.74%
"UPC","NASD","Universe Pharmaceuticals INC","Healthcare","Drug Manufacturers - Specialty & Generic",4.10,6.48,105.06%,27640125,1616.25,17.10,87.83%,2.53%,101.87%,46.61%,70.08%,86.21%,8.34%,,70.78%,-1.28%,,-0.55%,4.45%,4.68%,46.47%,60.05%,75.46%,-7.69%
"BHC","NYSE","Bausch Health Companies Inc","Healthcare","Drug Manufacturers - Specialty & Generic",2614.36,7.00,1.60%,9457023,2819.31,3.35,56.25%,42.86%,23.89%,21.95%,0.72%,22.59%,9.68%,16.92%,72.02%,12.73%,-7.05%,-1.42%,67.79%,2.23%,40.07%,38.77%,19.72%,0.00%
"MF","NASD","MindForge Inc","Communication Services","Advertising Agencies",18.40,9.20,0.55%,98917,1298.96,0.08,48.63%,74.24%,-70.56%,-81.60%,-81.60%,-87.48%,26.85%,,-300.92%,-32.59%,,-5.21%,0.04%,3.69%,57.36%,67.11%,-72.60%,6.48%
"WETO","NASD","Wetour Robotics Ltd","Technology","Software - Infrastructure",5.48,6.68,-25.78%,386396,274.11,1.41,48.44%,-91.57%,-86.64%,-89.35%,-92.22%,-96.07%,54.01%,,-305.00%,-44.55%,,13.93%,0.09%,0.10%,-83.15%,-91.06%,-90.98%,-7.22%
"RYOJ","NASD","rYojbaba Co Ltd","Industrials","Consulting Services",64.22,5.56,-1.07%,95814,1170.66,0.08,46.32%,109.81%,111.41%,87.21%,82.30%,,25.42%,,-133.33%,-34.27%,,-62.56%,0.04%,2.86%,30.69%,60.03%,74.77%,-4.30%
"DBGI","NASD","Digital Brands Group Inc","Consumer Cyclical","Apparel Retail",10.46,18.20,17.80%,75351,138.50,0.54,44.90%,-40.48%,-65.79%,-93.75%,-96.41%,-95.62%,45.26%,,-16.03%,-29.69%,,,4.26%,11.32%,-16.90%,-31.35%,-90.43%,10.30%
"AXTI","NASD","AXT Inc","Technology","Semiconductor Equipment & Materials",4492.61,68.67,13.64%,17484995,9870.83,1.77,43.42%,21.28%,-28.47%,270.39%,320.00%,3476.56%,17.63%,308.78%,208.68%,164.77%,,8.07%,64.92%,17.58%,30.42%,-10.59%,45.90%,20.71%
"SPRC","NASD","SciSparc Ltd","Healthcare","Biotechnology",4.10,7.16,0.56%,21490,901.53,0.02,42.91%,49.79%,-9.48%,3.45%,-41.50%,-85.97%,34.30%,,,,,-4.27%,0.55%,1.79%,27.32%,6.12%,-33.60%,9.65%
"SCYX","NASD","Scynexis Inc","Healthcare","Drug Manufacturers - Specialty & Generic",50.34,5.07,4.75%,431616,120.70,3.58,42.02%,14.45%,-36.00%,-10.86%,0.21%,-6.95%,14.57%,-139.22%,-283.29%,-100.00%,-4.98%,4.84%,42.44%,3.64%,18.70%,14.10%,-11.48%,4.11%
"FOSL","NASD","Fossil Group Inc","Consumer Cyclical","Footwear & Accessories",348.10,5.89,18.99%,2719147,897.94,3.03,39.90%,39.24%,36.34%,69.74%,56.65%,270.44%,8.91%,65.26%,95.79%,-3.66%,,11.86%,66.13%,11.54%,36.83%,39.09%,51.41%,18.27%
"EFOR","NYSE","Everforth Inc","Technology","Information Technology Services",1221.80,29.80,4.78%,1685035,1158.36,1.45,38.22%,68.74%,40.70%,-42.79%,-38.14%,-38.68%,8.70%,-20.06%,-48.00%,-1.33%,6.30%,-2.85%,105.28%,10.56%,44.10%,48.28%,-16.90%,2.37%
"REPL","NASD","Replimune Group Inc","Healthcare","Biotechnology",1000.75,11.91,6.34%,11730571,6389.59,1.84,38.01%,2.85%,376.40%,69.42%,22.53%,56.71%,22.01%,28.20%,7.95%,,37.46%,-6.78%,95.28%,30.49%,18.89%,26.89%,51.57%,8.32%
"MKTX","NASD","MarketAxess Holdings Inc","Financial","Capital Markets",5711.11,162.28,-0.01%,1603571,884.03,1.81,37.56%,39.26%,6.16%,-4.11%,-10.47%,-21.89%,2.08%,7.17%,1.17%,-2.62%,9.07%,3.68%,110.36%,6.03%,31.78%,33.31%,2.90%,-0.13%
"VRRM","NASD","Verra Mobility Corp","Technology","Information Technology Services",852.20,5.61,6.05%,8418430,7381.56,1.14,33.89%,30.47%,-62.32%,-70.93%,-74.97%,-77.23%,8.56%,-7.02%,-12.78%,0.14%,-5.65%,-2.30%,102.13%,7.31%,27.55%,13.36%,-63.74%,3.89%
"FATN","NASD","Fatpipe Inc","Technology","Software - Infrastructure",97.34,6.89,13.32%,290788,352.05,0.83,32.25%,15.22%,120.83%,287.08%,241.09%,17.38%,19.48%,28.57%,62.31%,27.84%,48.23%,11.34%,4.02%,1.13%,36.07%,22.88%,108.10%,12.95%
"CPIX","NASD","Cumberland Pharmaceuticals Inc","Healthcare","Drug Manufacturers - Specialty & Generic",107.58,7.18,38.61%,413206,148.40,2.78,31.71%,45.36%,112.37%,146.91%,132.64%,163.04%,8.49%,,-366.87%,-22.04%,,-4.42%,18.60%,4.26%,32.88%,45.91%,118.55%,28.21%
"CDNA","NASD","Caredx Inc","Healthcare","Diagnostics & Research",2475.48,47.85,9.47%,2927131,934.02,3.13,31.60%,63.93%,122.56%,132.85%,153.98%,291.57%,6.68%,102.76%,1412.42%,52.23%,45.85%,-1.52%,97.78%,13.23%,35.24%,65.73%,126.56%,1.34%
"SMTI","NASD","Sanara MedTech Inc","Healthcare","Medical Instruments & Supplies",312.57,34.00,0.41%,340310,123.36,2.76,31.53%,36.88%,72.33%,54.55%,45.61%,40.73%,5.63%,440.00%,112.41%,18.62%,,-13.32%,14.77%,7.75%,27.89%,40.05%,51.53%,0.68%
"PGY","NASD","Pagaya Technologies Ltd","Technology","Software - Infrastructure",1843.82,22.24,15.39%,6794048,3892.13,1.75,31.10%,24.99%,56.14%,14.67%,6.39%,-23.64%,8.94%,82.56%,147.94%,15.08%,52.06%,-10.75%,43.72%,18.80%,26.25%,36.65%,24.00%,12.85%
