"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float"
"ZYBT","NASD","Zhengye Biotechnology Holding Ltd","Healthcare","Drug Manufacturers - Specialty & Generic",238.12,8.01,1047.56%,157477245,102.01,1543.72,1035.85%,933.55%,708.68%,621.62%,596.52%,40.77%,8.37%,,-2195.59%,-40.44%,,-24.93%,0.41%,0.56%
"NXTC","NASD","Nextcure Inc","Healthcare","Biotechnology",21.97,5.40,-9.85%,928051,2052.72,0.45,147.71%,145.45%,-47.70%,-58.04%,-61.95%,8.22%,33.55%,62.41%,60.24%,,39.58%,6.51%,44.21%,5.94%
"ADVB","NASD","Advanced Biomed Inc","Healthcare","Diagnostics & Research",14.70,8.90,76.94%,46703499,168.49,277.18,74.51%,87.37%,85.42%,40.51%,52.50%,-35.21%,7.71%,,69.15%,,,-0.01%,0.08%,2.75%
"CHRN","NASD","ChronoScale Holdings Corp","Technology","Information Technology Services",4195.26,28.89,9.31%,306516,351.11,0.87,46.50%,40.17%,167.25%,237.89%,234.37%,660.26%,18.91%,,-19.33%,-36.56%,,1.66%,0.62%,0.60%
"SDOT","NASD","Sadot Group Inc","Consumer Defensive","Farm Products",19.46,26.14,3.32%,6606916,3665.45,1.80,45.06%,52.15%,-16.75%,-53.82%,8.02%,-90.73%,35.61%,,-250.07%,-100.00%,,0.12%,0.63%,13.51%
"ATAI","NASD","AtaiBeckley Inc","Healthcare","Biotechnology",2659.97,7.19,-0.42%,22281830,10949.86,2.03,44.67%,76.66%,78.41%,93.80%,75.79%,122.60%,7.13%,85.46%,44.43%,-38.65%,46.33%,15.65%,26.40%,10.29%
"MAAS","NASD","Maase Inc","Financial","Asset Management",7808.69,17.93,-9.26%,72420,234.03,0.31,35.42%,-0.06%,82.22%,240.87%,232.04%,410.83%,21.51%,,99.85%,-99.73%,,118.17%,0.00%,0.18%
"CDNA","NASD","Caredx Inc","Healthcare","Diagnostics & Research",1982.17,38.37,-3.42%,1183638,878.02,1.35,33.41%,63.42%,79.13%,86.53%,103.66%,222.03%,6.34%,61.04%,128.24%,38.99%,38.15%,-0.53%,95.73%,17.85%
"EUDA","NASD","Euda Health Holdings Limited","Real Estate","Real Estate Services",33.98,13.62,20.53%,3049,123.56,0.02,31.59%,-17.40%,158.94%,-62.79%,-70.52%,-78.42%,3.99%,,-563.66%,,,-49.88%,0.04%,0.25%
"MAN","NYSE","ManpowerGroup","Industrials","Staffing & Employment Services",2470.00,53.11,1.47%,1750429,1193.44,1.47,30.75%,54.88%,70.61%,71.49%,78.64%,22.80%,7.76%,22.11%,178.22%,7.54%,30.24%,-3.53%,115.04%,14.77%
"RCEL","NASD","AVITA Medical Inc","Healthcare","Medical Devices",127.68,5.14,0.78%,371322,298.05,1.25,30.13%,30.46%,0.00%,48.55%,48.99%,-0.58%,12.34%,39.67%,34.19%,3.98%,69.23%,2.75%,21.12%,10.59%
"ANL","NASD","Adlai Nortye Ltd ADR","Healthcare","Biotechnology",411.39,11.98,3.90%,392486,245.79,1.60,29.65%,16.76%,-25.17%,613.10%,743.66%,698.67%,12.76%,19.82%,,,-6.54%,12.10%,24.24%,10.72%
"LCID","NASD","Lucid Group Inc","Consumer Cyclical","Auto Manufacturers",2774.73,7.11,-3.40%,21015128,20734.17,1.01,29.04%,38.33%,-2.60%,-29.25%,-32.73%,-76.61%,43.90%,12.59%,-43.50%,20.17%,29.16%,0.11%,16.51%,36.92%
"ARMP","AMEX","Armata Pharmaceuticals Inc","Healthcare","Biotechnology",185.76,5.06,12.20%,535891,132.14,4.06,27.46%,-28.33%,-56.00%,-20.69%,-19.43%,110.83%,12.56%,20.73%,-1649.31%,60.69%,40.13%,8.16%,10.70%,3.82%
"XNCR","NASD","Xencor Inc","Healthcare","Biotechnology",1394.60,18.81,7.67%,2862259,830.20,3.45,25.74%,47.18%,44.03%,42.39%,22.86%,109.70%,7.83%,-213.22%,-160.68%,-86.20%,,-3.63%,110.00%,16.49%
"COAG","NASD","Hemab Therapeutics Holdings Inc","Healthcare","Biotechnology",2306.78,49.39,0.20%,568920,350.38,1.62,25.01%,86.73%,,,82.93%,,11.61%,95.85%,,,63.92%,0.36%,32.90%,5.16%
"NUAI","NASD","New Era Energy & Digital Inc","Technology","Software - Infrastructure",521.65,5.15,26.38%,16640881,7594.83,2.19,25.00%,-10.12%,11.71%,13.19%,75.77%,934.14%,10.34%,58.65%,32.44%,145.78%,15.84%,8.19%,14.02%,21.62%
"DSGR","NASD","Distribution Solutions Group Inc","Industrials","Industrial Distribution",1537.24,34.50,0.00%,285656,109.14,2.62,24.41%,25.96%,26.05%,15.00%,25.96%,20.84%,1.46%,338.89%,-88.23%,3.76%,,-0.58%,14.19%,6.03%
"IOVA","NASD","Iovance Biotherapeutics Inc","Healthcare","Biotechnology",2241.44,5.02,0.40%,16331435,15175.80,1.08,24.26%,27.74%,30.05%,126.13%,83.88%,125.11%,12.36%,49.70%,47.50%,44.82%,,1.31%,54.52%,25.92%
"AGPU","NASD","Axe Compute Inc","Technology","Software - Infrastructure",99.16,8.71,26.78%,809987,1746.51,0.46,24.25%,39.81%,147.44%,23.02%,21.82%,-26.50%,6.41%,,93.37%,-67.99%,,10.88%,2.99%,4.14%
"FEIM","NASD","Frequency Electronics Inc","Technology","Communication Equipment",656.65,66.72,1.24%,357270,213.75,1.67,22.42%,-4.98%,16.85%,14.98%,23.92%,210.76%,12.29%,1270.37%,-245.43%,-22.96%,,5.95%,73.33%,8.75%
"FGNX","NASD","FG Nexus Inc","Financial","Asset Management",35.57,6.20,2.14%,90042,124.30,0.72,22.05%,4.20%,-6.34%,-59.48%,-54.91%,-93.26%,12.84%,1.75%,85.36%,-341.60%,,7.42%,30.52%,6.71%
