"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"DFNS","NASD","T3 Defense Inc","Industrials","Aerospace & Defense",50.74,50.22,109.25%,19949112,2317.49,8.61,968.51%,131.70%,-16.13%,-84.06%,-90.03%,-94.61%,71.61%,,-105.31%,,,,1.95%,15.36%,257.90%,85.68%,-84.60%
"BIYA","NASD","Baiya International Group Inc","Technology","Software - Application",36.73,5.83,-9.47%,2896496,5326.24,0.54,94.98%,106.74%,-61.90%,-85.39%,-84.94%,-96.95%,49.10%,,-1798.14%,53.15%,,,0.00%,3.37%,39.24%,-6.98%,-82.97%
"SPRC","NASD","SciSparc Ltd","Healthcare","Biotechnology",5.22,9.09,70.54%,7826868,776.22,10.08,87.81%,62.03%,8.99%,14.76%,-25.74%,-84.90%,14.73%,,,,,-3.89%,0.55%,1.79%,74.59%,38.82%,-18.55%
"JEM","NASD","707 Cayman Holdings Ltd","Consumer Cyclical","Apparel Retail",,5.41,-8.31%,175376,1119.42,0.16,53.26%,-58.26%,-63.93%,-88.18%,-87.25%,-99.46%,26.95%,,,,,,,,-46.86%,-70.12%,-84.99%
"RNG","NYSE","RingCentral Inc","Technology","Software - Application",4808.29,57.58,1.14%,2476887,1984.62,1.25,52.89%,47.30%,45.51%,112.87%,99.38%,116.79%,10.83%,15.30%,215.14%,5.90%,12.25%,9.92%,102.96%,12.17%,33.40%,39.15%,65.44%
"HURN","NASD","Huron Consulting Group Inc","Industrials","Consulting Services",2762.01,170.37,40.37%,1446847,285.38,5.07,52.74%,78.30%,31.62%,0.25%,-1.47%,27.01%,3.99%,16.04%,74.33%,15.37%,9.29%,-6.18%,107.60%,4.26%,51.84%,59.03%,21.92%
"SAFT","NASD","Safety Insurance Group Inc","Financial","Insurance - Property & Casualty",1513.86,103.10,0.07%,524242,176.67,2.97,42.21%,37.41%,33.51%,35.53%,32.33%,46.20%,1.38%,-17.96%,-166.82%,4.47%,,0.93%,86.52%,2.15%,27.63%,36.99%,37.29%
"OTLY","NASD","Oatly Group AB ADR","Consumer Defensive","Packaged Foods",476.57,15.26,0.66%,391631,129.92,3.01,41.56%,57.64%,31.67%,30.32%,42.75%,5.10%,15.35%,43.75%,47.05%,14.13%,31.93%,5.14%,5.20%,2.39%,39.95%,56.33%,34.07%
"GSHD","NASD","Goosehead Insurance Inc","Financial","Insurance Brokers",2511.68,70.72,2.76%,839375,552.86,1.52,37.59%,47.39%,44.50%,11.23%,-3.98%,-18.48%,10.02%,15.34%,122.15%,20.59%,22.46%,-4.50%,111.56%,9.13%,26.50%,54.02%,26.75%
"MANH","NASD","Manhattan Associates Inc","Technology","Software - Application",12070.76,204.02,21.32%,2871732,653.53,4.39,36.83%,47.73%,45.40%,20.20%,17.72%,-9.49%,5.66%,8.26%,-8.57%,9.31%,11.76%,3.90%,111.39%,4.92%,28.32%,37.82%,31.02%
"BLKB","NASD","Blackbaud Inc","Technology","Software - Application",1937.42,42.18,17.39%,1782462,809.63,2.20,36.42%,43.62%,12.45%,-22.93%,-33.39%,-34.60%,5.61%,17.19%,582.72%,4.00%,,0.83%,80.76%,13.73%,32.49%,40.26%,-8.68%
"CBZ","NYSE","Cbiz Inc","Industrials","Specialty Business Services",2945.32,54.90,17.56%,16958872,799.16,21.22,36.09%,69.81%,69.03%,38.22%,8.82%,-27.50%,4.30%,12.83%,37.21%,1.26%,11.60%,-5.62%,92.59%,7.84%,35.15%,53.68%,39.58%
"FBRX","NASD","Forte Biosciences Inc","Healthcare","Biotechnology",1567.24,76.53,-0.16%,7249339,817.14,8.87,35.14%,258.96%,190.05%,115.40%,180.64%,617.92%,8.64%,18.59%,9.65%,,6.38%,15.40%,58.75%,11.55%,68.12%,158.79%,196.72%
"EXLS","NASD","ExlService Holdings Inc","Technology","Information Technology Services",5498.65,35.99,17.88%,7659678,2640.35,2.90,34.14%,40.75%,17.46%,-11.11%,-15.20%,-14.72%,3.59%,16.00%,4.92%,15.61%,15.95%,-5.08%,99.98%,8.14%,27.78%,27.50%,5.69%
"THC","NYSE","Tenet Healthcare Corp","Healthcare","Medical Care Facilities",22190.61,257.62,-1.91%,1284188,1529.46,0.84,31.88%,37.64%,45.14%,36.20%,29.64%,65.08%,5.75%,22.89%,213.62%,6.77%,9.62%,-3.20%,96.23%,3.50%,23.43%,36.01%,28.97%
"AVTR","NYSE","Avantor Inc","Healthcare","Medical Instruments & Supplies",9818.02,14.38,15.78%,42788517,10140.48,4.22,31.32%,43.37%,82.95%,23.43%,25.48%,2.64%,4.31%,-11.36%,-32.28%,0.00%,1.37%,-0.97%,100.00%,8.46%,30.20%,44.92%,40.58%
"CLW","NYSE","Clearwater Paper Corp","Basic Materials","Paper & Paper Products",348.46,21.61,23.42%,1109798,210.05,5.28,29.95%,34.81%,45.52%,24.63%,24.20%,-26.60%,5.28%,-2160.00%,-701.35%,-4.34%,,-5.77%,79.92%,5.12%,32.12%,34.44%,31.20%
