"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float"
"VEEE","NASD","Twin Vee PowerCats Co","Consumer Cyclical","Recreational Vehicles",19.14,36.18,36.07%,9939287,1959.23,5.07,688.24%,529.22%,323.31%,-41.45%,-43.80%,-58.91%,109.53%,90.39%,67.74%,9.76%,,24.17%,5.32%,1.60%
"NXTC","NASD","Nextcure Inc","Healthcare","Biotechnology",25.11,6.17,-6.94%,4199519,1972.57,2.13,208.50%,211.62%,-50.99%,-53.82%,-56.52%,28.01%,33.49%,62.41%,60.24%,,39.58%,7.39%,49.80%,6.69%
"AGEN","NASD","Agenus Inc","Healthcare","Biotechnology",208.21,5.00,-0.20%,2691267,3851.72,0.70,54.32%,53.85%,3.52%,8.46%,59.24%,-21.38%,25.77%,135.00%,198.88%,40.18%,39.06%,-2.72%,19.75%,15.87%
"CDNA","NASD","Caredx Inc","Healthcare","Diagnostics & Research",2083.94,40.34,35.60%,4475494,847.47,5.28,38.58%,67.52%,129.60%,99.80%,114.12%,110.10%,3.93%,61.04%,128.24%,38.99%,38.15%,-0.49%,95.72%,17.85%
"MAN","NYSE","ManpowerGroup","Industrials","Staffing & Employment Services",2402.11,51.65,32.37%,5353586,1106.90,4.84,37.84%,54.87%,68.08%,74.43%,73.73%,19.84%,4.58%,21.30%,-55.15%,10.27%,27.10%,-2.87%,114.90%,14.77%
"KXIN","NASD","Kaixin Holdings","Consumer Cyclical","Auto & Truck Dealerships",9.58,5.79,22.67%,419599,197.89,2.12,34.65%,16.03%,-9.95%,-95.66%,-92.56%,-98.58%,14.68%,,-100.00%,,,11.75%,1.31%,1.34%
"ATAI","NASD","AtaiBeckley Inc","Healthcare","Biotechnology",2632.39,7.15,33.40%,165634986,7959.61,20.81,34.15%,86.20%,78.75%,94.82%,74.82%,164.81%,8.54%,85.39%,44.43%,-38.65%,46.41%,16.23%,26.26%,10.29%
"SNAL","NASD","Snail Inc","Communication Services","Electronic Gaming & Multimedia",45.45,5.14,3.42%,281508,1645.32,0.17,31.79%,52.41%,18.15%,38.47%,15.64%,-26.57%,21.45%,189.19%,192.26%,35.72%,,,0.98%,5.57%
"MAAS","NASD","Maase Inc","Financial","Asset Management",9123.93,20.95,26.43%,595552,227.20,2.62,30.94%,38.65%,165.86%,303.66%,287.96%,447.48%,15.19%,,99.85%,-99.73%,,118.17%,0.00%,0.18%
"EAF","NYSE","GrafTech International Ltd","Industrials","Electrical Equipment & Parts",192.50,7.39,7.88%,687216,314.78,2.18,28.30%,-10.10%,-4.77%,-58.06%,-52.35%,-32.82%,8.83%,10.56%,-8.91%,11.86%,,2.80%,40.48%,6.11%
