"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"SWVL","NASD","Swvl Holdings Corp","Industrials","Railroads",50.61,5.08,32.64%,1407728,1345.49,1.05,119.91%,276.30%,229.87%,223.57%,167.37%,45.56%,27.81%,,-90760.29%,,,29.82%,1.08%,0.74%,152.49%,206.60%,182.29%,36.93%
"BIAF","NASD","BioAffinity Technologies Inc","Healthcare","Diagnostics & Research",5.77,9.75,47.95%,45696189,942.76,48.47,91.55%,18.10%,-61.54%,-36.89%,-44.92%,-90.85%,13.62%,,87.30%,18.99%,,,10.27%,2.29%,53.36%,8.01%,-56.25%,28.12%
"TJGC","NASD","TJGC Group Ltd","Communication Services","Advertising Agencies",101.40,10.04,0.20%,1670593,787.99,2.12,59.62%,87.31%,64.32%,316.10%,265.76%,123.11%,19.29%,,61.56%,-25.27%,,41.93%,0.87%,9.10%,73.93%,94.28%,164.90%,0.20%
"FCUV","NASD","Focus Universal Inc","Technology","Scientific & Technical Instruments",10.66,15.16,33.57%,674667,3630.59,0.19,55.97%,43.02%,351.73%,-21.86%,-53.22%,-80.41%,15.68%,,66.36%,1811.04%,,12.69%,4.75%,4.63%,79.66%,161.19%,-45.84%,33.57%
"MOVE","NASD","Corvex Inc","Technology","Software - Infrastructure",400.33,14.48,13.04%,553851,297.93,1.86,50.99%,5.46%,-32.15%,42.49%,136.63%,114.91%,21.67%,,-67.92%,3590.29%,,47.38%,0.90%,0.80%,33.01%,6.21%,18.49%,17.92%
"GWAV","NASD","Greenwave Technology Solutions Inc","Industrials","Waste Management",4.81,5.80,-0.85%,16512,101.51,0.16,36.79%,23.40%,65.71%,47.96%,10.69%,-7.35%,13.91%,,56.49%,45.47%,,-1.65%,1.76%,4.80%,35.05%,62.35%,38.31%,2.29%
"DPRO","NASD","Draganfly Inc","Technology","Computer Hardware",211.38,5.69,5.76%,2035014,1176.07,1.73,30.80%,29.32%,-18.60%,-15.83%,-17.66%,26.44%,7.09%,34.08%,45.91%,25.99%,17.25%,-10.95%,11.04%,10.95%,22.33%,23.11%,-8.69%,5.76%
"QNRX","NASD","Quoin Pharmaceuticals Ltd ADR","Healthcare","Biotechnology",13.55,6.74,3.53%,369902,730.63,0.51,30.12%,54.94%,52.14%,-20.71%,-53.29%,-11.32%,17.86%,55.84%,98.79%,,59.00%,-3.45%,70.34%,,23.72%,39.94%,-16.07%,3.69%
"NXTC","NASD","Nextcure Inc","Healthcare","Biotechnology",33.65,7.35,8.09%,112635,2124.94,0.05,26.07%,27.16%,133.33%,-41.67%,-48.20%,49.09%,8.32%,67.74%,75.16%,,60.40%,-14.73%,47.86%,3.87%,10.00%,49.07%,-19.34%,9.70%
"USDE","NASD","StableCoinX Inc","Financial","Capital Markets",203.90,7.50,-10.29%,3103929,4767.93,0.65,25.42%,278.79%,-18.70%,-42.53%,-36.44%,-46.43%,28.10%,,-2093.88%,,,10.71%,1.53%,0.90%,57.88%,117.77%,-25.62%,-7.06%
"CRM","NYSE","Salesforce Inc","Technology","Software - Application",211453.39,256.93,-0.46%,13359624,15221.85,0.88,24.95%,34.53%,34.79%,33.07%,-3.01%,1.61%,5.30%,31.29%,118.95%,10.83%,13.73%,-6.24%,87.87%,3.33%,20.22%,37.22%,28.12%,-0.94%
"TITN","NASD","Titan Machinery Inc","Industrials","Industrial Distribution",545.04,23.39,13.88%,687454,228.61,3.01,24.35%,20.07%,-2.34%,18.22%,55.52%,13.32%,8.63%,29.05%,-51.18%,-9.16%,51.07%,0.20%,90.04%,4.16%,23.11%,22.50%,26.59%,13.38%
"FXHO","NASD","UTime Ltd","Technology","Consumer Electronics",312.69,11.90,-4.34%,107937,382.80,0.28,23.32%,21.55%,11.21%,-60.73%,-76.67%,-99.74%,17.84%,,100.00%,-11.23%,,1.35%,0.01%,0.05%,10.12%,0.94%,-55.88%,-1.41%
"RDAC","NASD","Rising Dragon Acquisition Corp","Financial","Shell Companies",22.57,6.57,1.86%,252840,706.92,0.36,22.80%,7.35%,-8.88%,42.52%,-33.10%,-36.71%,23.49%,,-71.24%,,,,45.26%,0.08%,7.89%,10.96%,-10.86%,7.53%
"MMED","NASD","MiniMed Group Inc","Healthcare","Medical Instruments & Supplies",6684.88,23.76,5.98%,4489572,1294.85,3.47,21.91%,25.12%,66.62%,,24.72%,,5.98%,152.69%,100.00%,22.71%,,1.73%,13.25%,22.59%,18.12%,33.40%,53.70%,4.30%
"OKTA","NASD","Okta Inc","Technology","Software - Infrastructure",28522.01,163.15,-1.97%,3752166,3482.59,1.08,21.37%,10.37%,30.89%,127.42%,88.68%,82.29%,7.37%,12.24%,75.23%,10.58%,11.81%,-1.77%,94.28%,3.88%,9.57%,13.39%,61.58%,-2.02%
"LENZ","NASD","LENZ Therapeutics Inc","Healthcare","Biotechnology",182.24,5.80,10.90%,991280,836.93,1.18,21.34%,14.85%,-17.26%,-55.25%,-63.75%,-85.22%,5.78%,-46.62%,-91.55%,9.72%,25.72%,4.37%,101.79%,41.20%,16.54%,10.08%,-50.48%,11.32%
"GPRK","NYSE","Geopark Limited","Energy","Oil & Gas E&P",758.64,11.69,4.10%,1153766,481.62,2.40,20.39%,24.63%,4.47%,38.84%,57.76%,77.93%,4.70%,13.35%,204.79%,19.65%,22.81%,-7.72%,26.94%,2.96%,18.70%,20.45%,29.83%,5.32%
